date, pm25, pm10, o3, no2, so2, co
2020/3/1, 69, 49, 30, 4, 4, 11
2020/3/2, 127, 77, 14, 6, 3, 11
2020/3/3, 170, 59, 31, 8, 4, 10
2020/3/4, 137, 26, 34, 5, 4, 6
2020/3/5, 57, 22, 34, 7, 5, 8
2020/3/6, 64, 17, 30, 5, 3, 7
2020/3/7, 52, 64, 33, 5, 3, 7
2020/3/8, 67, 69, 34, 13, 7, 11
2020/3/9, 110, 46, 33, 9, 3, 9
2020/3/10, 88, 51, 33, 12, 4, 11
2020/3/11, 98, 24, 33, 6, 3, 6
2020/3/12, 57, 28, 27, 6, 6, 7
2020/3/13, 62, 46, 33, 14, 6, 9
2020/3/14, 74, 65, 40, 16, 8, 11
2020/3/15, 107, 70, 39, 21, 5, 11
2020/3/16, 128, 75, 41, 22, 7, 11
2020/3/17, 128, 74, 41, 24, 5, 11
2020/3/18, 133, 58, 34, 19, 7, 9
2020/3/19, 120, 16, 29, 5, 4, 4
2020/3/20, 43, 15, 33, 5, 4, 6
2020/3/21, 46, 26, 33, 8, 4, 6
2020/3/22, 75, 63, 36, 14, 5, 9
2020/3/23, 103, 42, 32, 3, 4, 4
2020/3/24, 45, 14, 31, 2, 4, 4
2020/3/25, 22, 16, 33, 4, 6, 5
2020/3/26, 27, 25, 35, 6, 7, 7
2020/3/27, 47, 46, 13, 14, 4, 7
2020/3/28, 80, , , , , 
2020/2/1, 245, 147, 35, 17, 5, 21
2020/2/2, 215, 156, 39, 20, 10, 21
2020/2/3, 235, 171, 38, 16, 11, 25
2020/2/4, 251, 183, 44, 14, 13, 26
2020/2/5, 273, 189, 47, 23, 10, 29
2020/2/6, 281, 160, 61, 17, 11, 25
2020/2/7, 259, 194, 57, 17, 14, 29
2020/2/8, 328, , 54, 16, 9, 26
2020/2/9, 273, 103, 70, 11, 10, 19
2020/2/10, 187, 105, 82, 11, 12, 17
2020/2/11, 203, 33, 43, 3, 5, 7
2020/2/12, 77, 43, 32, 4, 4, 12
2020/2/13, 100, 51, 38, 8, 6, 12
2020/2/14, 128, 62, 42, 6, 7, 13
2020/2/15, 148, 84, 43, 15, 7, 15
2020/2/16, 178, 89, 52, 15, 14, 16
2020/2/17, 176, 94, 43, 12, 6, 15
2020/2/18, 183, 67, 34, 8, 5, 11
2020/2/19, 142, 47, 37, 10, 5, 12
2020/2/20, 116, 42, 33, 8, 4, 9
2020/2/21, 116, 51, 43, 9, 6, 11
2020/2/22, 124, 75, 46, 14, 10, 16
2020/2/23, 165, 65, 37, 7, 7, 11
2020/2/24, 140, 54, 30, 4, 4, 8
2020/2/25, 118, 59, 29, 8, 5, 13
2020/2/26, 144, 61, 29, 5, 3, 10
2020/2/27, 146, 33, 28, 3, 5, 7
2020/2/28, 65, 37, 29, 6, 3, 11
2020/2/29, 89, 26, 29, 4, 4, 9
2020/1/1, 220, 110, 16, 20, 3, 16
2020/1/2, 200, 84, 25, 13, 3, 11
2020/1/3, 170, 87, 21, 21, 4, 16
2020/1/4, 172, 165, 13, 24, 2, 20
2020/1/5, 246, 115, 25, 18, 5, 15
2020/1/6, 201, 243, 7, 28, 3, 25
2020/1/7, 298, 333, 8, 33, 3, 28
2020/1/8, 371, 329, 10, 34, 8, 25
2020/1/9, 345, 262, 16, 30, 6, 21
2020/1/10, 354, 210, 17, 32, 4, 22
2020/1/11, 311, 184, 28, 22, 6, 18
2020/1/12, 269, 199, 18, 28, 7, 24
2020/1/13, 282, 269, 14, 36, 11, 25
2020/1/14, 340, 130, 23, 27, 6, 15
2020/1/15, 222, 190, 31, 22, 7, 16
2020/1/16, 273, 158, 25, 32, 11, 16
2020/1/17, 248, 103, 15, 30, 4, 15
2020/1/18, 185, 140, 14, 31, 9, 17
2020/1/19, 218, 146, 24, 40, 9, 21
2020/1/20, 216, 150, 23, 25, 6, 19
2020/1/21, 247, 414, 12, 41, 3, 33
2020/1/22, 423, 461, 14, 43, 7, 36
2020/1/23, 445, 467, 22, 36, 8, 35
2020/1/24, 442, 156, 38, 20, 15, 20
2020/1/25, 255, 127, 33, 18, 15, 19
2020/1/26, 211, 209, 24, 25, 6, 25
2020/1/27, 310, 139, 39, 15, 7, 20
2020/1/28, 227, 134, 37, 11, 6, 17
2020/1/29, 214, 122, 38, 10, 5, 15
2020/1/30, 206, 125, 36, 15, 7, 19
2020/1/31, 206, 161, 27, 19, 5, 21
2019/10/1, 19, 19, 23, 2, 6, 4
2019/10/2, 26, 28, 25, 7, 5, 4
2019/10/3, 50, 41, 32, 11, 7, 6
2019/10/4, 62, 51, 32, 15, 5, 6
2019/10/5, 80, 59, 37, 15, 6, 6
2019/10/6, 92, 72, 39, 21, 6, 7
2019/10/7, 109, 77, 37, 25, 5, 8
2019/10/8, 112, 81, 45, 27, 5, 9
2019/10/9, 108, 80, 37, 23, 7, 8
2019/10/10, 102, 69, 33, 19, 5, 6
2019/10/11, 85, 77, 31, 17, 5, 6
2019/10/12, 88, 49, 31, 12, 5, 4
2019/10/13, 60, 73, 25, 18, 5, 6
2019/10/14, 85, 103, 29, 15, 6, 5
2019/10/15, 101, 61, 31, 9, 5, 3
2019/10/16, 66, 55, 25, 15, 5, 6
2019/10/17, 64, 58, 24, 12, 4, 5
2019/10/18, 62, 34, 25, 13, 5, 7
2019/10/19, 55, 56, 19, 18, 7, 8
2019/10/20, 81, 56, 22, 15, 5, 9
2019/10/21, 113, 25, 23, 5, 4, 3
2019/10/22, 44, 36, 22, 13, 5, 5
2019/10/23, 56, 58, 14, 18, 6, 9
2019/10/24, 90, 73, 13, 22, 7, 10
2019/10/25, 133, 94, 14, 24, 9, 13
2019/10/26, 152, 80, 23, 22, 6, 10
2019/10/27, 131, 62, 20, 17, 7, 8
2019/10/28, 88, 78, 21, 24, 7, 10
2019/10/29, 108, 70, 24, 21, 6, 8
2019/10/30, 96, 96, 17, 28, 11, 11
2019/10/31, 142, 122, 19, 34, 15, 16
2019/11/1, 169, 126, 21, 31, 8, 13
2019/11/2, 157, 99, 25, 29, 8, 11
2019/11/3, 141, 85, 20, 24, 6, 11
2019/11/4, 128, 87, 18, 20, 7, 11
2019/11/5, 123, 53, 16, 8, 6, 5
2019/11/6, 49, 30, 13, 6, 4, 5
2019/11/7, 61, 15, 18, 7, 3, 5
2019/11/8, 38, 38, 14, 15, 6, 8
2019/11/9, 66, 62, 12, 17, 5, 13
2019/11/10, 134, 45, 16, 14, 4, 8
2019/11/11, 98, 26, 19, 6, 4, 6
2019/11/12, 38, 33, 16, 9, 5, 7
2019/11/13, 47, 58, 15, 15, 7, 12
2019/11/14, 101, 83, 12, 19, 7, 14
2019/11/15, 155, 56, 21, 5, 4, 5
2019/11/16, 63, 56, 17, 10, 4, 8
2019/11/17, 75, 87, 12, 22, 4, 13
2019/11/18, 160, 123, 13, 27, 5, 15
2019/11/19, 199, 107, 13, 27, 7, 14
2019/11/20, 185, 73, 10, 20, 5, 10
2019/11/21, 142, 37, 19, 6, 6, 7
2019/11/22, 54, 44, 17, 10, 5, 8
2019/11/23, 96, 44, 16, 10, 6, 8
2019/11/24, 83, 68, 14, 18, 7, 11
2019/11/25, 147, 93, 10, 23, 5, 15
2019/11/26, 169, 104, 15, 27, 6, 15
2019/11/27, 186, 150, 11, 24, 5, 16
2019/11/28, 229, 119, 11, 16, 4, 10
2019/11/29, 202, 173, 8, 26, 5, 15
2019/11/30, 259, 169, 12, 21, 6, 14
2019/12/1, 249, 287, 8, 30, 4, 21
2019/12/2, 282, 253, 5, 28, 4, 25
2019/12/3, 313, 206, 12, 23, 9, 21
2019/12/4, 302, 270, 10, 31, 6, 25
2019/12/5, 338, 232, 8, 34, 5, 29
2019/12/6, 316, 141, 15, 27, 11, 19
2019/12/7, 234, 134, 15, 25, 6, 17
2019/12/8, 217, 160, 12, 23, 6, 22
2019/12/9, 247, 167, 6, 27, 4, 22
2019/12/10, 261, 243, 7, 24, 4, 24
2019/12/11, 287, 142, 13, 17, 3, 19
2019/12/12, 225, 165, 8, 28, 3, 21
2019/12/13, 247, 167, 5, 32, 4, 23
2019/12/14, 244, 132, 10, 26, 6, 21
2019/12/15, 213, 85, 10, 12, 5, 13
2019/12/16, 164, 45, 10, 8, 4, 10
2019/12/17, 114, 47, 16, 12, 3, 7
2019/12/18, 109, 43, 15, 11, 4, 7
2019/12/19, 97, 74, 10, 16, 3, 10
2019/12/20, 155, 93, 6, 18, 4, 12
2019/12/21, 174, 84, 10, 18, 4, 12
2019/12/22, 171, 87, 17, 19, 6, 13
2019/12/23, 174, 64, 17, 15, 6, 10
2019/12/24, 152, 80, 13, 15, 4, 11
2019/12/25, 164, 91, 13, 19, 3, 11
2019/12/26, 174, 114, 10, 23, 3, 16
2019/12/27, 181, 126, 5, 26, 4, 18
2019/12/28, 188, 137, 11, 27, 7, 19
2019/12/29, 217, , , , , 
2019/7/1, 56, 46, 55, 8, 4, 4
2019/7/2, 54, 48, 49, 10, 4, 4
2019/7/3, 64, 50, 45, 6, 4, 3
2019/7/4, 49, 17, 53, 4, 4, 3
2019/7/5, 26, 44, 60, 13, 5, 4
2019/7/6, 60, 57, 68, 14, 4, 5
2019/7/7, 78, 37, 44, 7, 5, 4
2019/7/8, 52, 48, 50, 16, 3, 4
2019/7/9, 63, 53, 63, 11, 5, 4
