date, pm25, pm10, o3, no2, so2, co
2020/3/1, 149, 58, 41, 13, 5, 9
2020/3/2, 141, 53, 22, 21, 5, 7
2020/3/3, 118, 42, 36, 15, 6, 5
2020/3/4, 74, 65, 53, 18, 8, 7
2020/3/5, 141, 76, 44, 14, 6, 9
2020/3/6, 167, 105, 56, 18, 9, 13
2020/3/7, 193, 118, 33, 24, 7, 10
2020/3/8, 217, 100, 38, 14, 5, 13
2020/3/9, 211, 76, 41, 14, 9, 11
2020/3/10, 129, 95, 41, 20, 7, 8
2020/3/11, 129, 101, 36, 18, 9, 8
2020/3/12, 146, 55, 40, 12, 6, 5
2020/3/13, 82, 58, 40, 20, 10, 6
2020/3/14, 84, 56, 44, 21, 11, 10
2020/3/15, 82, 84, 32, 26, 9, 7
2020/3/16, 152, 81, 49, 22, 11, 9
2020/3/17, 143, 100, 53, 20, 13, 7
2020/3/18, 107, 120, 38, 11, 4, 3
2020/3/19, 67, 120, 42, 22, 10, 7
2020/3/20, 127, 153, 44, 27, 13, 10
2020/3/21, 173, 80, 56, 15, 9, 8
2020/3/22, 123, 87, 50, 24, 12, 9
2020/3/23, 136, 72, 63, 18, 9, 7
2020/3/24, 143, 68, 42, 18, 8, 7
2020/3/25, 147, 49, 29, 8, 4, 6
2020/3/26, 88, 39, 35, 12, 6, 6
2020/3/27, 55, 61, 43, 20, 7, 7
2020/3/28, 95, , , , , 
2020/2/1, 202, 71, 38, 14, 13, 14
2020/2/2, 156, 72, 45, 8, 6, 8
2020/2/3, 165, 91, 38, 11, 8, 14
2020/2/4, 179, 57, 25, 8, 8, 9
2020/2/5, 123, 60, 23, 7, 6, 8
2020/2/6, 151, 71, 33, 8, 5, 11
2020/2/7, 165, 115, 35, 15, 9, 19
2020/2/8, 216, 72, 44, 14, 6, 13
2020/2/9, 160, 61, 50, 16, 9, 12
2020/2/10, 146, 67, 39, 14, 10, 13
2020/2/11, 158, 66, 48, 9, 8, 12
2020/2/12, 162, 58, 30, 5, 11, 15
2020/2/13, 154, 73, 25, 9, 8, 16
2020/2/14, 159, 39, 55, 7, 5, 7
