date, pm25, pm10, o3, no2, so2, co
2020/3/1, 105, 52, 32, 22, 5, 6
2020/3/2, 109, 49, 24, 11, 3, 4
2020/3/3, 127, 30, 31, 12, 4, 
2020/3/4, 78, 62, 35, 19, 7, 
2020/3/5, 127, 91, 32, 27, 6, 
2020/3/6, 174, 82, 43, 21, 5, 
2020/3/7, 166, 104, 23, 19, 4, 8
2020/3/8, 196, 58, 32, 15, 3, 
2020/3/9, 142, 50, 35, 15, 3, 
2020/3/10, 104, 76, 40, 22, 7, 
2020/3/11, 123, 75, 29, 22, 5, 
2020/3/12, 131, 48, 34, 15, 4, 
2020/3/13, 87, 50, 38, 13, 5, 
2020/3/14, 75, 40, 37, 17, 4, 
2020/3/15, 76, 61, 37, 14, 5, 
2020/3/16, 100, 74, 40, 22, 6, 
2020/3/17, 129, 124, 41, 15, 7, 
2020/3/18, 106, 38, 41, 9, 4, 
2020/3/19, 56, 88, 31, 23, 8, 
2020/3/20, 123, 85, 40, 20, 7, 
2020/3/21, 125, 65, 53, 19, 5, 
2020/3/22, 94, 77, 57, 19, 8, 
2020/3/23, 138, 68, 37, 23, 9, 
2020/3/24, 127, 96, 64, 26, 12, 
2020/3/25, 173, 46, 31, 13, 4, 
2020/3/26, 93, 33, 35, 18, 5, 
2020/3/27, 59, 34, 38, 15, 5, 1
2020/3/28, 61, , , , , 
2020/2/1, 145, 53, 33, 8, 4, 8
2020/2/2, 125, 69, 36, 13, 6, 11
2020/2/3, 144, 51, 30, 12, 5, 8
2020/2/4, 110, 42, 30, 9, 5, 7
2020/2/5, 98, 47, 22, 8, 5, 7
2020/2/6, 111, 95, 22, 13, 6, 14
2020/2/7, 186, 124, 28, 17, 8, 21
2020/2/8, 218, 148, 34, 17, 6, 26
2020/2/9, 263, 129, 57, 23, 7, 23
2020/2/10, 230, 130, 52, 22, 9, 21
2020/2/11, 234, 147, 57, 24, 8, 26
2020/2/12, 261, 143, 28, 22, 6, 26
2020/2/13, 257, 53, 22, 9, 4, 18
