date, pm25, pm10, o3, no2, so2, co
2020/3/1, 116, 60, 42, 12, 4, 6
2020/3/2, 133, 47, 34, 7, 2, 4
2020/3/3, 103, 24, 34, 8, 3, 
2020/3/4, 66, 56, 43, 11, 6, 
2020/3/5, 116, 75, 52, 11, 5, 
2020/3/6, 156, 79, 50, 13, 3, 
2020/3/7, 167, 112, 32, 18, 5, 8
2020/3/8, 203, 64, 25, 12, 2, 
2020/3/9, 151, 53, 41, 9, 3, 
2020/3/10, 93, 76, 44, 14, 8, 
2020/3/11, 120, 74, 32, 10, 5, 
2020/3/12, 115, 44, 39, 9, 3, 
2020/3/13, 70, 55, 41, 11, 5, 
2020/3/14, 75, 51, 42, 14, 7, 
2020/3/15, 77, 62, 39, 11, 6, 
2020/3/16, 104, 73, 52, 15, 5, 
2020/3/17, 122, 152, 60, 12, 8, 
2020/3/18, 114, 38, 42, 7, 4, 
2020/3/19, 70, 98, 46, 9, 6, 
2020/3/20, 114, 104, 49, 17, 7, 
2020/3/21, 147, 49, 58, 13, 5, 
2020/3/22, 76, 84, 68, 14, 7, 
2020/3/23, 143, 76, 71, 12, 8, 
2020/3/24, 148, 69, 69, 10, 10, 
2020/3/25, 125, 74, 31, 10, 5, 
2020/3/26, 101, 29, 38, 12, 3, 
2020/3/27, 59, 39, 41, 16, 4, 2
2020/3/28, 64, , , , , 
2020/2/1, 130, 53, 36, 5, 6, 6
2020/2/2, 137, 55, 40, 7, 4, 6
2020/2/3, 137, 61, 29, 7, 5, 8
2020/2/4, 140, 27, 30, 6, 5, 3
2020/2/5, 83, 48, 25, 5, 3, 4
2020/2/6, 119, 69, 24, 7, 2, 7
2020/2/7, 163, 83, 31, 10, 2, 9
2020/2/8, 172, 68, 47, 7, 4, 12
2020/2/9, 155, 75, 58, 8, 9, 9
2020/2/10, 166, 72, 47, 8, 6, 10
2020/2/11, 164, 61, 39, 6, 5, 7
2020/2/12, 153, 75, 36, 7, 6, 9
2020/2/13, 168, 60, 21, 10, 3, 9
2020/2/14, 136, 33, 35, 5, 2, 4
2020/2/15, 69, 23, 37, 5, 2, 3
2020/2/16, 57, 23, 38, 7, 3, 4
2020/2/17, 62, 56, 40, 12, 10, 8
2020/2/18, 130, 57, 37, 11, 6, 6
2020/2/19, 131, 90, 18, 14, 2, 9
2020/2/20, 181, 95, 37, 13, 3, 8
2020/2/21, 165, 39, 40, 8, 3, 4
2020/2/22, 75, 79, 50, 11, 6, 4
2020/2/23, 128, 94, 31, 17, 7, 5
2020/2/24, 168, 61, 29, 9, 4, 1
2020/2/25, 135, 50, 32, 9, 4, 3
2020/2/26, 102, 30, 31, 8, 4, 1
2020/2/27, 78, 52, 27, 10, 2, 
2020/2/28, 144, 54, 41, 8, 2, 2
