date, pm25, pm10, o3, no2, so2, co
2020/3/1, 160, 67, 32, 14, 3, 7
2020/3/2, 139, 73, 12, 17, 7, 8
2020/3/3, 145, 53, 25, 9, 3, 5
2020/3/4, 90, 59, 44, 11, 5, 6
2020/3/5, 111, 91, 48, 18, 5, 8
2020/3/6, 168, 100, 53, 15, 7, 11
2020/3/7, 172, 93, 42, 12, 6, 9
2020/3/8, 167, 112, 17, 19, 4, 13
2020/3/9, 194, 82, 36, 12, 5, 7
2020/3/10, 96, 80, 36, 20, 6, 6
2020/3/11, 113, 88, 37, 16, 5, 7
2020/3/12, 129, 53, 37, 8, 5, 5
2020/3/13, 93, 62, 36, 15, 7, 5
2020/3/14, 87, 48, 39, 13, 8, 5
2020/3/15, 69, 80, 24, 26, 10, 8
2020/3/16, 123, 66, 45, 14, 9, 6
2020/3/17, 100, 77, 48, 22, 9, 6
2020/3/18, 110, 119, 37, 8, 5, 1
2020/3/19, 88, 114, 43, 22, 8, 5
2020/3/20, 120, 108, 45, 26, 9, 8
2020/3/21, 147, 84, 52, 10, 7, 7
2020/3/22, 134, 82, 47, 20, 9, 6
2020/3/23, 137, 70, 59, 13, 7, 6
2020/3/24, 122, 86, 32, 17, 8, 8
2020/3/25, 155, 66, 26, 7, 7, 6
2020/3/26, 120, 41, 26, 9, 7, 5
2020/3/27, 81, 49, 41, 10, 6, 5
2020/3/28, 83, , , , , 
2020/2/1, 171, 86, 40, 8, 8, 13
2020/2/2, 164, 68, 44, 5, 5, 10
2020/2/3, 144, 88, 41, 8, 8, 14
2020/2/4, 169, 63, 21, 6, 4, 11
2020/2/5, 121, 58, 20, 6, 3, 7
2020/2/6, 129, 74, 30, 6, 3, 8
2020/2/7, 157, 85, 32, 9, 5, 15
2020/2/8, 168, 64, 40, 7, 6, 9
2020/2/9, 135, 55, 45, 6, 7, 7
2020/2/10, 121, 57, 42, 8, 5, 9
2020/2/11, 115, 69, 47, 7, 5, 9
2020/2/12, 155, 70, 32, 6, 5, 10
2020/2/13, 156, 75, 27, 6, 4, 9
2020/2/14, 122, 36, 30, 3, 2, 4
2020/2/15, 59, 27, 34, 4, 4, 4
2020/2/16, 47, 32, 34, 6, 5, 6
2020/2/17, 64, 41, 39, 10, 5, 7
2020/2/18, 87, 55, 34, 11, 7, 11
2020/2/19, 112, 90, 33, 13, 8, 14
2020/2/20, 169, 82, 37, 7, 4, 6
2020/2/21, 108, 74, 37, 8, 5, 7
2020/2/22, 79, 73, 44, 11, 4, 9
2020/2/23, 112, 94, 26, 14, 6, 14
2020/2/24, 160, 111, 42, 15, 7, 14
2020/2/25, 184, 89, 25, 6, 2, 8
2020/2/26, 167, 62, 17, 9, 2, 8
2020/2/27, 150, 68, 15, 12, 2, 13
2020/2/28, 152, 84, 15, 13, 2, 10
2020/2/29, 165, 76, 21, 12, 3, 11
2020/1/1, 127, 100, 8, 28, 10, 15
2020/1/2, 164, 133, 7, 37, 13, 18
2020/1/3, 190, 183, 4, 41, 13, 28
2020/1/4, 237, 156, 13, 29, 7, 24
2020/1/5, 223, 89, 6, 18, 2, 18
2020/1/6, 178, 65, 4, 19, 2, 19
2020/1/7, 153, 87, 8, 18, 2, 14
2020/1/8, 170, 98, 11, 20, 3, 13
2020/1/9, 177, 96, 8, 25, 4, 11
2020/1/10, 170, 144, 13, 26, 4, 20
2020/1/11, 221, 108, 12, 22, 4, 14
2020/1/12, 183, 138, 4, 24, 3, 19
2020/1/13, 208, 168, 20, 27, 5, 23
2020/1/14, 261, 102, 26, 17, 7, 11
2020/1/15, 185, 95, 21, 16, 3, 10
2020/1/16, 184, 121, 12, 21, 4, 16
2020/1/17, 204, 121, 20, 21, 5, 20
2020/1/18, 195, 62, 36, 9, 6, 8
2020/1/19, 97, 62, 27, 16, 7, 9
2020/1/20, 107, 91, 14, 25, 7, 13
2020/1/21, 160, 137, 17, 25, 12, 20
2020/1/22, 212, 167, 22, 21, 7, 26
2020/1/23, 264, 163, 34, 13, 6, 22
2020/1/24, 270, 106, 32, 10, 5, 17
2020/1/25, 192, 95, 38, 7, 5, 13
2020/1/26, 185, 72, 34, 6, 5, 11
2020/1/27, 160, 75, 40, 8, 8, 14
2020/1/28, 164, 80, 41, 9, 7, 14
2020/1/29, 169, 98, 45, 8, 6, 16
2020/1/30, 184, 77, 46, 8, 6, 13
2020/1/31, 163, 85, 43, 8, 7, 14
2019/10/1, 96, 62, 82, 11, 3, 4
2019/10/2, 89, 62, 77, 13, 4, 5
2019/10/3, 96, 45, 23, 9, 3, 6
2019/10/4, 102, 23, 25, 9, 3, 3
2019/10/5, 58, 33, 25, 12, 3, 3
2019/10/6, 70, 57, 30, 17, 4, 8
2019/10/7, 114, 55, 37, 16, 5, 8
2019/10/8, 102, 36, 32, 13, 4, 5
2019/10/9, 78, 44, 18, 13, 4, 8
2019/10/10, 84, 80, 26, 17, 5, 11
2019/10/11, 145, 77, 42, 16, 4, 11
2019/10/12, 146, 67, 52, 12, 3, 8
2019/10/13, 126, 41, 21, 12, 3, 4
2019/10/14, 85, 49, 18, 17, 7, 5
2019/10/15, 79, 71, 17, 16, 4, 8
2019/10/16, 147, 95, 13, 22, 5, 12
2019/10/17, 167, 87, 43, 18, 5, 12
2019/10/18, 158, 73, 48, 20, 6, 10
2019/10/19, 149, 69, 34, 20, 6, 10
2019/10/20, 125, 109, 51, 24, 8, 12
2019/10/21, 159, 104, 13, 33, 8, 13
2019/10/22, 156, 93, 44, 23, 6, 10
2019/10/23, 163, 72, 24, 15, 5, 7
2019/10/24, 123, 54, 19, 17, 8, 6
2019/10/25, 79, 64, 21, 21, 11, 7
2019/10/26, 99, 67, 32, 24, 10, 8
2019/10/27, 111, 172, 31, 15, 5, 5
2019/10/28, 124, 125, 30, 21, 7, 7
2019/10/29, 139, 105, 33, 22, 10, 9
2019/10/30, 133, 79, 35, 22, 11, 9
2019/10/31, 102, 87, 30, 26, 10, 9
2019/11/1, 136, 115, 48, 25, 13, 13
2019/11/2, 160, 93, 30, 21, 7, 12
2019/11/3, 152, 86, 25, 17, 4, 11
2019/11/4, 158, 119, 42, 24, 6, 14
2019/11/5, 181, 105, 39, 20, 7, 10
2019/11/6, 172, 123, 36, 24, 6, 12
2019/11/7, 185, 137, 37, 24, 6, 13
2019/11/8, 199, 132, 39, 20, 6, 14
2019/11/9, 193, 82, 31, 8, 5, 5
2019/11/10, 84, 79, 27, 18, 8, 7
2019/11/11, 93, 85, 23, 19, 9, 10
2019/11/12, 120, 51, 28, 8, 4, 5
2019/11/13, 62, 65, 20, 22, 6, 6
2019/11/14, 79, 98, 16, 30, 12, 10
2019/11/15, 139, 129, 12, 34, 12, 13
2019/11/16, 176, 107, 24, 15, 4, 7
2019/11/17, 152, 73, 24, 11, 5, 3
2019/11/18, 74, 94, 12, 26, 10, 9
2019/11/19, 126, 106, 9, 28, 10, 10
2019/11/20, 151, 96, 26, 26, 9, 8
2019/11/21, 157, 101, 27, 17, 7, 10
2019/11/22, 162, 143, 19, 32, 10, 14
2019/11/23, 201, 101, 24, 19, 6, 10
2019/11/24, 130, 43, 18, 10, 4, 4
2019/11/25, 62, 54, 14, 18, 7, 7
2019/11/26, 87, 78, 9, 23, 13, 11
2019/11/27, 144, 64, 20, 17, 7, 6
2019/11/28, 107, 72, 15, 20, 8, 6
2019/11/29, 138, 83, 9, 21, 8, 9
2019/11/30, 155, 80, 23, 18, 10, 8
2019/12/1, 139, 40, 25, 10, 8, 4
2019/12/2, 56, 50, 22, 15, 8, 7
2019/12/3, 74, 52, 25, 16, 10, 9
2019/12/4, 81, 76, 15, 23, 10, 10
2019/12/5, 123, 88, 14, 20, 5, 8
2019/12/6, 163, 133, 12, 31, 8, 15
2019/12/7, 201, 133, 21, 29, 8, 15
2019/12/8, 206, 93, 23, 24, 8, 11
2019/12/9, 152, 104, 23, 25, 8, 15
2019/12/10, 148, 86, 18, 23, 8, 11
2019/12/11, 129, 82, 16, 24, 8, 11
2019/12/12, 146, 107, 21, 28, 11, 14
2019/12/13, 168, 56, 20, 19, 6, 8
2019/12/14, 108, 51, 9, 16, 4, 8
2019/12/15, 103, 48, 8, 13, 3, 13
2019/12/16, 109, 75, 5, 18, 3, 17
2019/12/17, 153, 69, 11, 21, 4, 8
2019/12/18, 140, 93, 9, 26, 10, 12
2019/12/19, 165, 117, 6, 25, 8, 13
2019/12/20, 188, 145, 8, 28, 5, 17
2019/12/21, 213, 172, 11, 30, 4, 22
2019/12/22, 246, 175, 2, 32, 6, 23
2019/12/23, 265, 165, 3, 29, 7, 21
2019/12/24, 249, 175, 2, 26, 6, 21
2019/12/25, 259, 76, 23, 13, 4, 9
2019/12/26, 117, 63, 17, 22, 7, 9
2019/12/27, 92, 69, 14, 24, 9, 12
2019/12/28, 114, 100, 16, 23, 7, 13
2019/12/29, 170, , , , , 
2019/7/1, 74, 46, 110, 13, 5, 4
2019/7/2, 84, 69, 138, 12, 5, 5
2019/7/3, 102, 50, 89, 15, 3, 4
2019/7/4, 94, 40, 86, 15, 7, 4
2019/7/5, 78, 32, 67, 9, 3, 4
2019/7/6, 65, 29, 83, 9, 3, 1
2019/7/7, 65, 44, 66, 9, 4, 3
2019/7/8, 91, 52, 76, 13, 3, 5
2019/7/9, 106, 52, 60, 11, 3, 7
2019/7/10, 124, 56, 96, 12, 3, 7
2019/7/11, 119, 60, 78, 11, 3, 6
2019/7/12, 117, 61, 115, 14, 4, 7
2019/7/13, 118, 58, 115, 12, 3, 6
2019/7/14, 104, 48, 103, 14, 2, 5
2019/7/15, 81, 56, 102, 10, 2, 6
2019/7/16, 102, 58, 70, 8, 1, 7
2019/7/17, 136, 56, 88, 11, 3, 6
2019/7/18, 125, 67, 117, 10, 2, 7
2019/7/19, 150, 67, 105, 10, 2, 8
2019/7/20, 146, 71, 110, 9, 2, 10
2019/7/21, 151, 51, 86, 10, 1, 5
2019/7/22, 99, 46, 97, 10, 2, 6
2019/7/23, 78, 61, 120, 13, 3, 7
2019/7/24, 108, 56, 86, 13, 3, 7
2019/7/25, 94, 52, 96, 10, 2, 6
2019/7/26, 91, 35, 65, 7, , 5
2019/7/27, 84, 37, 73, 6, 1, 5
2019/7/28, 85, 38, 50, 7, 1, 6
2019/7/29, 75, 33, 86, 8, 1, 6
2019/7/30, 65, 46, 99, 11, 2, 5
2019/7/31, 84, 38, 55, 8, 2, 4
2019/8/1, 77, 30, 53, 7, 1, 5
2019/8/2, 74, 49, 78, 9, 3, 7
2019/8/3, 99, 53, 58, 8, 2, 8
2019/8/4, 118, 52, 54, 9, 2, 6
2019/8/5, 116, 46, 35, 11, 2, 6
2019/8/6, 98, 46, 55, 10, 1, 6
2019/8/7, 102, 53, 86, 8, 3, 7
2019/8/8, 111, 54, 77, 8, 2, 5
2019/8/9, 116, 43, 66, 8, 1, 7
2019/8/10, 102, 45, 65, 8, 2, 6
2019/8/11, 96, 57, 64, 10, 3, 9
2019/8/12, 128, 50, 66, 9, 2, 6
2019/8/13, 110, 53, 65, 10, 2, 6
2019/8/14, 107, 52, 103, 15, 3, 8
2019/8/15, 109, 58, 98, 16, 6, 9
2019/8/16, 115, 42, 73, 13, 3, 5
2019/8/17, 77, 50, 109, 11, 3, 7
2019/8/18, 89, 55, 46, 11, 4, 9
2019/8/19, 90, 45, 32, 15, 2, 3
2019/8/20, 82, 78, 26, 15, 2, 12
2019/8/21, 174, , , , , 
2019/8/23, 99, 45, 90, 12, 8, 7
2019/8/24, 117, 57, 42, 14, 7, 10
2019/8/25, 141, 67, 97, 15, 4, 10
2019/8/26, 142, 52, 38, 15, 3, 6
2019/8/27, 103, 41, 54, 12, 4, 5
2019/8/28, 79, 45, 64, 15, 5, 8
2019/8/29, 68, 42, 78, 9, 4, 5
2019/8/30, 52, 43, 82, 8, 5, 6
2019/8/31, 57, 47, 90, 10, 5, 5
2019/9/1, 63, 58, 53, 12, 5, 8
2019/9/2, 92, 61, 80, 19, 4, 8
2019/9/3, 103, 59, 87, 13, 4, 9
2019/9/4, 102, 57, 88, 13, 4, 9
2019/9/5, 100, 54, 100, 14, 5, 9
2019/9/6, 85, 58, 102, 11, 4, 8
2019/9/7, 90, 69, 129, 15, 6, 9
2019/9/8, 110, 65, 95, 8, 5, 7
2019/9/9, 107, 76, 79, 10, 6, 11
2019/9/10, 155, 29, 20, 7, 2, 6
2019/9/11, 60, 25, 11, 10, 2, 9
2019/9/12, 54, 46, 17, 11, 3, 11
2019/9/13, 93, 51, 10, 14, 3, 7
2019/9/14, 81, 23, 22, 10, 2, 4
2019/9/15, 48, 49, 42, 10, 2, 7
2019/9/16, 103, 61, 23, 16, 3, 7
2019/9/17, 111, 57, 57, 13, 4, 7
2019/9/18, 102, 67, 28, 19, 7, 7
2019/9/19, 91, 56, 51, 13, 4, 7
2019/9/20, 101, 62, 70, 18, 7, 10
2019/9/21, 118, 64, 97, 17, 7, 10
