date, pm25, pm10, o3, no2, so2, co
2020/3/1, 139, 56, 36, 11, 11, 7
2020/3/2, 136, 61, 18, 15, 4, 6
2020/3/3, 133, 62, 28, 20, 6, 5
2020/3/4, 114, 60, 47, 15, 4, 5
2020/3/5, 145, 60, 42, 10, 4, 6
2020/3/6, 155, 81, 48, 15, 4, 9
2020/3/7, 174, 78, 51, 13, 8, 8
2020/3/8, 167, 73, 29, 11, 3, 11
2020/3/9, 167, 72, 34, 14, 3, 9
2020/3/10, 114, 95, 39, 18, 6, 5
2020/3/11, 123, 80, 42, 11, 11, 5
2020/3/12, 126, 62, 29, 9, 3, 4
2020/3/13, 99, 63, 35, 16, 4, 4
2020/3/14, 90, 56, 39, 16, 4, 3
2020/3/15, 76, 70, 42, 16, 6, 4
2020/3/16, 159, 69, 41, 15, 6, 5
2020/3/17, 111, 79, 44, 18, 8, 4
2020/3/18, 109, 168, 38, 8, 2, 2
2020/3/19, 74, 110, 60, 12, 3, 4
2020/3/20, 130, 112, 54, 16, 7, 7
2020/3/21, 160, 90, 50, 13, 5, 6
2020/3/22, 134, 70, 45, 15, 4, 5
2020/3/23, 107, 62, 58, 11, 6, 5
2020/3/24, 142, 53, 24, 11, 14, 6
2020/3/25, 123, 47, 24, 8, 2, 6
2020/3/26, 74, 37, 28, 9, 3, 3
2020/3/27, 44, 49, 39, 16, 4, 4
2020/3/28, 71, , , , , 
2020/2/1, 218, 67, 41, 9, 8, 12
2020/2/2, 161, 69, 39, 6, 6, 9
2020/2/3, 169, 97, 37, 8, 5, 13
2020/2/4, 204, 57, 18, 6, 3, 8
2020/2/5, 132, 63, 15, 6, 3, 8
2020/2/6, 150, 52, 28, 5, 3, 6
2020/2/7, 136, 53, 30, 7, 4, 9
2020/2/8, 162, 69, 41, 6, 6, 9
2020/2/9, 159, 53, 52, 6, 11, 7
2020/2/10, 141, 47, 35, 6, 3, 6
2020/2/11, 123, 58, 25, 6, 5, 10
2020/2/12, 157, 46, 38, 5, 3, 8
2020/2/13, 118, 50, 16, 7, 2, 11
2020/2/14, 119, 33, 23, 5, 2, 7
2020/2/15, 84, 33, 32, 5, 3, 5
2020/2/16, 48, 39, 34, 7, 4, 6
2020/2/17, 85, 42, 39, 6, 3, 5
2020/2/18, 98, 44, 37, 7, 3, 5
2020/2/19, 112, 71, 34, 14, 3, 9
2020/2/20, 175, 85, 36, 6, 2, 6
2020/2/21, 110, 70, 37, 9, 3, 5
2020/2/22, 97, 80, 45, 8, 3, 6
2020/2/23, 153, 79, 21, 11, 3, 10
2020/2/24, 170, 63, 37, 8, 2, 11
2020/2/25, 162, 61, 19, 7, 2, 8
2020/2/26, 152, 49, 17, 10, 2, 7
2020/2/27, 133, 35, 29, 10, 2, 7
2020/2/28, 139, 47, 26, 9, 2, 7
2020/2/29, 135, 53, 34, 10, 2, 10
2020/1/1, 156, 89, 14, 22, 3, 9
2020/1/2, 184, 106, 24, 25, 4, 10
2020/1/3, 197, 123, 30, 28, 5, 13
2020/1/4, 239, 95, 16, 31, 2, 21
2020/1/5, 285, , 15, 24, 4, 18
2020/1/6, 176, 50, 23, 11, 4, 15
2020/1/7, 151, 95, 25, 16, 5, 14
2020/1/8, 165, 61, 26, 23, 6, 10
2020/1/9, 156, 96, 25, 23, 13, 14
2020/1/10, 224, 110, 26, 20, 7, 22
2020/1/11, 242, 94, 13, 23, 5, 18
2020/1/12, 205, 120, 20, 20, 5, 20
2020/1/13, 237, 111, 33, 21, 7, 20
2020/1/14, 227, 91, 25, 22, 6, 14
