date, pm25, pm10, o3, no2, so2, co
2019/4/1, 139, 98, 41, 21, 9, 10
2019/4/2, 155, 87, 71, 20, 9, 11
2019/4/3, 154, 59, 66, 22, 6, 9
2019/4/4, 102, 71, 68, 31, 6, 10
2019/4/5, 113, 72, 74, 24, 5, 9
2019/4/6, 90, 121, 71, 16, 8, 12
2019/4/7, 157, 144, 65, 11, 8, 14
2019/4/8, 178, 73, 22, 13, 5, 15
2019/4/9, 163, 71, 20, 14, 5, 15
2019/4/10, 165, 78, 54, 17, 5, 15
2019/4/11, 164, 72, 35, 15, 6, 13
2019/4/12, 162, 58, 22, 21, 4, 14
2019/4/13, 137, 56, 49, 17, 6, 13
2019/4/14, 96, 57, 47, 19, 7, 13
2019/4/15, 95, 63, 37, 18, 5, 11
2019/4/16, 89, 91, 56, 23, 7, 8
2019/4/17, 127, 109, 53, 17, 7, 11
2019/4/18, 144, 118, 60, 5, 6, 11
2019/4/19, 149, 51, 29, 9, 5, 11
2019/4/20, 97, 43, 33, 9, 4, 13
2019/4/21, 95, 49, 50, 7, 6, 15
2019/4/22, 102, 53, 69, 12, 6, 16
2019/4/23, 100, 100, 77, 21, 6, 10
2019/4/24, 115, 103, 20, 20, 5, 7
2019/4/25, 110, 59, 34, 6, 5, 10
2019/4/26, 104, 44, 24, 6, 5, 10
2019/4/27, 100, 50, 20, 12, 5, 11
2019/4/28, 122, 36, 47, 17, 3, 10
2019/4/29, 64, 67, 35, 14, 1, 3
2019/4/30, 66, 105, 43, 14, 4, 5
2019/5/1, 114, 62, 55, 10, 3, 5
2019/5/2, 95, 67, 43, 12, 3, 6
2019/5/3, 96, 58, 53, 13, 2, 7
2019/5/4, 103, 68, 66, 13, 3, 8
2019/5/5, 124, 68, 38, 8, 2, 6
2019/5/6, 78, 40, 37, 11, 2, 7
2019/5/7, 90, 51, 41, 15, 1, 8
2019/5/8, 81, 41, 54, 20, 1, 7
2019/5/9, 48, 55, 52, 21, 2, 7
2019/5/10, 70, 46, 59, 21, 2, 7
2019/5/11, 60, 452, 33, 17, 1, 7
2019/5/12, 216, 363, 45, 15, 3, 9
2019/5/13, 231, 172, 19, 26, 3, 10
2019/5/14, 181, 123, 46, 21, 2, 5
2019/5/15, 138, 78, 17, 24, 2, 5
2019/5/16, 108, 63, 59, 17, 2, 5
2019/5/17, 104, 88, 50, 23, 3, 8
2019/5/18, 134, 88, 23, 18, 1, 3
2019/5/19, 91, 69, 44, 18, 3, 4
2019/5/20, 82, 71, 59, 26, 3, 5
2019/5/21, 95, 57, 75, 25, 2, 6
2019/5/22, 80, 68, 67, 26, 3, 7
2019/5/23, 98, 63, 60, 28, 3, 7
2019/5/24, 90, 64, 80, 17, 3, 9
2019/5/25, 101, 97, 44, 17, 2, 7
2019/5/26, 106, 58, 33, 8, 1, 6
2019/5/27, 64, 21, 25, 11, 2, 7
2019/5/28, 60, 33, 33, 15, 2, 7
2019/5/29, 62, 42, 57, 12, 2, 6
2019/5/30, 51, 59, 69, 24, 3, 6
2019/5/31, 81, 57, 54, 13, 2, 5
2019/6/1, 81, 78, 52, 19, 2, 4
2019/6/2, 100, 58, 62, 18, 2, 5
2019/6/3, 97, 74, 74, 20, 3, 6
2019/6/4, 124, 19, 26, 8, 1, 7
2019/6/5, 42, 40, 59, 14, 1, 8
2019/6/6, 60, 54, 66, 18, 1, 9
2019/6/7, 87, 61, 84, 21, 2, 10
2019/6/8, 84, 61, 93, 19, 2, 9
2019/6/9, 93, 69, 86, 20, 2, 9
2019/6/10, 87, 55, 63, 13, 2, 8
2019/6/11, 79, 45, 58, 19, 2, 7
2019/6/12, 72, 36, 83, 9, 2, 6
2019/6/13, 54, 54, 85, 20, 3, 7
2019/6/14, 80, 37, 33, 11, 2, 7
2019/6/15, 63, 37, 71, 12, 2, 8
2019/6/16, 61, 49, 54, 21, 2, 8
2019/6/17, 76, 49, 81, 18, 2, 9
2019/6/18, 81, 59, 26, 24, 2, 5
2019/6/19, 103, 13, 31, 3, , 5
2019/6/20, 41, 28, 32, 6, , 8
2019/6/21, 72, 57, 46, 8, , 10
2019/6/22, 132, 58, 60, 12, 1, 8
2019/6/23, 119, 46, 47, 10, 3, 6
2019/6/24, 93, 49, 70, 14, 3, 7
2019/6/25, 90, 58, 68, 12, 5, 8
2019/6/26, 103, , , , , 
2019/1/1, 210, 152, 21, 32, 18, 22
2019/1/2, 278, 194, 13, 37, 11, 27
2019/1/3, 354, 179, 9, 36, 16, 22
2019/1/4, 332, 158, 23, 29, 14, 22
2019/1/5, 289, 188, 9, 31, 8, 23
2019/1/6, 348, 167, 21, 29, 9, 20
2019/1/7, 298, 104, 20, 29, 14, 16
2019/1/8, 185, 111, 24, 20, 10, 15
2019/1/9, 206, 106, 10, 24, 8, 13
2019/1/10, 203, 124, 17, 26, 5, 17
2019/1/11, 231, 159, 15, 34, 7, 21
2019/1/12, 303, 173, 3, 34, 7, 27
2019/1/13, 327, 164, 13, 40, 11, 20
2019/1/14, 303, 83, 28, 19, 8, 9
2019/1/15, 130, 59, 23, 17, 8, 8
2019/1/16, 95, 86, 27, 28, 13, 13
2019/1/17, 167, 111, 6, 38, 11, 14
2019/1/18, 187, 106, 24, 31, 11, 14
2019/1/19, 180, 63, 25, 24, 9, 7
2019/1/20, 122, 59, 29, 23, 6, 6
2019/1/21, 91, 79, 28, 30, 10, 11
2019/1/22, 156, 92, 34, 29, 17, 16
2019/1/23, 172, 127, 4, 39, 17, 20
2019/1/24, 208, 108, 19, 26, 11, 13
2019/1/25, 173, 95, 27, 18, 11, 15
2019/1/26, 179, 128, 9, 29, 11, 18
2019/1/27, 233, 108, 30, 25, 11, 16
2019/1/28, 197, 92, 40, 24, 11, 14
2019/1/29, 172, 91, 17, 22, 8, 8
2019/1/30, 170, 59, 28, 8, 4, 6
2019/1/31, 121, 74, 33, 12, 7, 10
2019/2/1, 151, 117, 34, 13, 6, 10
2019/2/2, 165, 88, 36, 6, 4, 3
2019/2/3, 102, 115, 41, 15, 16, 10
2019/2/4, 178, 230, 44, 16, 24, 15
2019/2/5, 303, 117, 40, 15, 12, 13
2019/2/6, 205, 128, 23, 8, 7, 10
2019/2/7, 172, 76, 19, 7, 6, 9
2019/2/8, 160, 97, 15, 10, 9, 14
2019/2/9, 175, 77, 30, 11, 6, 12
2019/2/10, 169, 107, 36, 12, 6, 15
2019/2/11, 205, 125, 38, 17, 6, 13
2019/2/12, 239, 86, 21, 7, 4, 9
2019/2/13, 179, 77, 16, 13, 5, 11
2019/2/14, 172, 91, 35, 14, 6, 11
2019/2/15, 173, 64, 26, 13, 11, 7
2019/2/16, 122, 106, 26, 13, 7, 12
2019/2/17, 196, 112, 12, 14, 5, 14
2019/2/18, 214, 111, 35, 19, 6, 14
2019/2/19, 227, 124, 42, 23, 9, 15
2019/2/20, 252, 112, 28, 21, 9, 11
2019/2/21, 214, 98, 34, 25, 4, 11
2019/2/22, 202, 117, 60, 29, 9, 18
2019/2/23, 216, 134, 53, 29, 10, 19
2019/2/24, 247, 123, 51, 31, 8, 18
2019/2/25, 227, 100, 35, 14, 5, 11
2019/2/26, 176, 99, 45, 18, 5, 8
2019/2/27, 204, 105, 39, 22, 5, 9
2019/2/28, 200, 93, 40, 19, 5, 8
2019/3/1, 188, 59, 31, 11, 4, 7
2019/3/2, 150, 65, 40, 20, 4, 9
2019/3/3, 145, 83, 39, 26, 6, 10
2019/3/4, 163, 99, 41, 32, 6, 12
2019/3/5, 173, 90, 57, 25, 10, 11
2019/3/6, 151, 94, 47, 12, 6, 8
2019/3/7, 147, 71, 40, 17, 7, 9
2019/3/8, 127, 98, 48, 29, 6, 12
2019/3/9, 171, 82, 34, 26, 5, 10
2019/3/10, 133, 62, 37, 22, 4, 9
2019/3/11, 94, 66, 43, 22, 5, 9
2019/3/12, 106, 64, 33, 23, 10, 7
2019/3/13, 108, , , , , 
2019/3/20, 178, 126, 38, 11, 4, 4
2019/3/21, 111, 88, 34, 26, 7, 5
2019/3/22, 123, 77, 47, 23, 6, 6
2019/3/23, 112, 71, 45, 27, 7, 7
2019/3/24, 129, 81, 47, 31, 5, 7
2019/3/25, 136, 97, 70, 29, 7, 9
2019/3/26, 159, 104, 36, 37, 8, 10
2019/3/27, 156, 95, 17, 38, 5, 10
2019/3/28, 158, 97, 40, 22, 5, 9
2019/3/29, 113, 72, 46, 11, 4, 6
2019/3/30, 57, 65, 53, 18, 7, 8
2019/3/31, 99, 83, 76, 24, 10, 12
2018/12/2, 245, 348, 17, 20, 6, 6
2018/12/3, 173, 206, 21, 17, 7, 5
2018/12/4, 168, 136, 10, 20, 6, 8
2018/12/5, 170, 109, 18, 18, 6, 9
2018/12/6, 154, 53, 21, 11, 6, 5
2018/12/7, 80, 49, 20, 9, 6, 5
2018/12/8, 68, 63, 18, 16, 9, 9
2018/12/9, 123, 109, 6, 28, 13, 15
2018/12/10, 192, 84, 27, 22, 8, 10
2018/12/11, 143, 72, 22, 24, 13, 10
2018/12/12, 138, 102, 14, 33, 14, 15
2018/12/13, 179, 106, 11, 32, 19, 19
2018/12/14, 184, 106, 23, 31, 11, 14
2018/12/15, 171, 93, 21, 34, 8, 10
2018/12/16, 160, 99, 18, 37, 11, 14
2018/12/17, 165, 121, 14, 41, 14, 16
2018/12/18, 192, 140, 13, 42, 21, 19
2018/12/19, 223, 132, 15, 41, 23, 23
2018/12/20, 216, 124, 6, 38, 14, 16
2018/12/21, 200, 104, 22, 29, 11, 13
2018/12/22, 163, 65, 21, 19, 8, 11
2018/12/23, 97, 99, 18, 26, 14, 5
2018/12/24, 156, 96, 8, 33, 10, 1
2018/12/25, 170, 99, 17, 28, 18, 6
2018/12/26, 175, 88, 9, 24, 10, 11
2018/12/27, 169, 50, 25, 12, 6, 4
2018/12/28, 87, 51, 26, 18, 8, 4
2018/12/29, 104, 81, 16, 25, 18, 11
2018/12/30, 159, , , , , 
2018/12/31, , 115, 20, 29, 13, 14
2019/3/19, , 423, 33, 8, 4, 4
2018/12/1, , 321, 8, 22, 5, 17
