date, pm25, pm10, o3, no2, so2, co
2020/3/1, 154, 67, 35, 12, 5, 8
2020/3/2, 147, 69, 21, 18, 5, 7
2020/3/3, 143, 82, 41, 18, 6, 15
2020/3/4, 145, 76, 90, 15, 9, 7
2020/3/5, 150, 74, 39, 16, 5, 8
2020/3/6, 154, 90, 56, 16, 6, 8
2020/3/7, 164, 95, 50, 20, 6, 8
2020/3/8, 175, 79, 30, 15, 7, 9
2020/3/9, 164, 94, 45, 17, 9, 11
2020/3/10, 128, 89, 43, 16, 5, 11
2020/3/11, 118, 70, 53, 15, 5, 7
2020/3/12, 108, 83, 34, 13, 6, 7
2020/3/13, 124, 76, 43, 19, 7, 7
2020/3/14, 116, 64, 43, 24, 8, 7
2020/3/15, 86, 87, 36, 29, 13, 8
2020/3/16, 137, 72, 50, 23, 8, 7
2020/3/17, 112, 64, 53, 22, 8, 7
2020/3/18, 105, 174, 57, 16, 8, 5
2020/3/19, 110, 106, 63, 20, 6, 6
2020/3/20, 114, 71, 72, 18, 8, 8
2020/3/21, 119, 112, 61, 17, 9, 8
2020/3/22, 148, 82, 58, 24, 15, 7
2020/3/23, 133, 81, 73, 22, 13, 8
2020/3/24, 141, 73, 32, 16, 7, 10
2020/3/25, 162, 72, 29, 15, 5, 8
2020/3/26, 149, 40, 30, 13, 5, 6
2020/3/27, 73, 43, 21, 9, 4, 5
2020/3/28, 95, , , , , 
2020/2/1, 183, 101, 44, 10, 8, 12
2020/2/2, 194, 86, 41, 10, 7, 10
2020/2/3, 164, 119, 49, 14, 6, 13
2020/2/4, 199, 86, 23, 7, 4, 10
2020/2/5, 174, 54, 21, 5, 3, 7
2020/2/6, 144, 58, 28, 6, 4, 7
2020/2/7, 155, 67, 39, 10, 5, 9
2020/2/8, 159, 61, 39, 10, 5, 9
2020/2/9, 141, 52, 39, 8, 4, 7
2020/2/10, 129, 55, 30, 5, 4, 7
2020/2/11, 131, 64, 26, 7, 4, 8
2020/2/12, 149, 47, 22, 6, 4, 8
2020/2/13, 127, 95, 31, 8, 5, 7
2020/2/14, 133, 37, 31, 4, 4, 5
2020/2/15, 67, 31, 36, 5, 5, 5
2020/2/16, 54, 33, 39, 9, 7, 6
2020/2/17, 74, 45, 42, 13, 4, 6
2020/2/18, 91, 49, 41, 10, 6, 6
2020/2/19, 106, 84, 31, 19, 6, 8
2020/2/20, 169, 83, 38, 7, 5, 6
2020/2/21, 126, 77, 41, 14, 6, 6
2020/2/22, 114, 78, 42, 14, 5, 7
2020/2/23, 137, 76, 37, 14, 6, 9
2020/2/24, 156, 97, 44, 12, 5, 11
2020/2/25, 177, 78, 34, 9, 3, 9
2020/2/26, 162, 67, 19, 11, 3, 8
2020/2/27, 156, 51, 31, 11, 4, 9
2020/2/28, 136, 50, 24, 14, 3, 8
2020/2/29, 117, 74, 32, 14, 5, 10
2020/1/1, 152, 105, 7, 26, 9, 10
2020/1/2, 183, 121, 23, 29, 8, 12
2020/1/3, 193, 130, 29, 29, 8, 13
2020/1/4, 210, 87, 18, 20, 4, 15
2020/1/5, 182, 71, 17, 20, 5, 18
2020/1/6, 172, 52, 124, 16, 5, 14
2020/1/7, 140, 69, 20, 16, 7, 11
2020/1/8, 164, 63, 24, 18, 5, 8
2020/1/9, 145, 87, 17, 25, 6, 11
2020/1/10, 168, 91, 28, 18, 6, 12
2020/1/11, 180, 165, 13, 25, 6, 20
2020/1/12, 263, 152, 31, 22, 6, 17
2020/1/13, 244, 152, 33, 22, 11, 15
2020/1/14, 240, 107, 28, 18, 13, 11
2020/1/15, 190, 82, 32, 13, 5, 8
2020/1/16, 173, 104, 31, 20, 4, 11
2020/1/17, 182, 110, 31, 25, 6, 13
2020/1/18, 180, 72, 36, 14, 5, 8
2020/1/19, 138, 73, 32, 23, 7, 9
2020/1/20, 130, 127, 23, 26, 6, 14
2020/1/21, 194, 153, 31, 25, 7, 16
2020/1/22, 230, 168, 18, 25, 4, 17
2020/1/23, 270, 188, 33, 12, 5, 19
2020/1/24, 306, 94, 31, 9, 6, 12
2020/1/25, 182, 91, 34, 8, 6, 11
2020/1/26, 182, 75, 39, 8, 6, 9
2020/1/27, 166, 69, 40, 10, 5, 10
2020/1/28, 159, 68, 44, 10, 6, 10
2020/1/29, 155, 98, 47, 14, 6, 11
2020/1/30, 182, 86, 45, 15, 6, 10
2020/1/31, 177, 98, 42, 19, 10, 12
2019/10/1, 110, 66, 84, 16, 6, 9
2019/10/2, 99, 81, 79, 24, 5, 9
2019/10/3, 109, 59, 42, 13, 5, 10
2019/10/4, 130, 26, 21, 8, 3, 7
2019/10/5, 63, 31, 24, 12, 4, 8
2019/10/6, 81, 32, 26, 13, 6, 9
2019/10/7, 81, 44, 52, 15, 8, 9
2019/10/8, 90, 41, 29, 15, 5, 8
2019/10/9, 102, 43, 21, 17, 6, 10
2019/10/10, 100, 52, 31, 17, 7, 13
2019/10/11, 108, 56, 34, 15, 6, 12
2019/10/12, 130, 66, 58, 18, 7, 12
2019/10/13, 140, 59, 26, 14, 4, 9
2019/10/14, 129, 54, 31, 16, 8, 8
2019/10/15, 89, 58, 28, 20, 5, 10
2019/10/16, 130, 49, 37, 18, 4, 10
2019/10/17, 112, 53, 47, 25, 4, 11
2019/10/18, 117, 59, 66, 28, 5, 12
2019/10/19, 128, 66, 46, 25, 7, 12
2019/10/20, 141, 99, 70, 21, 9, 13
2019/10/21, 174, 108, 30, 28, 7, 14
2019/10/22, 191, 93, 36, 27, 8, 12
2019/10/23, 183, 73, 26, 21, 5, 8
2019/10/24, 144, 51, 22, 17, 7, 6
2019/10/25, 79, 62, 26, 21, 8, 6
2019/10/26, 103, 51, 37, 19, 5, 6
2019/10/27, 89, 209, 37, 20, 5, 5
