date, pm25, pm10, o3, no2, so2, co
2020/3/1, 152, 56, 37, 10, 3, 6
2020/3/2, 148, 45, 25, 9, 3, 5
2020/3/3, 98, 44, 31, 15, 7, 6
2020/3/4, 85, 66, 45, 15, 8, 6
2020/3/5, 146, 69, 44, 10, 3, 5
2020/3/6, 164, 88, 53, 16, 5, 7
2020/3/7, 184, 98, 45, 20, 5, 8
2020/3/8, 192, 108, 31, 14, 3, 13
2020/3/9, 196, 72, 38, 11, 4, 7
2020/3/10, 135, 92, 39, 14, 4, 5
2020/3/11, 138, 93, 37, 10, 5, 6
2020/3/12, 137, 50, 34, 10, 4, 4
2020/3/13, 83, 62, 37, 15, 5, 6
2020/3/14, 104, 60, 38, 21, 9, 6
2020/3/15, 99, 78, 38, 15, 8, 5
2020/3/16, 153, 74, 43, 17, 6, 6
2020/3/17, 134, 97, 47, 17, 7, 5
2020/3/18, 128, 159, 38, 9, 4, 3
2020/3/19, 72, 113, 46, 13, 7, 4
2020/3/20, 133, 116, 41, 22, 7, 8
2020/3/21, 164, 73, 47, 15, 6, 6
2020/3/22, 128, 80, 54, 16, 10, 6
2020/3/23, 146, 65, 57, 12, 6, 6
2020/3/24, 145, 63, 37, 13, 5, 7
2020/3/25, 136, 52, 25, 10, 2, 5
2020/3/26, 94, 39, 32, 8, 3, 3
2020/3/27, 45, 56, 38, 21, 7, 4
2020/3/28, 93, , , , , 
2020/2/1, 237, 70, 39, 7, 9, 13
2020/2/2, 165, 68, 40, 5, 4, 9
2020/2/3, 166, 95, 32, 6, 4, 11
2020/2/4, 189, 49, 17, 5, 4, 8
2020/2/5, 123, 60, 14, 6, 4, 11
2020/2/6, 160, 58, 26, 3, 6, 7
2020/2/7, 148, 52, 31, 4, 4, 6
2020/2/8, 180, 93, 41, 6, 5, 9
2020/2/9, 199, 66, 50, 6, 6, 7
2020/2/10, 160, 57, 38, 5, 5, 6
2020/2/11, 147, 58, 33, 4, 5, 7
2020/2/12, 159, 59, 30, 4, 6, 8
2020/2/13, 154, 104, 16, 7, 4, 11
2020/2/14, 135, 33, 27, 4, 3, 5
2020/2/15, 70, 38, 33, 7, 3, 4
2020/2/16, 66, 37, 36, 7, 3, 5
2020/2/17, 77, 52, 40, 6, 7, 7
2020/2/18, 114, 51, 38, 7, 4, 5
2020/2/19, 131, 82, 39, 20, 4, 12
2020/2/20, 210, 99, 38, 14, 4, 10
2020/2/21, 164, 65, 39, 8, 4, 4
2020/2/22, 89, 82, 47, 7, 5, 6
2020/2/23, 155, 87, 23, 14, 3, 10
2020/2/24, 181, 70, 16, 10, 2, 10
2020/2/25, 178, 69, 18, 8, 3, 6
2020/2/26, 146, 58, 18, 12, 5, 8
2020/2/27, 142, 45, 30, 7, 2, 6
