date, pm25, pm10, o3, no2, so2, co
2020/3/1, 135, 43, 31, 12, 3, 5
2020/3/2, 81, 62, 16, 25, 3, 6
2020/3/3, 114, 69, 34, 21, 4, 7
2020/3/4, 135, 71, 42, 15, 5, 7
2020/3/5, 158, 88, 45, 30, 5, 9
2020/3/6, 166, 94, 46, 24, 8, 9
2020/3/7, 160, 88, 33, 20, 5, 8
2020/3/8, 156, 150, 32, 7, 3, 3
2020/3/9, 96, 105, 39, 20, 3, 4
2020/3/10, 134, 91, 33, 30, 5, 6
2020/3/11, 145, 100, 19, 31, 4, 8
2020/3/12, 163, 98, 37, 22, 3, 6
2020/3/13, 119, 107, 38, 27, 4, 6
2020/3/14, 139, 93, 36, 29, 5, 6
2020/3/15, 127, 75, 43, 22, 4, 7
2020/3/16, 117, 65, 43, 26, 3, 6
2020/3/17, 111, 92, 43, 30, 3, 5
2020/3/18, 128, 126, 34, 26, 4, 4
2020/3/19, 130, 108, 48, 34, 4, 5
2020/3/20, 148, 92, 36, 30, 4, 6
2020/3/21, 122, 95, 48, 28, 6, 7
2020/3/22, 154, 87, 67, 29, 8, 8
2020/3/23, 151, 99, 65, 32, 6, 8
2020/3/24, 137, 86, 65, 25, 5, 8
2020/3/25, 134, 259, 31, 12, 3, 4
2020/3/26, 112, 29, 18, 15, 2, 4
2020/3/27, 71, 56, 30, 16, 3, 6
2020/3/28, 104, , , , , 
2020/2/1, 237, 65, 39, 10, 8, 12
2020/2/2, 154, 61, 43, 14, 11, 12
2020/2/3, 147, 90, 52, 18, 9, 14
2020/2/4, 198, 99, 41, 15, 9, 16
2020/2/5, 197, 88, 19, 11, 4, 17
2020/2/6, 174, 68, 22, 11, 7, 16
2020/2/7, 165, 94, 34, 15, 12, 16
2020/2/8, 209, 109, 45, 18, 11, 15
2020/2/9, 213, 106, 56, 18, 11, 16
2020/2/10, 213, 121, 67, 19, 11, 19
2020/2/11, 235, 127, 69, 20, 11, 19
2020/2/12, 252, 130, 64, 19, 11, 15
2020/2/13, 234, 213, 35, 6, 6, 7
2020/2/14, 117, 65, 33, 6, 6, 9
2020/2/15, 103, 48, 38, 12, 8, 11
2020/2/16, 116, 58, 39, 16, 6, 10
2020/2/17, 132, 64, 46, 21, 9, 12
2020/2/18, 159, 89, 59, 23, 12, 13
2020/2/19, 186, 131, 40, 22, 11, 13
2020/2/20, 166, 103, 38, 18, 8, 11
2020/2/21, 151, 104, 41, 20, 8, 11
2020/2/22, 146, 111, 52, 26, 8, 14
2020/2/23, 181, 103, 47, 25, 9, 16
2020/2/24, 182, 121, 69, 27, 14, 17
