date, pm25, pm10, o3, no2, so2, co
2020/3/1, 134, 68, 36, 19, 7, 10
2020/3/2, 142, 58, 15, 22, 4, 8
2020/3/3, 112, 36, 33, 14, 4, 
2020/3/4, 74, 65, 43, 19, 8, 
2020/3/5, 121, 91, 41, 19, 8, 
2020/3/6, 169, 103, 52, 19, 8, 
2020/3/7, 173, 137, 20, 31, 12, 8
2020/3/8, 207, 93, 37, 13, 4, 
2020/3/9, 177, 70, 37, 15, 5, 
2020/3/10, 109, 89, 38, 21, 11, 
2020/3/11, 115, 89, 30, 20, 13, 
2020/3/12, 141, 53, 37, 14, 7, 
2020/3/13, 100, 49, 37, 17, 5, 
2020/3/14, 67, 43, 40, 18, 5, 
2020/3/15, 54, 75, 26, 21, 11, 
2020/3/16, 126, 78, 43, 22, 12, 1
2020/3/17, 123, 118, 54, 20, 16, 
2020/3/18, 110, 61, 37, 12, 8, 
2020/3/19, 74, 113, 41, 22, 17, 
2020/3/20, 137, 123, 44, 24, 11, 
2020/3/21, 154, 68, 50, 17, 8, 
2020/3/22, 102, 86, 52, 25, 12, 
2020/3/23, 134, 82, 58, 22, 11, 
2020/3/24, 147, 104, 56, 27, 12, 
2020/3/25, 171, 56, 26, 10, 6, 
2020/3/26, 110, 34, 33, 12, 4, 
2020/3/27, 64, 57, 16, 24, 3, 
2020/3/28, 89, , , , , 
2020/2/1, 151, 70, 35, 9, 10, 9
2020/2/2, 146, 73, 38, 11, 6, 9
2020/2/3, 149, 83, 30, 9, 6, 11
2020/2/4, 165, 50, 26, 7, 5, 6
2020/2/5, 116, 60, 24, 6, 5, 6
2020/2/6, 138, 108, 13, 15, 8, 17
2020/2/7, 199, 140, 33, 18, 16, 27
2020/2/8, 242, 77, 39, 14, 8, 17
2020/2/9, 153, 59, 49, 15, 12, 12
2020/2/10, 123, 90, 46, 19, 17, 19
2020/2/11, 175, 105, 50, 18, 15, 20
2020/2/12, 191, 124, 37, 14, 13, 20
2020/2/13, 226, 76, 20, 7, 6, 13
2020/2/14, 148, 32, 32, 4, 5, 5
2020/2/15, 70, 27, 35, 5, 5, 4
2020/2/16, 61, 38, 32, 10, 8, 10
2020/2/17, 81, 55, 35, 17, 10, 14
2020/2/18, 109, 75, 37, 19, 11, 14
2020/2/19, 158, 119, 18, 19, 5, 16
2020/2/20, 206, 101, 37, 12, 6, 14
2020/2/21, 156, 55, 34, 10, 5, 5
2020/2/22, 79, 85, 43, 20, 10, 9
2020/2/23, 146, 98, 23, 18, 11, 8
2020/2/24, 171, 89, 30, 11, 7, 3
2020/2/25, 177, 71, 21, 11, 6, 5
2020/2/26, 143, 49, 24, 13, 5, 1
2020/2/27, 107, 79, 17, 19, 5, 
2020/2/28, 168, 76, 11, 14, 3, 2
2020/2/29, 162, 65, 37, 15, 4, 8
2020/1/1, 145, 112, 11, 33, 16, 16
2020/1/2, 174, 139, 8, 39, 21, 25
2020/1/3, 207, 205, 11, 49, 29, 31
2020/1/4, 293, 161, 6, 46, 19, 23
2020/1/5, 258, 82, 24, 25, 10, 12
2020/1/6, 176, 115, 21, 19, 10, 10
2020/1/7, 157, 90, 23, 26, 6, 23
2020/1/8, 181, 136, 8, 30, 5, 28
2020/1/9, 207, 152, 22, 34, 9, 29
2020/1/10, 238, 122, 22, 33, 9, 21
2020/1/11, 212, 129, 15, 40, 15, 19
2020/1/12, 218, 149, 25, 36, 14, 
2020/1/13, 251, 146, 21, 33, 6, 1
2020/1/14, 241, 180, 8, 37, 6, 6
2020/1/15, 297, 162, 10, 40, 14, 5
2020/1/16, 274, 168, 5, 31, 13, 26
2020/1/17, 276, 225, 8, 35, 16, 18
2020/1/18, 303, 98, 25, 26, 9, 19
2020/1/19, 178, 69, 27, 21, 10, 5
2020/1/20, 140, 101, 15, 27, 15, 12
2020/1/21, 177, 129, 20, 27, 12, 20
2020/1/22, 210, 227, 25, 30, 14, 30
2020/1/23, 318, 113, 35, 16, 11, 11
2020/1/24, 210, 97, 34, 16, 9, 6
2020/1/25, 181, 124, 36, 12, 13, 12
2020/1/26, 215, 108, 39, 12, 10, 14
2020/1/27, 205, 102, 33, 15, 17, 19
2020/1/28, 196, 112, 45, 11, 9, 15
2020/1/29, 210, 99, 43, 15, 8, 17
2020/1/30, 186, 116, 45, 19, 13, 27
2020/1/31, 206, 78, 34, 9, 9, 12
2019/10/1, 101, 73, 95, 16, 5, 8
2019/10/2, 115, 76, 99, 17, 7, 10
2019/10/3, 129, 63, 27, 14, 5, 8
2019/10/4, 115, 29, 27, 12, 3, 4
2019/10/5, 62, 48, 22, 21, 3, 7
2019/10/6, 91, 66, 28, 19, 5, 22
2019/10/7, 129, 64, 28, 24, 5, 9
2019/10/8, 83, 59, 28, 21, 8, 15
2019/10/9, 81, 75, 26, 22, 4, 12
2019/10/10, 149, 71, 30, 27, 4, 9
2019/10/11, 149, 74, 28, 25, 5, 8
2019/10/12, 139, 81, 26, 25, 8, 7
2019/10/13, 143, 41, 18, 17, 8, 6
2019/10/14, 81, 56, 19, 25, 6, 12
2019/10/15, 83, 70, 8, 30, 13, 35
2019/10/16, 143, 97, 10, 32, 9, 22
2019/10/17, 174, 109, 31, 31, 9, 15
2019/10/18, 184, 113, 48, 30, 9, 19
2019/10/19, 180, 130, 45, 26, 9, 17
2019/10/20, 198, 112, 41, 31, 4, 12
2019/10/21, 157, 100, 45, 33, 9, 16
2019/10/22, 145, 100, 39, 29, 9, 19
2019/10/23, 159, 102, 18, 30, 7, 17
2019/10/24, 166, 45, 21, 21, 3, 5
2019/10/25, 76, 83, 19, 28, 10, 13
2019/10/26, 105, 87, 31, 31, 10, 15
