date, pm25, pm10, o3, no2, so2, co
2020/3/1, 151, 54, , 14, 3, 10
2020/3/2, 135, 53, , 18, 3, 8
2020/3/3, 119, 57, , 13, 5, 7
2020/3/4, 124, 58, , 14, 8, 7
2020/3/5, 158, 56, , 16, 5, 8
2020/3/6, 154, 70, , 14, 6, 9
2020/3/7, 166, 69, , 13, 6, 9
2020/3/8, 172, 69, , 15, 5, 11
2020/3/9, 167, 82, , 18, 6, 8
2020/3/10, 111, 87, , 19, 6, 6
2020/3/11, 113, 70, , 14, 4, 7
2020/3/12, 119, 70, , 13, 5, 7
2020/3/13, 119, 61, , 14, 5, 6
2020/3/14, 102, 59, , 20, 7, 6
2020/3/15, 95, 72, , 23, 7, 8
2020/3/16, 158, 69, , 22, 8, 8
2020/3/17, 126, 62, , 20, 7, 7
2020/3/18, 117, 168, , 14, 4, 4
2020/3/19, 100, 98, , 15, 5, 6
2020/3/20, 128, 75, , 18, 7, 9
2020/3/21, 139, 87, , 13, 6, 8
2020/3/22, 141, 60, , 25, 6, 7
2020/3/23, 100, 61, , 20, 7, 8
2020/3/24, 148, 48, , 13, 5, 9
2020/3/25, 124, 40, , 9, 3, 8
2020/3/26, 99, 33, , 12, 3, 5
2020/3/27, 44, 51, , 18, 5, 5
2020/3/28, 98, , , , , 
2020/2/1, 193, 94, , 9, 7, 14
2020/2/2, 201, 86, , 7, 6, 11
2020/2/3, 179, 95, , 7, 4, 13
2020/2/4, 196, 68, , 5, 3, 10
2020/2/5, 160, 50, , 5, 2, 9
2020/2/6, 150, 51, , 5, 3, 8
2020/2/7, 123, 59, , 6, 4, 10
2020/2/8, 159, 66, , 6, 5, 10
2020/2/9, 145, 46, , 7, 5, 7
2020/2/10, 124, 42, , 5, 4, 8
2020/2/11, 114, 51, , 6, 4, 9
2020/2/12, 143, 39, , 4, 4, 9
2020/2/13, 113, 64, , 7, 4, 11
2020/2/14, 130, 23, , 5, 3, 7
2020/2/15, 50, 27, , 6, 4, 5
2020/2/16, 44, 26, , 7, 5, 5
2020/2/17, 68, 31, , 7, 3, 5
2020/2/18, 109, 39, , 7, 5, 6
2020/2/19, 115, 69, , 9, 4, 9
2020/2/20, 167, 77, , 6, 4, 6
2020/2/21, 109, 71, , 11, 5, 6
2020/2/22, 109, 74, , 13, 5, 8
2020/2/23, 152, 76, , 15, 5, 9
2020/2/24, 161, 64, , 9, 5, 12
2020/2/25, 137, 65, , 9, 4, 9
2020/2/26, 145, 56, , 10, 4, 8
2020/2/27, 142, 48, , 12, 4, 9
2020/2/28, 124, 52, , 15, 4, 10
2020/2/29, 143, 56, , 11, 3, 12
2020/1/1, 160, 85, , 22, 6, 10
2020/1/2, 184, 111, , 26, 5, 13
2020/1/3, 205, 111, , 23, 6, 13
2020/1/4, 217, 74, , 20, 4, 17
2020/1/5, 180, 59, , 27, 5, 21
2020/1/6, 174, 57, , 15, 4, 16
2020/1/7, 135, 50, , 16, 5, 12
2020/1/8, 156, 43, , 17, 4, 9
2020/1/9, 151, 77, , 30, 5, 10
2020/1/10, 180, 106, , 23, 6, 17
2020/1/11, 221, 124, , 25, 5, 18
2020/1/12, 240, 117, , 20, 4, 17
2020/1/13, 238, 123, , 19, 7, 16
2020/1/14, 244, 77, , 14, 6, 11
2020/1/15, 179, , , 15, 5, 10
2020/1/16, 176, 93, , 19, 5, 11
2020/1/17, 192, 100, , 24, 5, 17
2020/1/18, 208, 66, , 15, 6, 9
2020/1/19, 141, 64, , 15, 6, 9
2020/1/20, 132, 110, , 20, 6, 15
2020/1/21, 219, 130, , 21, 5, 18
2020/1/22, 264, 118, , 18, 4, 20
2020/1/23, 232, 138, , 10, 4, 22
2020/1/24, 285, 69, , 7, 6, 13
2020/1/25, 165, 80, , 7, 7, 14
2020/1/26, 180, 62, , 7, 6, 12
2020/1/27, 171, 69, , 7, 6, 13
2020/1/28, 170, 76, , 8, 5, 13
2020/1/29, 175, 88, , 10, 5, 12
2020/1/30, 187, 73, , 7, 5, 10
2020/1/31, 178, 86, , 8, 5, 12
2019/10/1, 106, 63, , 12, 4, 7
2019/10/2, 101, 75, , 20, 7, 9
2019/10/3, 126, 46, , 10, 4, 10
2019/10/4, 106, 20, , 8, 6, 7
2019/10/5, 42, 21, , 13, 8, 8
2019/10/6, 59, 26, , 12, 4, 8
2019/10/7, 71, 44, , 17, 7, 10
2019/10/8, 86, 29, , 14, 4, 7
2019/10/9, 77, 30, , 16, 4, 9
2019/10/10, 63, 45, , 15, 5, 10
2019/10/11, 102, 47, , 15, 8, 10
2019/10/12, 96, 55, , 18, 5, 9
2019/10/13, 101, 53, , 14, 4, 8
2019/10/14, 85, 48, , 16, 6, 7
2019/10/15, 87, 51, , 24, 6, 8
2019/10/16, 129, 50, , 23, 6, 9
2019/10/17, 135, 53, , 27, 8, 11
2019/10/18, 126, 56, , 28, 7, 10
2019/10/19, 119, 65, , 24, 9, 11
2019/10/20, 134, 91, , 21, 8, 14
2019/10/21, 166, 100, , 29, 7, 13
2019/10/22, 162, 74, , 26, 5, 11
2019/10/23, 150, 64, , 21, 5, 10
2019/10/24, 122, 50, , 15, 6, 5
2019/10/25, 68, 59, , 19, 5, 6
2019/10/26, 117, 53, , 19, 6, 6
2019/10/27, 103, 180, , 18, 6, 5
2019/10/28, 135, 170, , 27, 9, 8
2019/10/29, 169, 116, , 24, 8, 6
2019/10/30, 152, 76, , 25, 9, 7
2019/10/31, 129, 108, , 34, 13, 11
2019/11/1, 188, 117, , 35, 15, 14
2019/11/2, 206, 82, , 19, 8, 12
2019/11/3, 168, 55, , 16, 4, 9
2019/11/4, 115, 77, , 26, 7, 11
2019/11/5, 161, 78, , 25, 6, 11
2019/11/6, 170, 98, , 25, 7, 12
2019/11/7, 193, 89, , 25, 7, 12
2019/11/8, 173, 95, , 21, 6, 12
2019/11/9, 189, 78, , 12, 4, 5
2019/11/10, 87, 81, , 24, 8, 7
2019/11/11, 127, 89, , 30, 9, 10
2019/11/12, 161, 54, , 13, 5, 5
2019/11/13, 65, 57, , 18, 5, 5
2019/11/14, 100, 70, , 28, 10, 8
2019/11/15, 140, 105, , 33, 18, 14
2019/11/16, 197, 60, , 18, 5, 11
2019/11/17, 138, 100, , 16, 6, 6
2019/11/18, 98, 93, , 22, 5, 6
2019/11/19, 140, 86, , 25, 8, 8
2019/11/20, 160, 82, , 24, 7, 8
2019/11/21, 162, 88, , 27, 5, 11
2019/11/22, 179, 107, , 31, 7, 13
2019/11/23, 210, 72, , 16, 6, 12
2019/11/24, 163, 42, , 11, 4, 5
2019/11/25, 55, 54, , 19, 5, 6
2019/11/26, 138, 74, , 21, 7, 9
2019/11/27, 156, 54, , 17, 6, 6
2019/11/28, 106, 57, , 17, 6, 6
2019/11/29, 150, 70, , 21, 6, 8
2019/11/30, 172, 70, , 21, 7, 10
2019/12/1, 173, 49, , 18, 6, 5
2019/12/2, 69, 56, , 20, 7, 6
2019/12/3, 116, 61, , 24, 10, 8
2019/12/4, 130, 85, , 28, 9, 10
2019/12/5, 167, 69, , 17, 4, 8
2019/12/6, 168, 98, , 21, 3, 11
2019/12/7, 214, 109, , 22, 4, 14
2019/12/8, 241, 79, , 22, 5, 10
2019/12/9, 192, 77, , 24, 6, 9
2019/12/10, 140, 94, , 29, 8, 12
2019/12/11, 165, 89, , 28, 8, 11
2019/12/12, 180, 108, , 31, 8, 15
2019/12/13, 206, 78, , 25, 9, 13
2019/12/14, 169, 62, , 22, 5, 12
2019/12/15, 150, 26, , 18, 3, 13
2019/12/16, 118, 62, , 19, 5, 14
2019/12/17, 167, 37, , 13, 4, 8
2019/12/18, 129, 78, , 22, 4, 11
2019/12/19, 178, 83, , 20, 4, 11
2019/12/20, 189, 93, , 23, 4, 12
2019/12/21, 197, 71, , 21, 3, 12
2019/12/22, 191, 133, , 19, 3, 17
2019/12/23, 255, 130, , 23, 4, 17
2019/12/24, 252, 110, , 22, 4, 18
2019/12/25, 237, 46, , 16, 5, 12
