date, pm25, pm10, o3, no2, so2, co
2020/3/1, 148, 70, , 21, 5, 11
2020/3/2, 156, 62, , 31, 4, 8
2020/3/3, 152, 60, , 26, 6, 9
2020/3/4, 128, 68, , 21, 5, 7
2020/3/5, 139, 63, , 21, 4, 7
2020/3/6, 150, 95, , 28, 6, 14
2020/3/7, 175, 78, , 18, 4, 8
2020/3/8, 169, 63, , 18, 5, 17
2020/3/9, 145, 62, , 16, 6, 9
2020/3/10, 152, 82, , 21, 5, 9
2020/3/11, 147, 74, , 21, 6, 9
2020/3/12, 144, 66, , 19, 4, 8
2020/3/13, 124, 64, , 18, 5, 8
2020/3/14, 128, 70, , 25, 10, 8
2020/3/15, 121, 60, , 18, 5, 7
2020/3/16, 103, 91, , 25, 9, 10
2020/3/17, 162, 103, , 29, 9, 10
2020/3/18, 160, 150, , 16, 6, 6
2020/3/19, 97, 88, , 25, 9, 9
2020/3/20, 132, 87, , 31, 10, 9
2020/3/21, 152, 74, , 16, 7, 8
2020/3/22, 118, 62, , 23, 7, 6
2020/3/23, 111, 63, , 21, 6, 6
2020/3/24, 110, 56, , 23, 5, 7
2020/3/25, 132, 82, , 17, 6, 12
2020/3/26, 166, 46, , 17, 8, 9
2020/3/27, 80, 50, , 16, 5, 6
2020/3/28, 118, , , , , 
2020/2/1, 182, 100, , 12, 5, 12
2020/2/2, 201, 81, , 8, 5, 11
2020/2/3, 172, 75, , 9, 4, 11
2020/2/4, 166, 50, , 5, 3, 7
2020/2/5, 112, 30, , 3, 2, 4
2020/2/6, 74, 41, , 5, 3, 7
2020/2/7, 99, 53, , 8, 3, 7
2020/2/8, 136, 65, , 8, 4, 8
2020/2/9, 160, 64, , 9, 4, 8
2020/2/10, 150, 56, , 8, 3, 7
2020/2/11, 145, 46, , 6, 3, 7
2020/2/12, 121, 50, , 6, 3, 9
2020/2/13, 127, 41, , 7, 3, 9
2020/2/14, 115, 26, , 5, 3, 7
2020/2/15, 78, 37, , 5, 4, 5
2020/2/16, 78, 40, , 7, 4, 5
2020/2/17, 87, 47, , 11, 4, 6
2020/2/18, 108, 60, , 18, 4, 6
2020/2/19, 144, 81, , 23, 4, 8
2020/2/20, 169, 91, , 20, 4, 9
2020/2/21, 172, 86, , 19, 5, 8
2020/2/22, 134, 91, , 19, 5, 8
2020/2/23, 160, 98, , 20, 4, 10
2020/2/24, 174, 84, , 18, 4, 13
2020/2/25, 175, 59, , 13, 3, 8
2020/2/26, 140, 47, , 14, 4, 8
2020/2/27, 103, 49, , 18, 3, 8
2020/2/28, 133, 47, , 13, 3, 7
2020/2/29, 121, 64, , 16, 4, 11
2020/1/1, 151, 90, , 24, 5, 9
2020/1/2, 170, 124, , 36, 10, 16
2020/1/3, 197, 169, , 42, 11, 19
2020/1/4, 266, 116, , 22, 5, 13
2020/1/5, 209, 52, , 20, 3, 16
2020/1/6, 125, 32, , 18, 3, 13
2020/1/7, 94, 69, , 18, 7, 11
2020/1/8, 153, 75, , 24, 7, 11
2020/1/9, 162, 76, , 24, 7, 11
2020/1/10, 161, 113, , 29, 10, 16
2020/1/11, 214, 144, , 30, 7, 21
2020/1/12, 248, 141, , 24, 6, 19
2020/1/13, 252, 121, , 27, 10, 17
2020/1/14, 214, 92, , 22, 8, 13
2020/1/15, 178, 76, , 22, 4, 12
2020/1/16, 171, 99, , 19, 6, 11
2020/1/17, 190, 106, , 20, 4, 11
2020/1/18, 190, 123, , 22, 4, 14
2020/1/19, 218, 128, , 25, 7, 15
2020/1/20, 205, 119, , 24, 4, 12
2020/1/21, 206, 87, , 21, 5, 12
2020/1/22, 167, 73, , 18, 5, 11
2020/1/23, 161, 118, , 9, 5, 13
2020/1/24, 217, 57, , 6, 7, 7
2020/1/25, 141, 62, , 8, 6, 10
2020/1/26, 156, 74, , 8, 5, 12
2020/1/27, 170, 68, , 8, 4, 7
2020/1/28, 157, 81, , 9, 6, 10
2020/1/29, 175, 117, , 10, 5, 12
2020/1/30, 222, 76, , 12, 4, 9
2020/1/31, 169, 93, , 13, 4, 9
2019/10/1, 111, 65, , 18, 5, 10
2019/10/2, 123, 84, , 36, 6, 9
2019/10/3, 143, 86, , 26, 5, 8
2019/10/4, 146, 35, , 12, 3, 5
2019/10/5, 64, 38, , 14, 3, 6
2019/10/6, 69, 38, , 13, 2, 6
2019/10/7, 84, 63, , 28, 4, 8
2019/10/8, 117, 70, , 32, 5, 6
2019/10/9, 139, 60, , 19, 3, 7
2019/10/10, 104, 58, , 18, 6, 11
2019/10/11, 119, 47, , 18, 3, 8
2019/10/12, 96, 73, , 26, 4, 8
2019/10/13, 117, 57, , 18, 3, 7
2019/10/14, 89, 48, , 19, 4, 5
2019/10/15, 73, 80, , 31, 8, 11
2019/10/16, 145, 75, , 28, 10, 12
2019/10/17, 154, 88, , 34, 7, 13
2019/10/18, 169, 89, , 35, 6, 11
2019/10/19, 155, 76, , 31, 5, 7
2019/10/20, 148, 83, , 35, 6, 8
2019/10/21, 156, 89, , 36, 6, 8
2019/10/22, 153, 99, , 39, 7, 11
2019/10/23, 163, 124, , 40, 6, 12
2019/10/24, 175, 80, , 23, 8, 7
2019/10/25, 116, 70, , 24, 7, 6
2019/10/26, 113, 85, , 30, 11, 9
2019/10/27, 163, 262, , 28, 8, 7
2019/10/28, 178, 296, , 32, 10, 10
2019/10/29, 185, 206, , 34, 8, 10
2019/10/30, 182, 136, , 41, 11, 11
2019/10/31, 171, 140, , 44, 12, 15
2019/11/1, 187, 101, , 26, 6, 8
2019/11/2, 157, 83, , 24, 8, 8
2019/11/3, 144, 69, , 22, 5, 6
2019/11/4, 112, 101, , 36, 9, 11
2019/11/5, 172, 109, , 39, 8, 9
2019/11/6, 172, 118, , 35, 8, 14
2019/11/7, 183, 89, , 27, 7, 7
2019/11/8, 149, 110, , 29, 7, 11
2019/11/9, 185, 100, , 15, 5, 6
2019/11/10, 131, 139, , 35, 11, 10
2019/11/11, 167, 128, , 35, 9, 8
2019/11/12, 174, 84, , 22, 6, 6
2019/11/13, 129, 87, , 23, 8, 7
2019/11/14, 131, 78, , 27, 7, 8
2019/11/15, 145, 144, , 42, 11, 10
2019/11/16, 194, 104, , 26, 6, 13
2019/11/17, 171, 126, , 15, 5, 4
2019/11/18, 139, 129, , 24, 8, 8
2019/11/19, 160, 103, , 25, 7, 6
2019/11/20, 155, 72, , 23, 5, 5
2019/11/21, 113, 65, , 23, 5, 6
2019/11/22, 122, 79, , 25, 5, 9
2019/11/23, 149, 90, , 22, 5, 13
2019/11/24, 156, 47, , 16, 6, 8
2019/11/25, 85, 73, , 22, 6, 8
2019/11/26, 138, 82, , 22, 9, 8
