date, pm25, pm10, o3, no2, so2, co
2020/3/1, 155, 55, 38, 15, 4, 8
2020/3/2, 136, 55, 23, 18, 4, 7
2020/3/3, 112, 57, 26, 19, 6, 7
2020/3/4, 105, 58, 53, 17, 5, 7
2020/3/5, 134, 74, 45, 19, 5, 7
2020/3/6, 159, 87, 58, 20, 6, 9
2020/3/7, 173, 93, 48, 25, 5, 7
2020/3/8, 179, 117, 27, 22, 4, 12
2020/3/9, 206, 79, 38, 16, 5, 6
2020/3/10, 95, 88, 39, 23, 5, 5
2020/3/11, 104, 75, 47, 15, 5, 3
2020/3/12, 102, 59, 34, 12, 6, 4
2020/3/13, 92, 66, 38, 18, 6, 3
2020/3/14, 94, 55, 42, 15, 6, 3
2020/3/15, 75, 80, 34, 28, 10, 4
2020/3/16, 132, 60, 46, 15, 6, 3
2020/3/17, 84, 82, 51, 24, 6, 3
2020/3/18, 110, 199, 38, 10, 4, 2
2020/3/19, 104, 116, 55, 20, 7, 4
2020/3/20, 130, 128, 47, 27, 9, 7
2020/3/21, 157, 98, 63, 12, 8, 8
2020/3/22, 143, 81, 57, 23, 8, 6
2020/3/23, 119, 80, 63, 16, 9, 7
2020/3/24, 143, 70, 27, 17, 6, 9
2020/3/25, 144, 65, 29, 11, 3, 7
2020/3/26, 96, 40, 31, 10, 3, 3
2020/3/27, 46, 55, 10, 28, 3, 2
2020/3/28, 63, , , , , 
2020/2/1, 207, 64, 45, 10, 7, 10
2020/2/2, 161, 67, 46, 7, 5, 8
2020/2/3, 167, 85, 43, 10, 5, 11
2020/2/4, 181, 60, 22, 7, 3, 8
2020/2/5, 144, 49, 22, 7, 2, 7
2020/2/6, 130, 56, 32, 7, 3, 8
2020/2/7, 156, 73, 39, 11, 5, 11
2020/2/8, 174, 43, 45, 9, 4, 8
2020/2/9, 129, 39, 47, 9, 4, 5
2020/2/10, 94, 50, 41, 8, 5, 7
2020/2/11, 146, 58, 40, 9, 4, 7
2020/2/12, 156, 47, 24, 9, 5, 6
2020/2/13, 141, 70, 26, 10, 4, 8
2020/2/14, 119, 30, 30, 5, 3, 5
2020/2/15, 57, 26, 35, 4, 4, 4
2020/2/16, 37, 27, 37, 8, 5, 5
2020/2/17, 57, 35, 42, 10, 4, 5
2020/2/18, 72, 41, 40, 12, 4, 5
2020/2/19, 98, 60, 37, 16, 5, 9
2020/2/20, 178, 83, 38, 9, 4, 4
2020/2/21, 113, 77, 41, 13, 5, 4
2020/2/22, 96, 74, 50, 11, 5, 6
2020/2/23, 146, 74, 29, 16, 5, 11
2020/2/24, 167, 84, 43, 12, 5, 15
2020/2/25, 184, 62, 33, 8, 3, 10
2020/2/26, 154, 48, 23, 11, 4, 10
2020/2/27, 136, , 30, 14, 3, 11
2020/2/28, 145, , 21, 16, 3, 11
2020/2/29, 160, 66, 34, 12, 3, 14
2020/1/1, 129, 88, 7, 34, 8, 11
2020/1/2, 172, 115, 6, 42, 9, 14
2020/1/3, 198, 139, 8, 49, 7, 13
2020/1/4, 257, 86, 8, 34, 4, 20
