date, pm25, pm10, o3, no2, so2, co
2020/3/1, 205, 103, 33, 22, 14, 9
2020/3/2, 154, 98, 9, 17, 9, 4
2020/3/3, 167, 57, 15, 12, 8, 5
2020/3/4, 186, 75, 24, 18, 9, 7
2020/3/5, 142, 62, 11, 17, 5, 5
2020/3/6, 112, 40, 25, 13, 5, 8
2020/3/7, 82, 53, 7, 12, 4, 5
2020/3/8, 104, 69, 22, 12, 8, 5
2020/3/9, 123, 70, 38, 12, 13, 4
2020/3/10, 117, 76, 13, 18, 10, 6
2020/3/11, 123, 84, 19, 18, 5, 10
2020/3/12, 139, 75, 16, 15, 7, 4
2020/3/13, 123, 32, 9, 8, 3, 3
2020/3/14, 64, 57, 8, 13, 4, 6
2020/3/15, 112, 70, 35, 14, 6, 4
2020/3/16, 124, 87, 17, 29, 6, 5
2020/3/17, 135, 83, 35, 15, 8, 6
2020/3/18, 136, 97, 20, 18, 15, 5
2020/3/19, 142, 82, 29, 15, 11, 9
2020/3/20, 116, 100, 16, 16, 15, 4
2020/3/21, 149, 64, 15, 12, 9, 4
2020/3/22, 101, 73, 15, 12, 8, 4
2020/3/23, 122, 72, 19, 10, 6, 4
2020/3/24, 131, 86, 17, 12, 9, 4
2020/3/25, 152, , , , , 
2020/3/27, 77, 63, 9, 5, 4, 1
2020/3/28, 92, , , , , 
2020/2/1, 153, 81, 16, 13, 8, 5
2020/2/2, 154, 85, 34, 26, 12, 9
2020/2/3, 127, 106, 21, 26, 14, 8
2020/2/4, 167, 101, 36, 23, 11, 6
2020/2/5, 156, 97, 25, 17, 7, 5
2020/2/6, 157, 97, 29, 10, 7, 7
2020/2/7, 158, 127, 17, 9, 12, 8
2020/2/8, 179, 102, 24, 5, 7, 4
2020/2/9, 163, 89, 23, 6, 8, 7
2020/2/10, 149, 98, 27, 6, 9, 7
2020/2/11, 159, 99, 16, 7, 11, 7
2020/2/12, 156, 118, 44, 9, 11, 12
2020/2/13, 174, 127, 15, 8, 12, 6
2020/2/14, 182, 93, 35, 8, 13, 7
2020/2/15, 147, 105, 17, 4, 15, 9
2020/2/16, 162, 109, 37, 5, 12, 10
2020/2/17, 161, 117, 21, 8, 12, 8
2020/2/18, 174, 116, 33, 8, 17, 10
2020/2/19, 171, 129, 18, 7, 11, 7
2020/2/20, 179, 95, 32, 7, 14, 9
2020/2/21, 148, 122, 17, 7, 9, 6
2020/2/22, 178, 94, 16, 5, 11, 5
2020/2/23, 163, 73, 30, 5, 11, 6
2020/2/24, 132, 64, 12, 4, 5, 4
2020/2/25, 108, 70, 32, 4, 11, 7
2020/2/26, 135, 87, 14, 10, 9, 6
2020/2/27, 158, 88, 15, 17, 11, 7
2020/2/28, 146, 117, 30, 23, 13, 9
2020/2/29, 175, 151, 15, 18, 11, 5
2020/1/1, 181, 85, 37, 19, 6, 8
2020/1/2, 161, 58, 12, 13, 7, 6
2020/1/3, 119, 64, 33, 14, 6, 7
2020/1/4, 125, 61, 20, 16, 5, 5
2020/1/5, 124, 85, 39, 19, 7, 8
2020/1/6, 153, 121, 28, 19, 5, 10
2020/1/7, 183, 130, 34, 22, 7, 12
2020/1/8, 193, 107, 19, 19, 7, 8
2020/1/9, 179, 88, 35, 12, 5, 4
2020/1/10, 156, 74, 26, 12, 3, 3
2020/1/11, 151, 78, 32, 14, 4, 4
2020/1/12, 148, 111, 43, 25, 7, 11
2020/1/13, 170, 177, 36, 32, 8, 18
2020/1/14, 221, 131, 44, 28, 8, 15
2020/1/15, 185, 132, 33, 24, 11, 9
2020/1/16, 191, 105, 30, 19, 8, 10
2020/1/17, 165, 127, 24, 20, 6, 13
2020/1/18, 185, 90, 17, 12, 4, 9
2020/1/19, 163, 71, 42, 15, 8, 6
2020/1/20, 139, 112, 31, 25, 7, 10
2020/1/21, 175, 133, 375, 31, 12, 14
2020/1/22, 194, 117, 361, 20, 7, 8
2020/1/23, 178, 96, 265, 24, 9, 6
2020/1/24, 155, 108, 18, 27, 16, 6
2020/1/25, 170, 104, 22, 20, 8, 1
2020/1/26, 168, 106, 23, 24, 9, 11
2020/1/27, 163, 145, 16, 28, 13, 11
2020/1/28, 193, 116, 8, 20, 6, 11
2020/1/29, 181, 121, 12, 16, 10, 9
2020/1/30, 180, 86, 34, 18, 7, 6
2020/1/31, 145, 89, 22, 18, 9, 7
2019/10/1, 88, 58, 13, 10, 3, 4
2019/10/2, 118, 62, 9, 8, 3, 4
2019/10/3, 146, 47, 17, 8, 3, 3
2019/10/4, 97, 53, 13, 14, 3, 5
2019/10/5, 121, 46, 13, 14, 3, 4
2019/10/6, 108, 41, 20, 8, 4, 3
2019/10/7, 100, 37, 12, 7, 3, 3
2019/10/8, 89, 23, 9, 6, 3, 3
2019/10/9, 60, 38, 10, 8, 3, 5
2019/10/10, 90, 49, 16, 9, 3, 5
2019/10/11, 111, 57, 20, 8, 3, 5
2019/10/12, 130, 61, 32, 12, 3, 6
2019/10/13, 135, 81, 29, 16, 4, 6
2019/10/14, 156, 67, 31, 14, 3, 5
2019/10/15, 137, 79, 22, 14, 4, 3
2019/10/16, 160, 73, 12, 16, 4, 5
2019/10/17, 153, 60, 23, 8, 3, 3
2019/10/18, 138, 73, 17, 11, 3, 4
2019/10/19, 160, 64, 27, 7, 4, 2
2019/10/20, 150, 55, 14, 9, 3, 5
2019/10/21, 122, 78, 29, 15, 4, 7
2019/10/22, 154, 79, 19, 10, 4, 4
2019/10/23, 160, 23, 16, 4, 2, 3
2019/10/24, 65, 10, 19, 6, 2, 2
2019/10/25, 31, 21, 8, 8, 3, 4
2019/10/26, 58, 119, 11, 13, 4, 7
2019/10/27, 186, 65, 20, 13, 3, 4
2019/10/28, 139, 87, 17, 14, 3, 5
2019/10/29, 167, 93, 21, 18, 3, 6
2019/10/30, 178, 99, 22, 18, 3, 6
2019/10/31, 183, 96, 20, 16, 2, 5
2019/11/1, 175, 92, 21, 16, 3, 5
2019/11/2, 172, 104, 19, 17, 3, 6
2019/11/3, 187, 113, 17, 17, 3, 8
2019/11/4, 192, 150, 24, 17, 4, 7
2019/11/5, 224, 125, 25, 21, 4, 6
2019/11/6, 184, 142, 33, 22, 4, 8
2019/11/7, 184, 91, 18, 15, 3, 4
2019/11/8, 148, 56, 12, 7, 3, 3
2019/11/9, 99, 37, 12, 8, 3, 3
2019/11/10, 72, 74, 21, 13, 3, 4
2019/11/11, 130, 118, 34, 17, 6, 6
2019/11/12, 172, 109, 33, 24, 5, 8
2019/11/13, 171, 128, 31, 20, 4, 6
2019/11/14, 183, 110, 35, 23, 7, 8
2019/11/15, 166, 112, 30, 22, 6, 7
2019/11/16, 172, 122, 42, 22, 6, 8
2019/11/17, 181, 153, 42, 22, 8, 9
2019/11/18, 185, 96, 29, 18, 7, 5
2019/11/19, 158, 132, 44, 30, 11, 11
2019/11/20, 179, 151, 37, 28, 6, 9
2019/11/21, 198, 132, 32, 25, 7, 6
2019/11/22, 184, 144, 30, 21, 12, 9
2019/11/23, 192, 144, 30, 26, 10, 10
2019/11/24, 196, 168, 32, 30, 6, 12
2019/11/25, 211, 157, 34, 20, 4, 10
2019/11/26, 208, 153, 42, 25, 7, 10
2019/11/27, 204, 129, 28, 21, 7, 8
2019/11/28, 183, 121, 30, 24, 5, 7
2019/11/29, 174, 122, 30, 23, 6, 6
2019/11/30, 174, 101, 25, 20, 9, 5
2019/12/1, 162, 88, 38, 19, 6, 7
2019/12/2, 150, 108, 31, 19, 5, 7
2019/12/3, 172, 100, 24, 18, 4, 5
2019/12/4, 163, 100, 6, 16, 5, 6
2019/12/5, 169, 88, 15, 15, 6, 9
2019/12/6, 151, 127, 7, 27, 8, 9
2019/12/7, 177, 115, 7, 23, 6, 7
2019/12/8, 177, 101, 17, 22, 7, 8
2019/12/9, 161, 106, 10, 13, 7, 6
2019/12/10, 168, 125, 19, 16, 7, 6
2019/12/11, 181, 117, 8, 18, 3, 4
2019/12/12, 177, 119, 10, 19, 5, 6
