date, pm25, o3, no2, so2, co
2020/3/1, 169, 42, 2, 7, 9
2020/3/2, 158, 35, 4, 6, 5
2020/3/3, 168, 40, 2, 7, 7
2020/3/4, 136, 43, , 7, 8
2020/3/5, 152, 42, 1, 7, 7
2020/3/6, 114, 55, 3, 6, 6
2020/3/7, 103, 55, 2, 7, 7
2020/3/8, 138, 59, 2, 7, 8
2020/3/9, 124, 41, , 6, 6
2020/3/10, 155, 52, , 7, 7
2020/3/11, 126, 62, 1, 7, 7
2020/3/12, 132, 84, , 6, 6
2020/3/13, 132, 51, , 6, 7
2020/3/14, 70, 64, 1, 6, 7
2020/3/15, 98, 51, 2, 6, 6
2020/3/16, 125, 50, 2, 5, 6
2020/3/17, 132, , , , 
2020/3/19, 90, 32, 2, 7, 9
2020/3/20, 104, 37, 1, 6, 7
2020/3/21, 129, 57, 1, 6, 6
2020/3/22, 114, 53, , 6, 6
2020/3/23, 128, 43, , 6, 6
2020/3/24, 125, 35, 1, 7, 7
2020/3/25, 129, 33, , 6, 5
2020/3/26, 92, 28, , 7, 6
2020/3/27, 90, 22, , 7, 7
2020/3/28, 102, , , , 
2020/2/1, 158, 21, 4, 7, 7
2020/2/2, 145, 31, 5, 7, 9
2020/2/3, 165, 35, 4, 7, 7
2020/2/4, 171, 35, 4, 7, 6
2020/2/5, 182, 43, 5, 8, 10
2020/2/6, 171, 30, 3, 6, 8
2020/2/7, 164, 35, 5, 7, 8
2020/2/8, 175, 33, 4, 6, 6
2020/2/9, 194, 33, 7, 7, 10
2020/2/10, 220, 29, 5, 7, 7
2020/2/11, 178, 25, 5, 6, 6
2020/2/12, 174, 36, 4, 7, 9
2020/2/13, 165, 29, 4, 7, 7
2020/2/14, 129, 23, 3, 7, 7
2020/2/15, 120, 32, 4, 7, 7
2020/2/16, 145, 42, 4, 7, 6
2020/2/17, 170, 37, 5, 7, 9
2020/2/18, 148, 37, 4, 7, 8
2020/2/19, 151, 41, 3, 6, 6
2020/2/20, 157, 72, 1, 7, 7
2020/2/21, 171, 66, 1, 6, 6
2020/2/22, 155, 51, 1, 7, 7
2020/2/23, 142, 42, 3, 7, 6
2020/2/24, 115, 39, 1, 7, 6
2020/2/25, 107, 35, 2, 7, 7
2020/2/26, 123, 39, 2, 6, 7
2020/2/27, 127, 37, 2, 7, 7
2020/2/28, 136, 63, 3, 7, 7
2020/2/29, 167, 46, 2, 7, 6
2020/1/1, 282, 32, 2, 7, 6
2020/1/2, 179, 37, 2, 7, 7
2020/1/3, 127, 23, 1, 7, 7
2020/1/4, 152, 23, 2, 7, 6
2020/1/5, 136, 28, 4, 7, 8
2020/1/6, 158, 33, 4, 7, 8
2020/1/7, 169, 32, 3, 7, 6
2020/1/8, 164, 35, 2, 7, 7
2020/1/9, 161, 23, 2, 7, 7
2020/1/10, 144, 18, 4, 7, 7
2020/1/11, 160, 24, 4, 7, 7
2020/1/12, 197, 25, 3, 7, 6
2020/1/13, 192, 31, 2, 7, 7
2020/1/14, 178, 33, 2, 7, 8
2020/1/15, 185, 36, 3, 7, 6
2020/1/16, 174, 41, 3, 7, 7
2020/1/17, 172, 44, 1, 7, 7
2020/1/18, 173, 36, 1, 7, 6
2020/1/19, 155, 23, 3, 7, 7
2020/1/20, 145, 24, 4, 7, 7
2020/1/21, 171, 36, 4, 7, 8
2020/1/22, 191, 30, 4, 7, 6
2020/1/23, 164, 19, 4, 7, 7
2020/1/24, 127, 26, 4, 7, 6
2020/1/25, 164, 36, 4, 7, 7
2020/1/26, 190, 35, 5, 7, 8
2020/1/27, 196, 37, 3, 7, 7
2020/1/28, 182, 49, 3, 7, 7
2020/1/29, 178, 55, 2, 6, 6
2020/1/30, 170, 25, 3, 7, 8
2020/1/31, 130, 26, 3, 6, 7
2019/12/3, 193, 11, 16, 7, 7
2019/12/4, 205, 14, 13, 7, 8
2019/12/5, 222, 14, 10, 8, 10
2019/12/6, 213, 14, 8, 7, 7
2019/12/7, 205, 14, 7, 7, 6
2019/12/8, 173, 16, 7, 7, 10
2019/12/9, 187, 15, 6, 7, 7
2019/12/10, 197, 14, 6, 7, 7
2019/12/11, 182, 16, 5, 7, 4
2019/12/12, 176, 21, 3, 7, 3
2019/12/13, 154, 24, 3, 7, 4
2019/12/14, 153, 20, 3, 7, 3
2019/12/15, 151, 22, 4, 8, 11
2019/12/16, 157, 16, 4, 7, 3
2019/12/17, 150, 12, 4, 7, 4
2019/12/18, 159, 2, 4, 7, 5
2019/12/19, 163, 15, 6, 7, 7
2019/12/20, 195, 18, 5, 7, 9
2019/12/21, 277, 19, 6, 7, 8
2019/12/22, 208, 19, 4, 7, 7
2019/12/23, 184, 19, 5, 7, 8
2019/12/24, 208, 90, 5, 7, 8
2019/12/25, 226, 54, 3, 6, 6
2019/12/26, 172, 11, 3, 7, 7
2019/12/27, 172, 9, 3, 7, 8
2019/12/28, 200, 12, 4, 8, 9
2019/12/29, 200, , , , 
2020/3/18, , 27, 2, 7, 7
2019/12/31, , 39, 3, 7, 8
2019/12/2, , 10, 20, 8, 10
