date, pm25, pm10, o3, no2, so2, co
2020/3/1, 163, 103, 34, 34, 7, 10
2020/3/2, 166, 75, 7, 31, 3, 6
2020/3/3, 137, 57, 28, 18, 6, 4
2020/3/4, 114, 52, 21, 20, 3, 5
2020/3/5, 94, 57, 18, 19, 3, 6
2020/3/6, 109, 49, 16, 18, 2, 5
2020/3/7, 95, 53, 18, 18, 2, 6
2020/3/8, 101, 66, 35, 20, 2, 5
2020/3/9, 130, 74, 41, 21, 3, 6
2020/3/10, 145, 70, 32, 17, 4, 4
2020/3/11, 139, 77, 28, 18, 5, 5
2020/3/12, 132, 76, 36, 25, 4, 6
2020/3/13, 151, 70, 31, 14, 3, 4
2020/3/14, 125, 47, 32, 16, 5, 4
2020/3/15, 81, 78, 39, 23, 9, 6
2020/3/16, 147, 84, 40, 27, 4, 6
2020/3/17, 152, 99, 42, 28, 5, 7
2020/3/18, 168, 91, 55, 29, 6, 6
2020/3/19, 172, 63, 38, 20, 6, 5
2020/3/20, 133, 61, 35, 18, 6, 4
2020/3/21, 128, 28, 28, 9, 3, 2
2020/3/22, 74, , , , , 
2020/3/24, 123, 58, 31, 7, 5, 3
2020/3/25, 150, 50, 27, 7, 2, 3
2020/3/26, 126, 63, 33, 8, 4, 4
2020/3/27, 154, 67, 16, 6, 3, 4
2020/3/28, 158, , , , , 
2020/2/1, 157, 115, 39, 31, 4, 8
2020/2/2, 164, 90, 34, 31, 5, 8
2020/2/3, 148, 96, 36, 41, 9, 11
2020/2/4, 162, 113, 44, 42, 8, 11
2020/2/5, 174, 88, 46, 33, 7, 9
2020/2/6, 130, 97, 34, 34, 4, 9
2020/2/7, 96, 123, 18, 31, 9, 10
2020/2/8, 139, 96, 29, 27, 7, 6
2020/2/9, 137, 94, 31, 36, 6, 7
2020/2/10, 138, 113, 50, 41, 7, 10
2020/2/11, 176, 112, 43, 50, 6, 15
2020/2/12, 171, 110, 43, 51, 5, 13
2020/2/13, 165, 109, 43, 49, 7, 12
2020/2/14, 168, 82, 48, 36, 4, 9
2020/2/15, 140, 108, 44, 38, 4, 10
2020/2/16, 169, 101, 50, 37, 8, 10
2020/2/17, 164, 100, 46, 32, 5, 8
2020/2/18, 165, 84, 40, 23, 16, 6
2020/2/19, 159, 68, 35, 22, 13, 4
2020/2/20, 138, 87, 53, 34, 8, 9
2020/2/21, 156, 111, 46, 39, 6, 11
2020/2/22, 172, 101, 34, 29, 4, 8
2020/2/23, 160, 112, 31, 36, 8, 11
2020/2/24, 166, 80, 9, 28, 2, 8
2020/2/25, 145, 60, 30, 21, 4, 6
2020/2/26, 115, 61, 28, 23, 5, 7
2020/2/27, 111, 80, 37, 25, 4, 5
2020/2/28, 150, 80, 41, 29, 5, 11
2020/2/29, 145, 98, 45, 34, 5, 9
2020/1/1, 221, 157, 28, 35, 6, 11
2020/1/2, 199, 69, 18, 21, 3, 5
2020/1/3, 125, 80, 8, 23, 2, 10
2020/1/4, 141, 113, 16, 19, 2, 12
2020/1/5, 171, 126, 28, 26, 3, 12
2020/1/6, 179, 136, 33, 21, 6, 10
2020/1/7, 191, 159, 31, 27, 3, 12
2020/1/8, 209, 121, 15, 33, 3, 11
2020/1/9, 177, 116, 25, 26, 5, 8
2020/1/10, 176, 122, 27, 24, 5, 9
2020/1/11, 177, 112, 28, 23, 4, 7
2020/1/12, 174, 133, 25, 35, 4, 11
2020/1/13, 183, 228, 42, 48, 7, 20
2020/1/14, 239, 259, 41, 55, 10, 22
2020/1/15, 253, 205, 42, 48, 6, 16
2020/1/16, 221, 144, 32, 43, 6, 14
2020/1/17, 189, 119, 31, 37, 8, 9
