date, pm25, pm10, o3, no2, so2, co
2020/3/1, 110, 125, 27, 30, 7, 13
2020/3/2, 184, 118, 3, 33, 4, 12
2020/3/3, 170, 106, 25, 25, 10, 7
2020/3/4, 161, 48, 21, 16, 7, 8
2020/3/5, 97, 26, 20, 13, 6, 6
2020/3/6, 59, 62, 11, 20, 7, 15
2020/3/7, 122, 96, , 23, 5, 8
2020/3/8, 162, 82, 5, 20, 4, 8
2020/3/9, 120, 101, 24, 22, 8, 14
2020/3/10, 170, 77, 21, 18, 7, 14
2020/3/11, 153, 103, 11, 25, 7, 26
2020/3/12, 153, 111, 19, 28, 9, 10
2020/3/13, 141, 53, 12, 22, 6, 8
2020/3/14, 108, 82, 28, 22, 8, 5
2020/3/15, 151, 103, 22, 28, 5, 6
2020/3/16, 141, 93, 28, 25, 10, 9
2020/3/17, 140, 106, 28, 26, 13, 10
2020/3/18, 155, 141, 32, 30, 14, 8
2020/3/19, 191, 143, 31, 34, 11, 11
2020/3/20, 175, 158, 23, 34, 12, 11
2020/3/21, 186, 100, 22, 19, 11, 10
2020/3/22, 176, 90, 27, 22, 10, 9
2020/3/23, 145, , , , , 
2020/2/1, 185, 107, 26, 21, 7, 9
2020/2/2, 194, 119, 26, 26, 8, 9
2020/2/3, 232, 171, 32, 36, 8, 12
2020/2/4, 256, 127, 29, 25, 9, 7
2020/2/5, 207, 133, 38, 30, 10, 10
2020/2/6, 204, 128, 33, 28, 6, 7
2020/2/7, 203, 126, 35, 26, 9, 7
2020/2/8, 204, 128, 38, 29, 8, 7
2020/2/9, 205, 147, 37, 33, 8, 9
2020/2/10, 219, 141, 39, 31, 7, 9
2020/2/11, 210, 161, 33, 30, 9, 8
2020/2/12, 226, 126, 32, 21, 10, 10
2020/2/13, 171, 126, 29, 18, 7, 8
2020/2/14, 147, 126, 36, 25, 9, 10
2020/2/15, 166, 145, 40, 34, 12, 9
2020/2/16, 202, 188, 51, 39, 11, 11
2020/2/17, 228, 191, 40, 35, 12, 13
2020/2/18, 201, 169, 33, 31, 11, 13
2020/2/19, 229, 130, 34, 18, 11, 8
2020/2/20, 200, 46, 24, 12, 6, 8
2020/2/21, 105, 89, 25, 21, 6, 12
2020/2/22, 132, 101, 28, 20, 6, 6
2020/2/23, 172, 81, 20, 22, 5, 7
2020/2/24, 135, 117, 30, 28, 9, 8
2020/2/25, 185, 183, 29, 33, 13, 14
2020/2/26, 250, 126, 21, 23, 6, 9
2020/2/27, 202, 102, 21, 17, 10, 7
2020/2/28, 184, 74, 18, 16, 8, 9
2020/2/29, 149, 65, 25, 24, 9, 13
2020/1/3, 228, 207, 10, 29, 9, 22
2020/1/4, 300, 199, 20, 31, 5, 16
2020/1/5, 275, 175, 38, 30, 10, 11
2020/1/6, 242, 166, 41, 29, 12, 12
2020/1/7, 201, 101, 2, 18, 7, 8
2020/1/8, 202, 97, 2, 17, 6, 13
2020/1/9, 181, 91, 9, 18, 5, 8
2020/1/10, 201, 125, 16, 25, 7, 9
2020/1/11, 208, 156, 26, 30, 8, 15
2020/1/12, 295, 219, 32, 41, 10, 16
2020/1/13, 316, 161, 14, 25, 7, 14
2020/1/14, 226, 121, 9, 19, 3, 9
2020/1/15, 205, 106, 12, 20, 6, 13
2020/1/16, 194, 101, 5, 21, 6, 10
2020/1/17, 150, 67, 11, 18, 7, 6
2020/1/18, 194, 113, 9, 23, 6, 12
2020/1/19, 219, 127, 17, 21, 6, 11
2020/1/20, 244, 170, 13, 24, 4, 18
2020/1/21, 288, 196, 12, 29, 5, 16
2020/1/22, 242, 143, 12, 25, 5, 15
2020/1/23, 154, 97, 23, 20, 6, 8
2020/1/24, 170, 110, 27, 25, 5, 10
2020/1/25, 258, 170, 33, 37, 8, 12
2020/1/26, 305, 227, 31, 33, 9, 16
2020/1/27, 304, 226, 15, 40, 8, 20
2020/1/28, 183, 86, 18, 19, 7, 6
2020/1/29, 165, 99, 18, 27, 4, 12
2020/1/30, 162, 85, 24, 23, 8, 5
2020/1/31, 170, 100, 27, 24, 6, 7
2019/10/1, 108, 69, 13, 10, 3, 7
2019/10/2, 119, 93, 28, 16, 5, 9
2019/10/3, 159, 71, 28, 14, 4, 5
2019/10/4, 139, 75, 29, 16, 5, 5
2019/10/5, 114, 85, 36, 13, 5, 4
2019/10/6, 146, 101, 22, 12, 5, 4
2019/10/7, 152, 83, 33, 14, 5, 5
2019/10/8, 115, 89, 1, 18, 4, 8
2019/10/9, 169, , , , , 
2019/10/11, 169, 149, 29, 26, 6, 12
2019/10/12, 200, 152, 29, 25, 7, 11
2019/10/13, 223, 163, 31, 27, 5, 13
2019/10/14, 212, 180, 25, 31, 8, 16
2019/10/15, 235, 203, 10, 25, 7, 15
2019/10/16, 267, 146, 4, 24, 7, 11
2019/10/17, 220, 139, 10, 19, 5, 9
2019/10/18, 185, 132, 13, 27, 4, 14
2019/10/19, 166, 134, 13, 24, 5, 13
2019/10/20, 184, 145, 22, 24, 4, 9
2019/10/21, 205, 181, 18, 29, 5, 14
2019/10/22, 198, 195, 27, 34, 4, 16
2019/10/23, 224, 186, 4, 28, 5, 14
2019/10/24, 274, 140, 3, 26, 4, 13
2019/10/25, 220, 158, 31, 38, 6, 15
2019/10/26, 237, 280, 40, 37, 5, 22
2019/10/27, 337, 384, 51, 38, 12, 24
2019/10/28, 394, 384, 14, 38, 4, 25
2019/10/29, 429, 547, 18, 45, 6, 33
2019/10/30, 497, 533, 23, 49, 5, 39
2019/10/31, 489, 454, 30, 49, 7, 26
2019/11/1, 472, 361, 17, 34, 5, 16
2019/11/2, 419, 666, 7, 40, 3, 31
2019/11/3, 648, 294, 17, 31, 3, 16
2019/11/4, 354, 200, 29, 30, 6, 17
2019/11/5, 276, 165, 14, 50, 7, 22
2019/11/6, 221, 174, 4, 29, 11, 15
2019/11/7, 293, 133, 14, 28, 6, 10
2019/11/8, 233, 123, 23, 24, 6, 16
2019/11/9, 210, 210, 32, 30, 7, 12
2019/11/10, 317, 277, 34, 39, 7, 15
2019/11/11, 347, 366, 45, 41, 7, 15
2019/11/12, 441, 399, 33, 48, 6, 22
2019/11/13, 447, 350, 28, 45, 7, 26
2019/11/14, 418, 325, 14, 40, 6, 23
2019/11/15, 376, 161, 16, 25, 7, 12
2019/11/16, 226, 100, 14, 18, 5, 10
2019/11/17, 160, 148, 20, 28, 8, 18
2019/11/18, 216, 200, 22, 40, 7, 21
2019/11/19, 264, 240, 18, 51, 9, 27
2019/11/20, 315, 222, 12, 46, 12, 22
2019/11/21, 308, 208, 33, 45, 10, 16
2019/11/22, 312, 145, 7, 32, 7, 17
2019/11/23, 215, 117, 10, 25, 7, 11
2019/11/24, 172, 128, 8, 33, 6, 14
2019/11/25, 197, 128, 6, 31, 9, 11
2019/11/26, 195, 90, 7, 21, 8, 7
2019/11/27, 149, 30, 7, 12, 4, 7
2019/11/28, 85, 64, 6, 22, 6, 7
2019/11/29, 137, 103, 10, 26, 5, 12
2019/11/30, 186, 126, 15, 32, 5, 13
2019/12/1, 215, 152, 19, 41, 6, 11
2019/12/2, 248, 182, 45, 44, 7, 17
2019/12/3, 252, 225, 68, 39, 7, 26
2019/12/4, 290, 242, 7, 40, 5, 21
2019/12/5, 348, 181, 3, 37, 5, 14
2019/12/6, 300, 195, 3, 37, 7, 20
2019/12/7, 290, 196, 3, 36, 4, 20
2019/12/8, 304, 207, 4, 40, 6, 16
2019/12/9, 267, 291, 24, 52, 5, 22
2019/12/10, 353, 317, 2, 54, 3, 23
2019/12/11, 406, 280, 2, 35, 5, 17
2019/12/12, 383, 54, 1, 21, 2, 7
2019/12/13, 141, 56, 2, 20, 3, 10
2019/12/14, 141, 95, 2, 27, 5, 11
2019/12/15, 183, 86, 1, 21, 2, 12
2019/12/16, 175, 93, 1, 20, 5, 11
2019/12/17, 180, 135, 3, 27, 4, 15
2019/12/18, 232, 250, 2, 27, 6, 16
2019/12/19, 323, 293, 3, 36, 3, 29
2019/12/20, 374, 263, 2, 32, 4, 17
2019/12/21, 358, 112, 1, 21, 5, 12
2019/12/22, 207, 130, 1, 21, 5, 10
2019/12/23, 228, 215, 3, 29, 3, 13
2019/12/24, 296, 131, 1, 23, 5, 12
2019/12/25, 221, 151, 1, 21, 6, 12
2019/12/26, 243, 234, 1, 23, 4, 13
2019/12/27, 297, 274, 1, 23, 6, 17
2019/12/28, 328, 220, 2, 24, 6, 14
2019/12/29, 312, , , , , 
2019/7/17, 120, 83, 39, 37, 6, 12
2019/7/18, 117, 110, 36, 25, 5, 15
2019/7/19, 147, 84, 19, 25, 4, 12
2019/7/20, 126, 70, 21, 19, 5, 12
2019/7/21, 115, 80, 19, 19, 5, 15
2019/7/22, 134, 100, 28, 25, 6, 14
2019/7/23, 139, 114, 29, 33, 6, 6
2019/7/24, 142, 55, 16, 23, 3, 7
2019/7/25, 72, 32, 13, 16, 4, 9
2019/7/26, 62, 28, 12, 16, 3, 9
2019/7/27, 56, 34, 14, 13, 4, 8
2019/7/28, 53, 40, 15, 14, 4, 7
2019/7/29, 46, 52, 13, 14, 4, 9
2019/7/30, 65, 54, 17, 15, 4, 8
2019/7/31, 65, 59, 16, 16, 5, 8
2019/8/1, 91, 59, 15, 15, 4, 5
2019/8/2, 83, 44, 10, 16, 3, 9
2019/8/3, 73, 56, 13, 16, 4, 11
2019/8/4, 87, 78, 17, 20, 6, 9
2019/8/5, 133, 42, 10, 16, 4, 14
2019/8/6, 88, 52, 11, 15, 3, 9
2019/8/7, 62, 60, 10, 15, 6, 7
2019/8/8, 67, 41, 14, 12, 5, 10
2019/8/9, 28, 31, 14, 20, 4, 13
2019/8/10, 40, 61, 14, 26, 5, 13
2019/8/11, 85, 74, 49, 26, 4, 9
2019/8/12, 84, 61, 18, 25, 4, 14
2019/8/13, 85, 47, 23, 27, 9, 16
2019/8/14, 91, , , , , 
2019/8/16, 53, 12, 6, 10, 3, 10
2019/8/17, 18, 29, 9, 15, 4, 9
2019/8/18, 47, 66, 17, 16, 3, 11
2019/8/19, 124, 77, 15, 16, 4, 9
2019/8/20, 136, 107, 22, 19, 5, 8
2019/8/21, 167, 103, 20, 18, 4, 14
2019/8/22, 149, 121, 27, 24, 6, 13
2019/8/23, 152, 127, 12, 21, 6, 15
2019/8/24, 174, 49, 10, 15, 4, 10
2019/8/25, 100, 47, 9, 14, 5, 11
2019/8/26, 54, 89, 11, 16, 8, 9
2019/8/27, 128, 75, 12, 16, 9, 12
2019/8/28, 119, 69, 14, 15, 5, 10
2019/8/29, 108, 77, 14, 18, 9, 11
2019/8/30, 119, 107, 30, 21, 6, 14
2019/8/31, 156, 52, 14, 15, 4, 11
2019/9/1, 93, 72, 21, 15, 5, 11
2019/9/2, 134, 94, 17, 16, 5, 12
2019/9/3, 159, 90, 16, 19, 6, 12
2019/9/4, 144, 63, 7, 13, 5, 11
2019/9/5, 102, 67, 8, 15, 6, 10
2019/9/6, 110, 79, 8, 16, 5, 10
2019/9/7, 113, 57, 13, 12, 5, 10
2019/9/8, 92, 97, 21, 14, 4, 10
2019/9/9, 146, 108, 28, 14, 6, 13
2019/9/10, 162, 129, 29, 30, 6, 11
2019/9/11, 172, 88, 11, 23, 6, 7
2019/9/12, 138, 58, 8, 24, 5, 10
2019/9/13, 88, 54, 10, 19, 4, 8
2019/9/14, 78, 53, 6, 20, 2, 11
2019/9/15, 91, 104, 14, 25, 4, 9
2019/9/16, 171, 109, 13, 30, 3, 13
2019/9/17, 168, 63, 9, 23, 4, 9
2019/9/18, 101, 47, 6, 17, 8, 8
2019/9/19, 72, 68, 7, 17, 7, 10
2019/9/20, 117, 84, 15, 18, 10, 6
2019/9/21, 129, 48, 6, 12, 4, 8
2019/9/22, 91, 52, 7, 13, 7, 8
2019/9/23, 94, 69, 6, 10, 4, 9
2019/9/24, 121, 58, 7, 6, 4, 9
2019/9/25, 108, 43, 2, 3, 3, 9
2019/9/26, 72, 34, 3, 3, 2, 8
2019/9/27, 47, 43, 3, 6, 4, 7
2019/9/28, 73, 25, 5, 4, 5, 6
2019/9/29, 50, 47, 10, 7, 3, 8
2019/9/30, 88, 59, 8, 9, 5, 5
2020/1/1, , 334, 13, 29, 7, 27
2020/1/2, , 262, 10, 31, 9, 24
2019/10/10, , 120, 35, 29, 10, 12
2019/7/16, , 101, 2, 25, 2, 7
2019/8/15, , 46, 3, 8, 3, 3
