date, pm25, pm10, o3, no2, so2, co
2020/3/1, 55, 55, 12, 3, 6, 4
2020/3/2, 78, 127, 2, 3, 18, 4
2020/3/3, 151, 82, 15, 5, 5, 3
2020/3/4, 102, 66, 13, 12, 5, 2
2020/3/5, 96, 32, 9, 9, 4, 3
2020/3/6, 74, 24, 7, 7, 4, 3
2020/3/7, 50, 49, 9, 5, 5, 2
2020/3/8, 84, 105, 9, 4, 11, 3
2020/3/9, 135, 86, 12, 4, 8, 2
2020/3/10, 127, 63, 10, 3, 4, 2
2020/3/11, 108, 51, 9, 3, 3, 2
2020/3/12, 84, 57, 9, 3, 4, 1
2020/3/13, 85, 47, 6, 3, 4, 2
2020/3/14, 229, 66, 10, 3, 5, 2
2020/3/15, 109, 103, 14, 4, 14, 3
2020/3/16, 141, 94, 14, 5, 14, 3
2020/3/17, 140, 127, 12, 6, 17, 3
2020/3/18, 167, 67, 5, 6, 9, 1
2020/3/19, 141, 73, 9, 7, 3, 1
2020/3/20, 96, 95, 9, 7, 5, 2
2020/3/21, 151, 48, 12, 5, 3, 3
2020/3/22, 92, 46, 11, 5, 3, 2
2020/3/23, 77, 44, 5, 5, 3, 2
2020/3/24, 78, 26, 8, 5, 2, 2
2020/3/25, 61, 36, 7, 5, 2, 3
2020/3/26, 83, 37, 4, 5, 2, 2
2020/3/27, 90, 21, 3, 6, 2, 1
2020/3/28, 28, , , , , 
2020/2/1, 164, 115, 13, 9, 21, 4
2020/2/2, 159, 140, 12, 13, 16, 5
2020/2/3, 175, 75, 11, 11, 6, 4
2020/2/4, 137, 186, 15, 8, 27, 4
2020/2/5, 199, 161, 10, 13, 21, 3
2020/2/6, 185, 88, 11, 14, 24, 3
2020/2/7, 168, 91, 14, 13, 19, 4
2020/2/8, 170, 84, 14, 11, 11, 4
2020/2/9, 163, 98, 15, 12, 16, 4
2020/2/10, 175, 128, 12, 12, 22, 6
2020/2/11, 186, 127, 13, 5, 33, 4
2020/2/12, 166, 149, 7, 3, 39, 4
2020/2/13, 150, 124, 11, 2, 34, 3
2020/2/14, 116, 152, 9, 2, 55, 5
2020/2/15, 228, 90, 16, 2, 32, 4
2020/2/16, 107, 93, 17, 2, 21, 3
2020/2/17, 106, 157, 14, 2, 45, 4
2020/2/18, 115, 71, 19, 3, 16, 2
2020/2/19, 88, 54, 16, 2, 10, 2
2020/2/20, 71, 27, 12, 3, 6, 3
2020/2/21, 41, 70, 5, 3, 12, 5
2020/2/22, 100, 86, 3, 2, 10, 3
2020/2/23, 114, 57, 13, 3, 9, 3
2020/2/24, 81, 93, 12, 3, 13, 3
2020/2/25, 129, 74, 11, 3, 12, 3
2020/2/26, 106, 83, 11, 3, 7, 3
2020/2/27, 123, 114, 11, 2, 9, 3
2020/2/28, 131, 51, 8, 2, 6, 2
2020/2/29, 74, 35, 10, 2, 7, 2
2020/1/1, 172, 67, 8, 4, 4, 6
2020/1/2, 149, 114, 7, 4, 13, 7
2020/1/3, 199, 163, 9, 4, 16, 9
2020/1/4, 280, 141, 10, 4, 15, 7
2020/1/5, 223, 47, 4, 4, 8, 5
2020/1/6, 133, 41, 5, 4, 7, 5
2020/1/7, 115, 60, 5, 4, 11, 3
2020/1/8, 142, 91, 8, 4, 20, 3
2020/1/9, 168, 95, 13, 4, 23, 3
2020/1/10, 173, 144, 12, 3, 16, 4
2020/1/11, 228, 142, 3, 5, 15, 4
2020/1/12, 226, 88, 6, 5, 5, 4
2020/1/13, 161, 124, 5, 5, 13, 4
2020/1/14, 161, 114, 4, 5, 11, 3
2020/1/15, 167, 70, 3, 5, 11, 3
2020/1/16, 140, 93, 5, 5, 11, 4
2020/1/17, 163, 109, 6, 6, 19, 4
2020/1/18, 171, 111, 6, 6, 24, 4
2020/1/19, 159, 182, 6, 6, 30, 4
2020/1/20, 309, 78, 9, 8, 9, 3
2020/1/21, 137, 87, 10, 12, 11, 3
2020/1/22, 148, 95, 14, 10, 16, 3
2020/1/23, 159, 153, 11, 15, 42, 5
2020/1/24, 196, 100, 8, 15, 10, 4
2020/1/25, 158, 93, 12, 12, 13, 5
2020/1/26, 137, 109, 2, 14, 9, 3
2020/1/27, 172, 40, 8, 10, 7, 2
2020/1/28, 63, 74, 6, 9, 7, 3
2020/1/29, 125, 97, 7, 9, 13, 5
