date, pm25, o3, no2, so2, co
2020/3/1, 125, 32, 21, 7, 
2020/3/2, 140, 13, 27, 8, 
2020/3/3, 110, 37, 19, 9, 
2020/3/4, 128, 34, 12, 7, 
2020/3/5, 118, 27, 18, 4, 
2020/3/6, 93, 29, 7, 5, 
2020/3/7, 64, 28, 13, 7, 
2020/3/8, 134, 29, 14, 5, 
2020/3/9, 97, 37, 11, 6, 
2020/3/10, 149, 39, 9, 9, 
2020/3/11, 127, 30, 8, 9, 
2020/3/12, 136, 28, 7, 8, 
2020/3/13, 97, 36, 7, 5, 
2020/3/14, 79, 32, 7, 6, 
2020/3/15, 92, 33, 13, 8, 
2020/3/16, 107, 34, 18, 14, 
2020/3/17, 117, 36, 17, 9, 
2020/3/18, 127, 38, 26, 7, 
2020/3/19, 138, 51, 19, 8, 
2020/3/20, 158, 33, 11, 3, 
2020/3/21, 119, , , , 
2020/3/25, 89, 25, 2, 6, 
2020/3/26, 75, 16, 3, 7, 
2020/3/27, 84, 7, 3, 5, 
2020/3/28, 99, , , , 
2020/2/1, 147, 22, 28, 9, 
2020/2/2, 157, 24, 39, 10, 
2020/2/3, 188, 35, 35, 12, 
2020/2/4, 179, 24, 21, 7, 
2020/2/5, 139, 26, 19, 8, 
2020/2/6, 132, 29, 20, 8, 
2020/2/7, 139, 26, 23, 9, 
2020/2/8, 148, 32, 23, 8, 
2020/2/9, 160, 32, 24, 8, 
2020/2/10, 156, 32, 26, 9, 
2020/2/11, 154, 29, 26, 8, 
2020/2/12, 163, 20, 27, 7, 
2020/2/13, 142, 20, 21, 5, 
2020/2/14, 104, 21, 25, 7, 
2020/2/15, 95, 34, 29, 7, 
2020/2/16, 146, 30, 26, 5, 
2020/2/17, 174, 35, 26, 7, 
2020/2/18, 145, 43, 25, 8, 
2020/2/19, 173, 38, 10, 5, 
2020/2/20, 141, 32, 7, 5, 
2020/2/21, 138, 25, 9, 5, 
2020/2/22, 90, , , , 
2020/2/24, 148, 43, 9, 4, 
2020/2/25, 75, 41, 11, 5, 
2020/2/26, 91, 39, 11, 7, 
2020/2/27, 98, 38, 15, 6, 
2020/2/28, 125, 39, 15, 6, 
2020/2/29, 145, 35, 12, 5, 
2020/1/1, 211, 13, 20, 7, 
2020/1/2, 196, 8, 14, 7, 
2020/1/3, 187, 9, 18, 8, 
2020/1/4, 140, 10, 19, 8, 
2020/1/5, 164, 9, 19, 8, 
2020/1/6, 162, 9, 20, 9, 
2020/1/7, 203, 6, 15, 8, 
2020/1/8, 187, 7, 15, 9, 
2020/1/9, 158, 8, 14, 10, 
2020/1/10, 155, 11, 20, 11, 
2020/1/11, 195, 14, 22, 11, 
2020/1/12, 233, 4, 13, 7, 
2020/1/13, 195, 11, 21, 10, 
2020/1/14, 195, 3, 26, 10, 
2020/1/15, 207, 7, 8, 5, 
2020/1/16, 100, 9, 11, 9, 
2020/1/17, 123, 5, 15, 8, 
2020/1/18, 135, 7, 16, 8, 
2020/1/19, 128, 8, 15, 8, 
2020/1/20, 164, 3, 23, 12, 
2020/1/21, 182, 5, 26, 11, 
2020/1/22, 181, 15, 20, 10, 
2020/1/23, 134, 24, 23, 11, 
2020/1/24, 142, 34, 35, 10, 
2020/1/25, 191, 22, 34, 10, 
2020/1/26, 212, 32, 43, 10, 
2020/1/27, 185, 31, 25, 8, 
2020/1/28, 192, 26, 21, 9, 
2020/1/29, 171, 21, 28, 9, 
2020/1/30, 96, 24, 31, 13, 
2020/1/31, 131, 23, 33, 9, 
2019/12/4, 203, 18, 38, 10, 4
2019/12/5, 246, 18, 61, 10, 4
2019/12/6, 249, 13, 35, 9, 4
2019/12/7, 211, 13, 35, 7, 4
2019/12/8, 183, 13, 32, 6, 4
2019/12/9, 197, 13, 30, 7, 4
2019/12/10, 202, 12, 35, 17, 4
2019/12/11, 202, 16, 39, 19, 
2019/12/12, 197, 13, 22, 13, 
2019/12/13, 142, 10, 8, 10, 
2019/12/14, 96, 16, 7, 11, 
2019/12/15, 129, 17, 16, 13, 
2019/12/16, 138, 16, 15, 11, 
2019/12/17, 149, 13, 14, 10, 
2019/12/18, 157, 11, 16, 10, 
2019/12/19, 299, 11, 14, 10, 
2019/12/20, 283, 7, 35, 16, 
2019/12/21, 279, 16, 28, 12, 
2019/12/22, 218, 12, 20, 10, 
2019/12/23, 202, 8, 16, 10, 
2019/12/24, 180, 7, 17, 9, 
2019/12/25, 164, 9, 19, 9, 
2019/12/26, 171, 6, 14, 7, 
2019/12/27, 195, 9, 20, 9, 
2019/12/28, 202, 8, 20, 9, 
2019/12/29, 184, 9, 16, 8, 
2020/3/24, , 19, 7, 4, 
2020/2/23, , 61, 12, 7, 
2019/12/31, , 11, 24, 7, 
2019/12/3, , 18, 17, 5, 6
