date, pm10, o3, no2, so2, co
2017/10/1, 27, , 13, 7, 1
2017/10/2, 44, , 14, 7, 4
2017/10/3, 44, , 11, 5, 4
2017/10/4, 58, , 12, 3, 4
2017/10/5, 69, , 13, 4, 3
2017/10/6, 63, , 14, 9, 7
2017/10/7, 62, , 14, 8, 2
2017/10/8, 52, , 13, 6, 4
2017/10/9, 30, , 14, 8, 4
2017/10/10, 57, , 15, 6, 3
2017/10/11, 55, , 14, 8, 5
2017/10/12, 65, , 14, 8, 6
2017/10/13, 44, , , , 
2017/10/16, 90, , 16, 6, 3
2017/10/17, 114, , 17, 8, 4
2017/10/18, 86, , 18, 4, 3
2017/10/19, 54, , 16, 5, 4
2017/10/20, 68, , 16, 8, 6
2017/10/21, 67, , 18, 7, 4
2017/10/22, 90, , 16, 5, 4
2017/10/23, 76, , 18, 10, 7
2017/10/24, 59, , 17, 9, 6
2017/10/25, 50, , 15, 8, 11
2017/10/26, 85, , 11, 7, 25
2017/10/27, 91, , , , 
2017/10/30, 85, , 16, 10, 14
2017/10/31, 77, , 15, 7, 13
2017/11/1, 101, , , , 
2017/11/3, 104, 324, 18, 9, 7
2017/11/4, 127, , 13, 5, 10
2017/11/5, 98, , 14, 3, 8
2017/11/6, 97, 324, 23, 18, 14
2017/11/7, 185, , , , 
2017/7/1, 69, 324, 22, 12, 3
2017/7/2, 112, , 20, 8, 3
2017/7/3, 66, , 17, 6, 4
2017/7/4, 57, , 18, 7, 5
2017/7/5, 111, , 19, 9, 4
2017/7/6, 71, , 21, 7, 5
2017/7/7, 135, , 19, 8, 4
2017/7/8, 47, 324, 21, 12, 3
2017/7/9, 232, , 19, 9, 3
2017/7/10, 106, , 27, 10, 7
2017/7/11, 200, , 20, 7, 4
2017/7/12, 55, , 17, 6, 8
2017/7/13, 152, , 15, 6, 5
2017/7/14, 267, , 13, 7, 7
2017/7/15, 187, , 12, 7, 3
2017/7/16, 168, , 14, 9, 4
2017/7/17, 139, , 15, 7, 5
2017/7/18, 164, , 13, 8, 4
2017/7/19, 58, , 19, 7, 2
2017/7/20, 53, , 17, 6, 5
2017/7/21, 86, , 13, 9, 4
2017/7/22, 78, , 19, 10, 
2017/7/23, 32, , 7, 11, 4
2017/7/24, 53, , 19, 9, 3
2017/7/25, 61, , 28, 6, 5
2017/7/26, 55, , 21, 4, 5
2017/7/27, 59, , 19, 8, 6
2017/7/28, 70, , 24, 11, 4
2017/7/29, 69, , 20, 7, 4
2017/7/30, 66, , 23, 7, 6
2017/7/31, 65, , 23, 7, 6
2017/8/1, 61, , 26, 7, 5
2017/8/2, 82, , 21, 8, 5
2017/8/3, 68, , 18, 7, 6
2017/8/4, 127, 324, 23, 12, 4
2017/8/5, 147, , 16, 9, 4
2017/8/6, 349, , 14, 7, 7
2017/8/7, 160, , 18, 5, 5
2017/8/8, 264, 324, 22, 14, 5
2017/8/9, 225, , 17, 9, 4
2017/8/10, 255, 324, 25, 14, 5
2017/8/11, 357, , 18, 8, 7
2017/8/12, 327, , 17, 5, 6
2017/8/13, 214, , 20, 7, 6
2017/8/14, 117, , 19, 8, 5
2017/8/15, 33, , 20, 8, 5
2017/8/16, 38, , 21, 8, 4
2017/8/17, 61, , 17, 9, 4
2017/8/18, 21, , 15, 7, 5
2017/8/19, 21, , 16, 9, 4
2017/8/20, 16, , 23, 7, 4
2017/8/21, 21, , 21, 7, 3
2017/8/22, 27, 324, 24, 9, 3
2017/8/23, 61, , 17, 10, 5
2017/8/24, 20, , 14, 10, 5
2017/8/25, 22, , 16, 8, 5
2017/8/26, 24, , 15, 6, 2
2017/8/27, 27, , 16, 6, 5
2017/8/28, 33, , 17, 7, 4
2017/8/29, 28, 324, 21, 9, 5
2017/8/30, 103, 324, 80, 111, 6
2017/8/31, 477, , 25, 9, 6
2017/9/1, 58, , 29, 10, 11
2017/9/2, 94, , , , 
2017/9/4, 37, , 26, 7, 3
2017/9/5, 43, , 26, 7, 5
2017/9/6, 33, , , , 
2017/9/11, 20, , 20, 9, 5
2017/9/12, 19, , 21, 7, 6
2017/9/13, 18, , 18, 8, 2
2017/9/14, 21, , 15, 7, 3
2017/9/15, 22, , 14, 6, 4
2017/9/16, 67, , 15, 7, 4
2017/9/17, 50, , 15, 9, 3
2017/9/18, 54, , 15, 4, 4
2017/9/19, 58, , 17, 6, 6
2017/9/20, 44, , 14, 7, 3
2017/9/21, 66, , 17, 6, 3
2017/9/22, 67, 324, 31, 15, 4
2017/9/23, 206, , , , 
2017/9/25, 93, , 19, 8, 4
2017/9/26, 78, , 18, 8, 3
2017/9/27, 77, , 17, 8, 3
2017/9/28, 75, , 18, 7, 4
2017/9/29, 58, , 16, 8, 3
2017/9/30, 37, , 18, 8, 4
2017/4/5, 80, , 4, 14, 11
2017/4/6, 82, , , 45, 13
2017/4/14, 111, 17, 130, 216, 8
2017/4/15, 110, 3, , , 4
2017/4/16, 68, 2, , , 10
2017/4/17, 71, 5, 29, , 7
2017/4/18, 71, 8, 31, , 9
2017/4/19, 267, 7, 59, 15, 11
2017/4/20, 77, 5, 32, 14, 12
2017/4/21, 76, 5, 29, 31, 6
2017/4/22, 66, 5, 31, 28, 6
2017/4/23, 65, 7, 26, 24, 8
2017/4/24, 59, 12, 13, 22, 10
2017/4/25, 68, 17, 14, 20, 8
2017/4/26, 65, 24, 16, 26, 8
2017/4/27, 105, 13, 14, , 6
2017/4/28, 96, 9, 13, , 6
2017/4/29, 97, 8, 11, , 6
2017/4/30, 172, 10, 13, , 6
2017/5/1, 183, 11, 16, , 10
2017/5/2, 144, 12, 15, , 10
2017/5/3, 73, 12, 14, 22, 7
2017/5/4, 92, 8, 14, 11, 6
2017/5/5, 86, 6, 11, 6, 8
2017/5/6, 79, 12, 12, 7, 7
2017/5/7, 64, 7, 11, 8, 5
2017/5/8, 76, 10, 16, 8, 7
2017/5/9, 117, 13, 17, 8, 5
2017/5/10, 52, 4, 12, 7, 6
2017/5/11, 106, 1, 19, 8, 6
2017/5/12, 65, 7, 18, 7, 7
2017/5/13, 99, 12, 21, 8, 6
2017/5/14, 47, 7, 14, 8, 8
2017/5/15, 59, 12, 17, 8, 5
2017/5/16, 39, 12, 17, 7, 7
2017/5/17, 63, 9, 16, 9, 7
2017/5/18, 77, 16, 16, 8, 6
2017/5/19, 66, 9, 15, 12, 10
2017/5/20, 109, 11, 17, 12, 8
2017/5/21, 82, 10, 12, 12, 10
2017/5/22, 98, 9, 15, 9, 7
2017/5/23, 91, 8, 11, 8, 7
2017/5/24, 81, 7, 12, 7, 7
2017/5/25, 79, 16, 8, 7, 7
2017/5/26, 90, 19, 14, 5, 10
2017/5/27, 62, 11, 12, 8, 7
2017/5/28, 60, 14, 22, 8, 11
2017/5/29, 64, 324, 80, 121, 8
2017/5/30, 541, 16, 28, 8, 10
2017/5/31, 63, 76, 14, 10, 9
2017/6/1, 103, 20, 17, 6, 10
2017/6/2, 67, 22, 14, 9, 8
2017/6/3, 83, 10, 15, 10, 6
2017/6/4, 81, 14, 17, 7, 11
2017/6/5, 86, 14, 21, 9, 8
2017/6/6, 74, 13, 18, 8, 4
2017/6/7, 75, 6, 20, 8, 6
2017/6/8, 66, 6, 24, 9, 7
2017/6/9, 65, 8, 20, 9, 6
2017/6/10, 69, 8, 18, 6, 5
2017/6/11, 60, 9, 32, 5, 6
2017/6/12, 72, 10, 29, 6, 4
2017/6/13, 68, 15, 17, 6, 4
2017/6/14, 81, 324, 94, 146, 7
2017/6/15, 645, 11, 17, 11, 4
2017/6/16, 80, 64, 19, 8, 6
2017/6/17, 109, 70, 17, 8, 4
2017/6/18, 118, 63, 20, 7, 3
2017/6/19, 105, , 23, 7, 5
2017/6/20, 112, , 26, 6, 6
2017/6/21, 76, , 27, 8, 3
2017/6/22, 63, , 31, 9, 4
2017/6/23, 97, , 23, 9, 5
2017/6/24, 106, , 17, 9, 4
2017/6/25, 107, , 22, 9, 5
2017/6/26, 136, , 17, 8, 6
2017/6/27, 66, , 16, 8, 3
2017/6/28, 73, , 18, 9, 4
2017/6/29, 97, , 21, 8, 5
2017/6/30, 56, , 20, 8, 4
2017/1/2, 92, 8, 20, , 13
2017/1/3, 110, 45, 27, 216, 13
2017/1/4, 115, 5, 19, , 17
2017/1/5, 110, 8, 22, , 18
2017/1/6, 105, 246, 61, 216, 22
