date, pm25, pm10, o3, no2, so2, co
2020/3/1, 80, 75, 31, 14, 7, 10
2020/3/2, 110, 108, 13, 21, 7, 12
2020/3/3, 158, 76, 27, 12, 4, 5
2020/3/4, 109, 66, 23, 19, 6, 9
2020/3/5, 106, 61, 22, 19, 7, 8
2020/3/6, 92, 70, 22, 26, 7, 9
2020/3/7, 100, 61, 31, 22, 7, 8
2020/3/8, 92, 60, 27, 21, 6, 8
2020/3/9, 93, 68, 31, 13, 7, 8
2020/3/10, 103, 54, 27, 11, 8, 7
2020/3/11, 94, 90, 25, 20, 6, 5
2020/3/12, 138, 166, 28, 28, 7, 8
2020/3/13, 172, 135, 27, 22, 6, 16
2020/3/14, 161, 80, 32, 19, 6, 32
2020/3/15, 152, 68, 40, 19, 6, 7
2020/3/16, 148, 72, 39, 24, 6, 8
2020/3/17, 144, 77, 30, 21, 5, 9
2020/3/18, 131, 67, 24, 19, 5, 9
2020/3/19, 121, 71, 35, 15, 5, 5
2020/3/20, 139, 53, 38, 15, 6, 7
2020/3/21, 139, 57, 36, 10, 5, 4
2020/3/22, 103, 60, 34, 9, 4, 6
2020/3/23, 109, 58, 30, 10, 3, 5
2020/3/24, 107, 49, 26, 6, 3, 4
2020/3/25, 80, 32, 16, 6, 3, 5
2020/3/26, 72, 18, 6, 5, 3, 5
2020/3/27, 48, 25, 4, 8, 4, 6
2020/3/28, 31, , , , , 
2020/2/1, 111, 91, 26, 20, 5, 12
2020/2/2, 137, 76, 21, 17, 4, 8
2020/2/3, 116, 59, 18, 12, 3, 5
2020/2/4, 92, 76, 21, 20, 5, 8
2020/2/5, 113, 89, 21, 21, 5, 9
2020/2/6, 142, 81, 20, 19, 5, 7
2020/2/7, 128, 124, 19, 21, 5, 11
2020/2/8, 236, 92, 33, 24, 6, 11
2020/2/9, 152, 94, 22, 21, 4, 8
2020/2/10, 134, 88, 31, 23, 5, 13
2020/2/11, 128, 110, 19, 28, 5, 11
2020/2/12, 132, 158, 28, 31, 11, 17
2020/2/13, 165, 108, 26, 24, 7, 6
2020/2/14, 161, 95, 23, 31, 6, 6
2020/2/15, 139, 103, 26, 32, 6, 8
2020/2/16, 139, 130, 19, 43, 7, 12
2020/2/17, 192, 127, 24, 38, 6, 11
2020/2/18, 142, 121, 26, 29, 6, 8
2020/2/19, 141, 84, 28, 19, 6, 9
2020/2/20, 125, 127, 13, 20, 6, 10
2020/2/21, 164, 71, 19, 18, 6, 8
2020/2/22, 137, 64, 22, 13, 4, 5
2020/2/23, 115, 62, 22, 16, 5, 5
2020/2/24, 120, 85, 28, 21, 8, 9
2020/2/25, 145, 86, 25, 26, 7, 11
2020/2/26, 133, 85, 32, 22, 7, 9
2020/2/27, 136, 74, 24, 15, 5, 6
2020/2/28, 119, 89, 29, 19, 6, 11
