date, pm25, pm10, o3, no2, so2, co
2019/10/1, 122, 62, 27, 9, 3, 11
2019/10/2, 109, 76, 25, 9, 4, 9
2019/10/3, 108, 71, 18, 9, 4, 8
2019/10/4, 87, 89, 17, 10, 4, 9
2019/10/5, 102, 94, 30, 8, 3, 9
2019/10/6, 137, 72, 22, 11, 4, 5
2019/10/7, 106, 77, 19, 15, 3, 10
2019/10/8, 124, 91, 20, 20, 4, 8
2019/10/9, 151, 92, 12, 24, 4, 14
2019/10/10, 128, 93, 18, 15, 3, 10
2019/10/11, 118, 101, 23, 12, 3, 8
2019/10/12, 125, 114, 19, 14, 5, 9
2019/10/13, 175, 129, 16, 15, 5, 11
2019/10/14, 176, 114, 24, 13, 4, 10
2019/10/15, 157, 122, 19, 13, 5, 12
2019/10/16, 160, 128, 26, 15, 6, 8
2019/10/17, 186, 113, 23, 15, 4, 8
2019/10/18, 144, 106, 31, 11, 5, 5
2019/10/19, 173, 119, 28, 12, 4, 13
2019/10/20, 139, 114, 35, 14, 5, 7
2019/10/21, 154, 136, 26, 16, 5, 15
2019/10/22, 168, 137, 27, 15, 4, 12
2019/10/23, 178, 146, 26, 16, 7, 8
2019/10/24, 179, 196, 29, 16, 8, 14
2019/10/25, 234, 116, 19, 15, 5, 12
2019/10/26, 162, 126, 37, 15, 6, 12
2019/10/27, 182, 190, 20, 12, 6, 17
2019/10/28, 188, 114, 18, 12, 7, 17
2019/10/29, 161, 100, 15, 10, 6, 14
2019/10/30, 148, 86, 18, 10, 7, 16
2019/10/31, 122, 103, 21, 12, 5, 14
2019/11/1, 157, 98, 16, 9, 6, 13
2019/11/2, 149, 72, 24, 9, 6, 13
2019/11/3, 130, 65, 21, 13, 5, 11
2019/11/4, 101, 82, 26, 15, 3, 10
2019/11/5, 139, 95, 28, 15, 4, 11
2019/11/6, 152, 93, 25, 12, 3, 13
2019/11/7, 160, 146, 23, 11, 3, 14
2019/11/8, 169, 99, 21, 11, 3, 16
2019/11/9, 151, 91, 39, 10, 4, 23
2019/11/10, 149, 95, 33, 12, 4, 27
2019/11/11, 138, 106, 30, 12, 6, 21
2019/11/12, 157, 100, 21, 10, 5, 23
2019/11/13, 154, 80, 18, 11, 4, 18
2019/11/14, 128, 49, 6, 13, 3, 14
2019/11/15, 103, , , , , 
2019/7/1, 161, 81, 18, 14, 2, 8
2019/7/2, 145, 83, 20, 10, 2, 10
2019/7/3, 142, 99, 17, 11, 2, 6
2019/7/4, 148, 105, 15, 10, 2, 5
2019/7/5, 152, 117, 14, 9, 2, 5
2019/7/6, 152, 111, 31, 10, 2, 9
2019/7/7, 151, 128, 20, 9, 2, 7
2019/7/8, 168, 150, 19, 6, 2, 8
2019/7/9, 172, 136, 19, 10, 2, 7
2019/7/10, 174, 140, 15, 9, 2, 6
2019/7/11, 171, 126, 18, 15, 3, 6
2019/7/12, 174, 121, 18, 11, 3, 7
2019/7/13, 167, 233, 29, 15, 3, 6
2019/7/14, 223, 306, 21, 12, 2, 6
2019/7/15, 235, 217, 21, 10, 3, 8
2019/7/16, 194, 102, 19, 12, 2, 7
2019/7/17, 164, 86, 19, 13, 2, 7
2019/7/18, 139, 86, 20, 17, 3, 9
2019/7/19, 158, 96, 20, 17, 2, 6
2019/7/20, 147, 93, 22, 15, 2, 9
2019/7/21, 153, 83, 19, 14, 3, 7
2019/7/22, 144, 78, 19, 15, 4, 9
2019/7/23, 251, 84, 19, 15, 3, 9
2019/7/24, 144, 153, 15, 11, 4, 10
2019/7/25, 170, 237, 20, 11, 4, 8
2019/7/26, 204, 164, 19, 9, 3, 8
2019/7/27, 240, 167, 14, 9, 3, 9
2019/7/28, 174, 88, 19, 13, 8, 15
2019/7/29, 377, 115, 20, 11, 3, 9
2019/7/30, 183, 74, 21, 10, 3, 10
2019/7/31, 130, 91, 19, 9, 4, 8
2019/8/1, 135, 84, 19, 8, 4, 9
