date, pm25, pm10, o3, no2, so2, co
2020/3/2, 84, 63, , 3, 8, 18
2020/3/3, 95, 125, , 12, 11, 13
2020/3/4, 208, 60, , 12, 5, 8
2020/3/5, 120, 48, , 9, 5, 16
2020/3/6, 112, 52, , 16, 7, 10
2020/3/7, 115, , , , , 
2020/3/9, 121, , , , , 
2020/3/11, 146, 79, , 8, 14, 32
2020/3/12, 136, , , 6, 3, 7
2020/3/14, 69, , , , , 
2020/3/16, 117, 77, , 10, 9, 4
2020/3/17, 146, 85, , 15, 9, 10
2020/3/18, 145, 115, , 13, 13, 13
2020/3/19, 197, 77, , 7, 12, 
2020/3/20, 159, 62, , 12, 8, 12
2020/3/21, 125, , , , , 
2020/2/1, 178, , , , , 
2020/2/3, 228, 86, , 31, 6, 16
2020/2/4, 157, 124, , 30, 12, 15
2020/2/5, 193, 212, , 46, 5, 20
2020/2/6, 224, 156, , 51, 18, 12
2020/2/7, 222, 159, , 42, 8, 14
2020/2/8, 203, 134, , 44, 30, 8
2020/2/9, 203, 249, , 54, 12, 19
2020/2/10, 261, 151, , 30, 9, 17
2020/2/11, 209, 151, , 31, 12, 14
2020/2/12, 196, 105, , 27, 15, 7
2020/2/13, 167, 129, , 18, 8, 12
2020/2/14, 137, 108, , 27, 10, 10
2020/2/15, 164, , , , , 
2020/2/17, 171, 136, , 36, 35, 8
2020/2/18, 181, 135, , 23, 12, 15
2020/2/19, 193, 135, , 18, 5, 8
2020/2/20, 183, 27, , 15, 5, 5
2020/2/21, 67, 120, , 45, 14, 18
2020/2/22, 170, , , , , 
2020/2/24, 142, 60, , 17, 17, 8
2020/2/25, 145, 83, , 18, 6, 10
2020/2/26, 152, 91, , 21, 10, 12
2020/2/27, 166, 71, , 11, 11, 5
2020/2/28, 158, 67, , 13, 7, 8
2020/2/29, 151, , , , , 
2020/1/1, 367, 273, , 35, 15, 16
2020/1/2, 311, 88, 2, 23, 4, 6
2020/1/3, 145, 126, , 28, 5, 10
2020/1/4, 205, 147, , 26, 13, 8
2020/1/5, 241, 149, , 25, 7, 22
2020/1/6, 199, 101, , 23, 8, 12
2020/1/7, 187, 125, , 20, 4, 15
2020/1/8, 225, 104, , 23, 8, 12
2020/1/9, 189, 144, , 26, 7, 11
2020/1/10, 212, 174, , 25, 7, 16
2020/1/11, 269, 202, , 28, 8, 17
2020/1/12, 289, 128, , 19, 7, 15
2020/1/13, 221, 190, , 30, 12, 15
2020/1/14, 272, 151, , 31, 15, 15
2020/1/15, 223, 126, , 28, 12, 15
2020/1/16, 215, 55, , 18, 4, 17
2020/1/17, 127, 77, 4, 15, 4, 12
2020/1/18, 166, , , , , 
2020/1/20, 199, 160, , 21, 18, 12
2020/1/21, 237, 153, , 11, 4, 17
2020/1/22, 194, 100, , 5, 7, 12
2020/1/23, 150, 124, , 25, 15, 14
2020/1/24, 181, 132, , 26, 12, 15
2020/1/25, 199, , , , , 
2020/1/27, 327, 134, , 29, 19, 14
2020/1/28, 222, 120, , 34, 6, 17
2020/1/29, 157, 90, , 25, 7, 15
2020/1/30, 139, 81, , 23, 12, 6
2020/1/31, 155, 113, , 29, 5, 10
2019/10/1, 73, 98, 15, 7, 7, 6
2019/10/2, 151, , , , , 
2019/10/4, 135, 86, 29, 12, 11, 14
2019/10/5, 114, 91, 39, 10, 8, 10
2019/10/6, 139, 115, 33, 11, 8, 8
2019/10/7, 159, 107, 33, 15, 7, 4
2019/10/8, 147, 129, 41, 9, 12, 6
2019/10/9, 174, 152, 43, 11, 13, 9
2019/10/10, 189, 121, 56, 19, 10, 9
2019/10/11, 172, 152, 65, 20, 6, 10
2019/10/12, 196, 172, 50, 20, 13, 12
2019/10/13, 215, 145, 57, 20, 12, 12
2019/10/14, 199, 119, 47, 18, 10, 9
2019/10/15, 189, 179, 50, 17, 11, 11
2019/10/16, 221, 166, 49, 14, 13, 11
2019/10/17, 226, 113, 34, 14, 12, 11
2019/10/18, 184, 125, 43, 23, 18, 12
2019/10/19, 210, 165, 42, 20, 6, 13
2019/10/20, 223, 136, 44, 19, 12, 33
2019/10/21, 184, 140, 47, 22, 12, 12
2019/10/22, 197, 137, 73, 25, 12, 12
2019/10/23, 197, 127, 34, 19, 9, 11
2019/10/24, 193, 102, 5, 28, 9, 9
2019/10/25, 146, 119, 6, 27, 7, 9
2019/10/26, 183, 228, 6, 37, 16, 7
2019/10/27, 265, 298, 5, 33, 15, 9
2019/10/28, 355, 235, 6, 31, 9, 16
2019/10/29, 292, 174, 6, 30, 15, 9
2019/10/30, 205, 220, 6, 38, 7, 14
2019/10/31, 239, 139, 6, 32, 8, 11
2019/11/1, 214, 176, 6, 29, 7, 9
2019/11/2, 216, 178, 5, 24, 7, 7
2019/11/3, 256, 338, 5, 27, 6, 10
2019/11/4, 404, 250, 5, 31, 8, 7
2019/11/5, 294, 300, 6, 37, 12, 15
2019/11/6, 307, 232, 6, 34, 7, 22
2019/11/7, 297, 114, 6, 26, 12, 11
2019/11/8, 181, 126, 5, 28, 8, 11
2019/11/9, 179, 145, 4, 24, 9, 10
2019/11/10, 207, 121, 5, 27, 12, 10
2019/11/11, 185, 135, 8, 37, 12, 19
2019/11/12, 205, 161, , 47, 12, 22
2019/11/13, 229, 148, , 39, 16, 18
2019/11/14, 225, 114, , 33, 4, 14
2019/11/15, 175, 127, , 27, 7, 14
2019/11/16, 177, 105, , 18, 3, 11
2019/11/17, 141, 131, , 26, 4, 14
2019/11/18, 195, 146, , 34, 9, 16
2019/11/19, 217, 299, 5, 55, 14, 23
2019/11/20, 294, 170, , 50, 13, 26
2019/11/21, 236, 134, , 41, 15, 20
2019/11/22, 203, 128, , 38, 13, 18
2019/11/23, 198, 93, , 27, 7, 7
2019/11/24, 163, 108, , 40, 11, 25
2019/11/25, 146, 124, , 28, 12, 15
2019/11/26, 183, 120, , 31, 7, 17
2019/11/27, 184, 74, , 22, 8, 16
2019/11/28, 149, 79, 7, 26, 13, 13
