date, pm25, pm10, o3, no2, so2, co
2020/3/1, 128, 98, 23, 28, 35, 9
2020/3/2, 134, 112, 11, 30, 71, 11
2020/3/3, 164, 85, 39, 13, 28, 6
2020/3/4, 120, 80, 29, 10, 32, 4
2020/3/5, 113, 87, 25, 13, 37, 4
2020/3/6, 127, 92, 36, 18, 18, 4
2020/3/7, 122, 68, , 22, 19, 5
2020/3/8, 189, 68, 35, 13, 17, 4
2020/3/9, 103, 69, 6, 7, 11, 3
2020/3/10, 102, 64, 6, 9, 9, 2
2020/3/11, 92, 79, 7, 13, 17, 2
2020/3/12, 104, 72, 33, 11, 10, 2
2020/3/13, 108, 78, 31, 15, 21, 3
2020/3/14, 111, 80, 25, 14, 13, 2
2020/3/15, 110, 67, 40, 15, 12, 3
2020/3/16, 103, 82, 38, 16, 15, 6
2020/3/17, 130, 84, 42, 19, 18, 6
2020/3/18, 137, 101, 25, 19, 31, 4
2020/3/19, 175, 72, 25, 14, 27, 3
2020/3/20, 116, 89, 28, 13, 39, 5
2020/3/21, 155, 85, 23, 7, 20, 6
2020/3/22, 122, 76, 39, 14, 15, 3
2020/3/23, 112, 71, 38, 10, 20, 4
2020/3/24, 93, 69, 28, 16, 26, 11
2020/3/25, 99, 67, 32, 10, 14, 2
2020/3/26, 111, 33, 26, 8, 7, 3
2020/3/27, 77, 49, 1, 21, 8, 4
2020/3/28, 127, , , , , 
2020/2/1, 136, 70, 10, 17, 16, 6
2020/2/2, 128, 76, 29, 21, 14, 7
2020/2/3, 146, 87, 30, 26, 22, 7
2020/2/4, 156, 92, 23, 27, 27, 7
2020/2/5, 157, 81, 25, 25, 24, 5
2020/2/6, 134, 89, 27, 24, 22, 10
2020/2/7, 149, 94, 29, 23, 21, 4
2020/2/8, 272, 84, 16, 18, 12, 5
2020/2/9, 157, 82, 31, 23, 15, 6
2020/2/10, 149, 95, 29, 25, 22, 7
2020/2/11, 161, 114, 33, 24, 25, 11
2020/2/12, 163, 110, 32, 21, 17, 5
2020/2/13, 163, 81, 12, 26, 24, 6
2020/2/14, 128, 91, 31, 30, 27, 7
2020/2/15, 156, 84, 31, 29, 28, 6
2020/2/16, 140, 104, 35, 20, 25, 10
2020/2/17, 122, 102, 35, 26, 30, 13
2020/2/18, 155, 122, 62, 32, 67, 7
2020/2/19, 174, 106, 33, 32, 50, 6
2020/2/20, 138, 85, 29, 23, 33, 4
2020/2/21, 128, 72, 36, 24, 19, 5
2020/2/22, 104, 75, 21, 24, 20, 5
2020/2/23, 138, 94, 37, 34, 19, 5
2020/2/24, 147, 139, 35, 44, 42, 9
2020/2/25, 153, 157, 24, 58, 62, 12
2020/2/26, 196, 109, 33, 43, 35, 15
2020/2/27, 166, 106, 35, 42, 33, 12
2020/2/28, 145, 90, 37, 34, 32, 11
2020/2/29, 133, 84, 21, 26, 34, 10
2020/1/1, 162, 87, 9, 6, 11, 7
2020/1/2, 159, 87, 9, 7, 16, 8
2020/1/3, 157, 92, 9, 9, 19, 8
2020/1/4, 147, 75, 9, 6, 19, 6
2020/1/5, 133, 80, 9, 8, 17, 9
2020/1/6, 123, 101, 9, 10, 26, 7
2020/1/7, 157, 78, 9, 7, 14, 7
2020/1/8, 135, 67, 9, 6, 19, 7
2020/1/9, 108, 77, 9, 5, 13, 7
2020/1/10, 139, 78, 9, 6, 20, 7
2020/1/11, 147, 102, 9, 9, 26, 9
2020/1/12, 166, 82, 9, 8, 33, 7
2020/1/13, 150, 31, 9, 7, 11, 6
2020/1/14, 103, 61, 9, 7, 9, 5
2020/1/15, 119, 62, 9, 6, 4, 6
2020/1/16, 112, 360, 9, 7, 17, 7
2020/1/17, 159, 74, 9, 11, 30, 6
2020/1/18, 136, 62, 9, 9, 21, 6
