date, pm25, o3, no2, so2, co
2020/3/1, 194, 3, 11, 13, 9
2020/3/2, 176, 10, 11, 7, 8
2020/3/3, 184, 18, 11, 9, 8
2020/3/4, 187, 12, 11, 11, 11
2020/3/5, 177, 12, 11, 9, 6
2020/3/6, 92, 25, 11, 7, 8
2020/3/7, 121, 39, 11, 7, 7
2020/3/8, 130, 49, 11, 9, 5
2020/3/9, 131, 47, 11, 9, 7
2020/3/10, 184, 55, 11, 9, 6
2020/3/11, 163, 46, 11, 12, 8
2020/3/12, 157, 27, 11, 9, 7
2020/3/13, 168, 24, 11, 7, 9
2020/3/14, 108, 44, 11, 14, 7
2020/3/15, 118, 59, 11, 8, 10
2020/3/16, 148, 80, 10, 9, 8
2020/3/17, 157, 82, 10, 12, 9
2020/3/18, 150, 86, 11, 10, 8
2020/3/19, 175, 91, 10, 21, 10
2020/3/20, 162, 71, 11, 15, 9
2020/3/21, 168, 81, 11, 9, 6
2020/3/22, 161, 78, 11, 9, 5
2020/3/23, 111, 98, 11, 11, 8
2020/3/24, 170, 97, 11, 9, 6
2020/3/25, 185, 80, 11, 9, 6
2020/3/26, 162, 80, 11, 12, 8
2020/3/27, 150, 41, 10, 7, 3
2020/3/28, 67, , , , 
2020/2/1, 183, 13, 11, 10, 7
2020/2/2, 173, 17, 11, 10, 5
2020/2/3, 199, 20, 10, 11, 8
2020/2/4, 224, 23, 10, 10, 10
2020/2/5, 214, 17, 11, 14, 8
2020/2/6, 201, 23, 10, 9, 10
2020/2/7, 234, 20, 11, 11, 12
2020/2/8, 240, 21, 11, 11, 8
2020/2/9, 186, 17, 11, 12, 6
2020/2/10, 188, 20, 10, 14, 9
2020/2/11, 202, 16, 11, 14, 9
2020/2/12, 212, 20, 10, 12, 11
2020/2/13, 241, 25, 11, 11, 11
2020/2/14, 263, 14, 11, 10, 8
2020/2/15, 203, 17, 11, 11, 8
2020/2/16, 192, 14, 11, 12, 10
2020/2/17, 206, 16, 11, 13, 9
2020/2/18, 209, 19, 10, 12, 13
2020/2/19, 211, 21, 10, 10, 12
2020/2/20, 230, 15, 11, 13, 8
2020/2/21, 206, 9, 11, 11, 8
2020/2/22, 147, 11, 11, 8, 8
2020/2/23, 193, 9, 10, 9, 6
2020/2/24, 156, 5, 11, 13, 5
2020/2/25, 119, 4, 10, 6, 7
2020/2/26, 112, 7, 11, 9, 8
2020/2/27, 148, 7, 11, 8, 11
2020/2/28, 175, 10, 10, 11, 7
2020/2/29, 181, 8, 11, 14, 9
2020/1/1, 432, 20, 7, 9, 18
2020/1/2, 383, 12, 11, 6, 9
2020/1/3, 275, 13, 11, 8, 12
2020/1/4, 197, 20, 11, 6, 6
2020/1/5, 182, 17, 11, 9, 13
2020/1/6, 261, 24, 10, 14, 14
2020/1/7, 295, 21, 11, 7, 12
2020/1/8, 329, 20, 11, 7, 13
2020/1/9, 207, 14, 11, 6, 7
2020/1/10, 185, 18, 10, 8, 12
2020/1/11, 226, 15, 11, 5, 10
2020/1/12, 224, 9, 11, 16, 11
2020/1/13, 248, 6, 10, 7, 18
2020/1/14, 275, 23, 10, 9, 21
2020/1/15, 320, 21, 11, 6, 15
2020/1/16, 311, 24, 11, 10, 9
2020/1/17, 198, 17, 11, 12, 7
2020/1/18, 170, 15, 11, 6, 8
2020/1/19, 174, 13, 11, 4, 6
2020/1/20, 178, 16, 11, 5, 12
2020/1/21, 301, 19, 11, 5, 12
2020/1/22, 238, 19, 11, 7, 13
2020/1/23, 257, 17, 11, 7, 8
2020/1/24, 218, 18, 11, 8, 13
2020/1/25, 270, 18, 11, 7, 11
2020/1/26, 307, 20, 11, 7, 15
2020/1/27, 279, 23, 11, 6, 12
2020/1/28, 301, 27, 11, 8, 12
2020/1/29, 261, 17, 10, 8, 11
2020/1/30, 308, 16, 11, 7, 8
2020/1/31, 158, 19, 11, 8, 8
2019/10/1, 47, 34, 19, 4, 13
2019/10/2, 76, 44, 19, 4, 12
2019/10/3, 101, 51, 18, 4, 15
2019/10/4, 124, 46, 13, 7, 14
2019/10/5, 140, 68, 7, 6, 11
2019/10/6, 142, 84, 4, 8, 11
2019/10/7, 157, 80, 18, 7, 11
2019/10/8, 137, 62, 24, 7, 13
2019/10/9, 82, 83, 7, 8, 15
2019/10/10, 115, 62, , 9, 14
2019/10/11, 143, 46, , 7, 17
2019/10/12, 163, 55, , 7, 13
2019/10/13, 150, 50, 1, 9, 18
2019/10/14, 179, 64, 2, 6, 19
2019/10/15, 169, 67, 3, 7, 17
2019/10/16, 167, 69, 1, 6, 11
2019/10/17, 174, 42, 2, 9, 15
2019/10/18, 190, 80, , 6, 13
2019/10/19, 184, 38, , 7, 10
