date, pm25, pm10, o3, no2, co
2020/3/1, 88, 94, 39, 10, 16
2020/3/2, 158, 109, 8, 13, 21
2020/3/3, 154, 93, 33, 8, 18
2020/3/4, 146, 43, 26, 6, 16
2020/3/5, 87, 25, 23, 5, 14
2020/3/6, 62, 50, 21, 5, 14
2020/3/7, 94, 52, 30, 6, 13
2020/3/8, 69, 75, 26, 5, 10
2020/3/9, 112, 93, 33, 6, 12
2020/3/10, 146, 69, 29, 4, 12
2020/3/11, 141, 95, 25, 6, 13
2020/3/12, 121, 116, 27, 6, 12
2020/3/13, 125, 71, 22, 5, 12
2020/3/14, 117, 85, 27, 7, 11
2020/3/15, 131, 91, 30, 8, 10
2020/3/16, 142, 92, 34, 8, 10
2020/3/17, 139, 99, 33, 11, 11
2020/3/18, 153, 106, 39, 10, 13
2020/3/19, 161, 104, 42, 7, 12
2020/3/20, 166, 82, 37, 6, 10
2020/3/21, 131, 94, 33, 7, 10
2020/3/22, 159, 72, 30, 5, 8
2020/3/23, 130, 70, 28, 4, 11
2020/3/24, 132, 52, 23, 4, 9
2020/3/25, 94, 50, 15, 4, 7
2020/3/26, 90, 30, 18, 3, 7
2020/3/27, 61, 16, 6, 4, 7
2020/3/28, 46, , , , 
2020/2/1, 154, 92, 2, 5, 16
2020/2/2, 155, 115, 2, 7, 15
2020/2/3, 158, 119, 2, 4, 11
2020/2/4, 169, 139, 23, 3, 14
2020/2/5, 182, 107, 35, 4, 10
2020/2/6, 168, 139, 33, 4, 13
2020/2/7, 195, 128, 33, 4, 9
2020/2/8, 186, 123, 35, 3, 10
2020/2/9, 184, 159, 34, 4, 12
2020/2/10, 205, 150, 34, 4, 19
2020/2/11, 212, 179, 34, 4, 13
2020/2/12, 206, 84, 27, 2, 7
2020/2/13, 151, 90, 27, 2, 9
2020/2/14, 145, 80, 2, 2, 11
2020/2/15, 123, 118, 1, 3, 15
2020/2/16, 181, 134, 1, 4, 18
2020/2/17, 180, 118, 1, 3, 13
2020/2/18, 154, 104, 1, 2, 12
2020/2/19, 159, 109, 35, 1, 14
2020/2/20, 169, 57, 24, 2, 14
2020/2/21, 121, 73, 26, 2, 14
2020/2/22, 148, 103, 32, 2, 18
2020/2/23, 168, 89, 33, 2, 12
2020/2/24, 149, 133, 31, 3, 15
2020/2/25, 173, 139, 34, 2, 14
2020/2/26, 178, 100, 31, 4, 12
2020/2/27, 169, 86, 30, 5, 14
2020/2/28, 163, 73, 27, 6, 12
2020/2/29, 147, 44, 28, 5, 9
2020/1/1, 367, 184, 24, 4, 35
2020/1/2, 283, 144, 20, 11, 30
2020/1/3, 207, 136, 23, 10, 25
2020/1/4, 219, 139, 24, 8, 23
2020/1/5, 217, 121, 15, 9, 21
2020/1/6, 193, 92, 15, 5, 19
2020/1/7, 175, 84, 7, 11, 23
2020/1/8, 168, 74, 15, 4, 20
2020/1/9, 158, 97, 21, 7, 22
2020/1/10, 173, 114, 24, 10, 21
2020/1/11, 187, 143, 25, 10, 22
2020/1/12, 220, 140, 22, 5, 21
2020/1/13, 225, 84, 14, 5, 16
2020/1/14, 167, 107, 20, 9, 14
2020/1/15, 180, 116, 6, 9, 14
2020/1/16, 190, 83, 11, 6, 13
2020/1/17, 159, 105, 14, 9, 18
2020/1/18, 178, 101, 18, 3, 13
2020/1/19, 174, 106, 12, 4, 13
2020/1/20, 171, 136, 22, 4, 14
2020/1/21, 198, 126, 16, 11, 20
2020/1/22, 190, 69, 22, 7, 9
2020/1/23, 133, 71, 24, 5, 10
2020/1/24, 122, 105, 27, 8, 14
2020/1/25, 158, 139, 6, 8, 22
2020/1/26, 188, 126, 2, 7, 19
2020/1/27, 185, 101, 2, 3, 17
2020/1/28, 175, 69, 2, 6, 16
2020/1/29, 126, 87, 2, 7, 16
2020/1/30, 146, 89, 2, 6, 17
2020/1/31, 149, 102, 2, 8, 21
2019/10/1, 102, 62, 29, 12, 7
2019/10/2, 105, 42, 28, 14, 8
2019/10/3, 60, 86, 30, 9, 16
2019/10/4, 109, 39, 27, 19, 13
2019/10/5, 76, 56, 31, 18, 14
2019/10/6, 108, 64, 25, 9, 13
2019/10/7, 96, 56, 5, 7, 6
2019/10/8, 79, , , , 
2019/10/12, 102, 115, 40, 9, 34
2019/10/13, 167, 128, 44, 9, 34
2019/10/14, 182, 126, 43, 8, 33
2019/10/15, 175, 155, 42, 6, 30
2019/10/16, 211, 133, 35, 5, 28
2019/10/17, 188, 122, 31, 4, 26
2019/10/18, 169, 109, 48, 10, 28
2019/10/19, 149, 113, 31, 9, 29
2019/10/20, 175, 125, 35, 8, 31
2019/10/21, 191, 118, 27, 10, 20
2019/10/22, 169, 137, 37, 11, 5
2019/10/23, 187, 147, 47, 9, 8
2019/10/24, 214, 126, 38, 6, 4
2019/10/25, 191, 130, 33, 5, 5
2019/10/26, 196, 134, 37, 6, 5
2019/10/27, 210, 230, 34, 5, 6
2019/10/28, 322, 211, 22, 8, 9
2019/10/29, 293, 234, 29, 9, 9
2019/10/30, 309, 247, 33, 10, 11
2019/10/31, 309, 473, 35, 11, 16
2019/11/1, 467, 388, 23, 9, 13
2019/11/2, 404, 534, 14, 6, 17
2019/11/3, 555, 221, 27, 7, 8
2019/11/4, 297, 155, 33, 7, 6
2019/11/5, 256, 102, 28, 6, 4
2019/11/6, 178, 168, 20, 9, 7
2019/11/7, 253, 150, 37, 10, 9
2019/11/8, 232, 130, 29, 9, 7
2019/11/9, 215, 153, 34, 6, 6
2019/11/10, 256, 220, 40, 8, 9
2019/11/11, 306, 359, 37, 13, 14
2019/11/12, 424, 401, 40, 13, 16
2019/11/13, 448, 466, 31, 18, 20
2019/11/14, 459, 605, 52, 14, 19
2019/11/15, 558, 186, 32, 10, 8
2019/11/16, 267, 82, 25, 10, 5
2019/11/17, 169, 78, 29, 6, 5
2019/11/18, 156, 99, 31, 10, 7
2019/11/19, 173, 119, 38, 10, 8
2019/11/20, 196, 153, 45, 11, 11
2019/11/21, 240, 163, 48, 15, 16
2019/11/22, 248, 123, 25, 11, 8
2019/11/23, 199, 112, 31, 8, 7
2019/11/24, 186, 112, 30, 11, 8
2019/11/25, 181, 117, 32, 12, 9
2019/11/26, 180, 81, 28, 7, 6
2019/11/27, 140, 52, 20, 4, 4
2019/11/28, 101, 75, 26, 9, 7
2019/11/29, 138, 86, 20, 10, 8
2019/11/30, 150, 92, 24, 9, 8
2019/12/1, 158, 113, 29, 9, 8
2019/12/2, 173, 122, 29, 12, 8
2019/12/3, 181, 129, 32, 11, 9
2019/12/4, 192, 194, 40, 12, 13
2019/12/5, 257, 243, 29, 14, 19
2019/12/6, 288, 220, 31, 10, 15
2019/12/7, 278, 201, 29, 11, 20
2019/12/8, 270, 158, 29, 11, 19
2019/12/9, 237, 175, 34, 10, 21
2019/12/10, 253, 221, 36, 7, 20
2019/12/11, 302, 230, 31, 7, 19
2019/12/12, 301, 64, 15, 3, 15
2019/12/13, 146, 77, 16, 4, 13
2019/12/14, 151, 92, 21, 5, 13
2019/12/15, 168, 75, 13, 3, 11
2019/12/16, 160, 82, 13, 3, 14
2019/12/17, 164, 119, 22, 6, 16
2019/12/18, 189, 173, 19, 7, 20
2019/12/19, 257, , , , 
