date, pm25, pm10, o3, no2, co
2020/3/1, 115, 160, 40, 7, 24
2020/3/2, 185, 118, 9, 8, 16
2020/3/3, 146, 108, 30, 5, 13
2020/3/4, 157, 52, 24, 4, 10
2020/3/5, 115, 25, 19, 4, 10
2020/3/6, 54, 59, 23, 3, 11
2020/3/7, 105, 107, 28, 7, 17
2020/3/8, 152, 81, 21, 5, 12
2020/3/9, 118, 101, 31, 4, 13
2020/3/10, 155, 81, 25, 3, 11
2020/3/11, 145, 106, 20, 5, 13
2020/3/12, 139, 98, 25, 5, 11
2020/3/13, 138, 58, 15, 6, 11
2020/3/14, 102, 83, 26, 6, 12
2020/3/15, 135, 97, 29, 7, 13
2020/3/16, 140, 99, 28, 7, 14
2020/3/17, 138, 118, 33, 10, 14
2020/3/18, 158, 126, 31, 13, 16
2020/3/19, 174, 112, 34, 14, 18
2020/3/20, 164, 106, 35, 11, 15
2020/3/21, 150, 88, 31, 6, 13
2020/3/22, 148, 73, 30, 5, 12
2020/3/23, 125, 73, 26, 5, 12
2020/3/24, 134, 56, 19, 4, 11
2020/3/25, 100, 57, 14, 3, 12
2020/3/26, 96, 34, 15, 2, 11
2020/3/27, 64, 22, 8, , 11
2020/3/28, 46, , , , 
2020/2/1, 180, 116, 22, 6, 11
2020/2/2, 178, 147, 27, 7, 15
2020/2/3, 193, 188, 31, 7, 17
2020/2/4, 224, 147, 22, 6, 12
2020/2/5, 200, 133, 27, 7, 12
2020/2/6, 178, 145, 28, 7, 15
2020/2/7, 200, 128, 25, 4, 14
2020/2/8, 189, 132, 31, 6, 15
2020/2/9, 201, 208, 36, 12, 21
2020/2/10, 234, 242, 56, 14, 21
2020/2/11, 251, 170, 25, 10, 17
2020/2/12, 196, 114, 24, 7, 12
2020/2/13, 155, 105, 23, 5, 11
2020/2/14, 142, 116, 27, 8, 12
2020/2/15, 151, 142, 31, 8, 18
2020/2/16, 177, 215, 31, 8, 28
2020/2/17, 211, 151, 30, 9, 22
2020/2/18, 170, 159, 31, 5, 26
2020/2/19, 187, 135, 30, 3, 12
2020/2/20, 175, 58, 23, 3, 10
2020/2/21, 103, 78, 20, 5, 15
2020/2/22, 133, 100, 36, 5, 12
2020/2/23, 156, 99, 36, 6, 12
2020/2/24, 144, 133, 27, 7, 15
2020/2/25, 177, 165, 31, 7, 18
2020/2/26, 191, 116, 27, 4, 13
2020/2/27, 170, 109, 27, 3, 12
2020/2/28, 164, 90, 22, 3, 11
2020/2/29, 132, 88, 27, 4, 13
2020/1/1, 333, 296, 28, 10, 31
2020/1/2, 320, 195, 62, 8, 25
2020/1/3, 258, 276, 174, 10, 26
2020/1/4, 315, 167, 61, 9, 11
2020/1/5, 250, 171, 30, 9, 12
2020/1/6, 226, 117, 5, 5, 10
2020/1/7, 195, 107, 4, 3, 11
2020/1/8, 197, 91, 5, 3, 9
2020/1/9, 171, 143, 17, 4, 13
2020/1/10, 199, 180, 19, 4, 16
2020/1/11, 199, 241, 24, 4, 21
2020/1/12, 266, 215, 17, 3, 18
2020/1/13, 281, 132, 17, 3, 12
