date, pm25, pm10, o3, no2, so2, co
2020/3/1, 142, 73, 39, 9, 1, 2
2020/3/2, 102, 107, 10, 15, 4, 6
2020/3/3, 144, 99, 33, 11, 4, 5
2020/3/4, 129, 81, 30, 12, 2, 2
2020/3/5, 114, 74, 32, 9, 4, 2
2020/3/6, 125, 50, 38, 10, 3, 3
2020/3/7, 92, 55, 40, 11, 1, 2
2020/3/8, 91, 64, 42, 11, , 2
2020/3/9, 100, 65, 38, 13, , 2
2020/3/10, 102, 82, 36, 11, , 2
2020/3/11, 112, 78, 36, 10, , 1
2020/3/12, 116, 246, 37, 11, 1, 2
2020/3/13, 176, 89, 40, 10, , 2
2020/3/14, 137, 79, 41, 10, , 2
2020/3/15, 123, 65, 39, 10, 1, 3
2020/3/16, 112, 74, 46, 11, , 3
2020/3/17, 109, 72, 44, 11, 1, 3
2020/3/18, 112, 80, 39, 12, 1, 4
2020/3/19, 120, 79, 34, 12, 3, 3
2020/3/20, 117, 81, 30, 12, 4, 3
2020/3/21, 102, 85, 24, 10, 2, 2
2020/3/22, 110, 49, 26, 10, , 1
2020/3/23, 77, 66, 22, 11, , 2
2020/3/24, 99, 63, 21, 11, , 2
2020/3/25, 92, 43, 20, 10, , 1
2020/3/26, 67, 33, 24, 11, 1, 3
2020/3/27, 48, 43, 4, 10, , 1
2020/3/28, 85, , , , , 
2020/2/1, 123, 71, 43, 11, 2, 3
2020/2/2, 141, 62, 43, 9, 6, 6
2020/2/3, 118, 74, 41, 7, 3, 4
2020/2/4, 167, 70, 43, 9, 3, 3
2020/2/5, 125, 70, 42, 9, 3, 4
2020/2/6, 137, 78, 44, 11, 1, 4
2020/2/7, 130, 71, 46, 10, 1, 3
2020/2/8, 120, 75, 48, 10, 2, 3
2020/2/9, 135, 67, 49, 11, 3, 4
2020/2/10, 133, 66, 47, 11, 4, 3
2020/2/11, 130, 72, 50, 11, 6, 4
2020/2/12, 147, 94, 39, 10, 8, 7
2020/2/13, 145, 109, 44, 10, 5, 7
2020/2/14, 157, 114, 42, 11, 3, 8
2020/2/15, 155, 83, 38, 9, 3, 5
2020/2/16, 131, 80, 42, 11, 4, 6
2020/2/17, 122, 100, 39, 11, 8, 7
2020/2/18, 138, 85, 39, 10, 3, 5
2020/2/19, 131, 78, 38, 11, 8, 3
2020/2/20, 132, 125, 37, 10, 3, 3
2020/2/21, 138, 78, 50, 11, 2, 3
2020/2/22, 144, 79, 49, 10, 2, 4
2020/2/23, 155, 83, 45, 10, 4, 6
2020/2/24, 149, 96, 38, 8, 2, 6
2020/2/25, 148, 112, 35, 11, 1, 6
2020/2/26, 143, 123, 28, 14, 3, 7
2020/2/27, 140, 107, 32, 11, 2, 5
2020/2/28, 142, 98, 33, 11, 8, 5
2020/2/29, 145, 91, 37, 11, 4, 4
2020/1/1, 162, 95, 36, 9, 2, 6
2020/1/2, 175, 89, 40, 9, 4, 6
2020/1/3, 156, 79, 37, 10, 4, 6
2020/1/4, 144, 80, 36, 9, 3, 7
2020/1/5, 157, 70, 34, 10, 3, 5
2020/1/6, 140, 86, 30, 10, 2, 5
2020/1/7, 162, 70, 24, 10, 4, 5
2020/1/8, 151, 66, 30, 10, 2, 3
2020/1/9, 114, 66, 40, 10, 2, 3
2020/1/10, 144, 65, 36, 10, 3, 3
2020/1/11, 132, 75, 37, 8, 1, 6
2020/1/12, 147, 75, 22, 10, 4, 5
2020/1/13, 152, 58, 33, 10, 2, 3
2020/1/14, 122, 67, 36, 10, 2, 3
2020/1/15, 138, 71, 25, 9, 2, 3
2020/1/16, 141, 78, 35, 10, 2, 5
2020/1/17, 148, 77, 33, 10, 2, 5
2020/1/18, 146, 67, 39, 10, 2, 4
2020/1/19, 115, 70, 37, 10, 3, 7
2020/1/20, 117, 89, 39, 10, 5, 7
2020/1/21, 143, 69, 39, 10, 2, 4
2020/1/22, 130, 56, 34, 9, 2, 3
2020/1/23, 104, 73, 33, 9, 4, 6
2020/1/24, 133, 75, 37, 10, 4, 6
2020/1/25, 164, 80, 36, 9, 3, 7
2020/1/26, 132, 67, 31, 9, 6, 6
2020/1/27, 109, 65, 31, 9, 21, 3
2020/1/28, 137, 55, 36, 9, 2, 3
2020/1/29, 108, 69, 38, 8, 2, 4
2020/1/30, 128, 70, 37, 9, 3, 4
2020/1/31, 117, 71, 36, 11, 3, 4
2019/10/1, 75, 48, 23, 17, 3, 5
2019/10/2, 86, 59, 22, 15, 3, 7
2019/10/3, 93, 51, 23, 13, 3, 6
2019/10/4, 80, 55, 25, 13, 3, 6
2019/10/5, 91, 56, 26, 13, 3, 8
2019/10/6, 108, 45, 23, 11, 3, 4
2019/10/7, 84, 54, 18, 10, 3, 5
2019/10/8, 84, 59, 20, 10, 4, 5
2019/10/9, 91, 64, 24, 11, 4, 6
2019/10/10, 101, 60, 23, 10, 4, 6
2019/10/11, 101, 69, 24, 10, 4, 6
2019/10/12, 101, 76, 23, 14, 4, 7
2019/10/13, 110, 72, 25, 13, 4, 7
2019/10/14, 102, 70, 17, 12, 3, 5
2019/10/15, 108, 71, 25, 12, 4, 7
2019/10/16, 95, 76, 28, 12, 3, 7
2019/10/17, 103, 68, 31, 14, 4, 6
2019/10/18, 102, 80, 35, 14, 4, 5
2019/10/19, 141, 85, 27, 12, 4, 5
2019/10/20, 147, 74, 35, 13, 4, 5
2019/10/21, 142, 83, 35, 12, 3, 6
2019/10/22, 140, 74, 32, 12, 3, 6
2019/10/23, 130, 83, 37, 13, 4, 7
2019/10/24, 142, 76, 35, 13, 4, 6
2019/10/25, 135, 79, 43, 12, 5, 9
2019/10/26, 151, 79, 39, 11, 7, 12
2019/10/27, 149, 162, 32, 17, 6, 9
2019/10/28, 197, 77, 28, 15, 4, 5
2019/10/29, 145, 66, 22, 13, 3, 5
2019/10/30, 114, 57, 24, 10, 3, 5
2019/10/31, 98, 71, 27, 10, 3, 5
2019/11/1, 112, 116, 35, 11, 3, 5
2019/11/2, 170, 83, 31, 12, 3, 5
2019/11/3, 149, 113, 29, 11, 4, 7
2019/11/4, 189, 84, 25, 9, 4, 6
2019/11/5, 123, 78, 24, 10, 3, 7
2019/11/6, 127, 73, 19, 9, 3, 5
2019/11/7, 128, 75, 33, 11, 3, 3
2019/11/8, 127, 80, 43, 12, 3, 4
2019/11/9, 164, 81, 41, 10, 3, 5
2019/11/10, 140, 86, 35, 10, 2, 6
2019/11/11, 142, 94, 33, 9, 3, 7
2019/11/12, 135, 57, 27, 10, 2, 5
2019/11/13, 101, 64, 36, 10, 2, 4
2019/11/14, 115, 57, 41, 8, 3, 6
2019/11/15, 104, 64, 46, 9, 3, 6
2019/11/16, 132, 59, 40, 10, 3, 5
2019/11/17, 116, 69, 33, 10, 3, 5
2019/11/18, 140, 67, 27, 9, 3, 6
2019/11/19, 130, 59, 35, 11, 3, 5
2019/11/20, 124, 73, 42, 9, 3, 5
2019/11/21, 141, 80, 38, 10, 3, 6
2019/11/22, 142, 71, 32, 10, 3, 7
2019/11/23, 116, 80, 41, 9, 3, 5
2019/11/24, 190, 90, 46, 10, 3, 5
2019/11/25, 169, 77, 37, 11, 3, 4
2019/11/26, 143, 80, 29, 10, 5, 7
2019/11/27, 145, 73, 36, 10, 2, 4
2019/11/28, 150, 73, 35, 10, 2, 4
2019/11/29, 145, 73, 36, 9, 2, 4
2019/11/30, 150, 66, 39, 9, 3, 3
2019/12/1, 143, 68, 35, 9, 3, 3
2019/12/2, 183, 64, 32, 9, 3, 3
2019/12/3, 127, 62, 33, 10, 5, 6
2019/12/4, 117, 66, 27, 7, 3, 4
2019/12/5, 125, 75, 41, 8, 3, 6
2019/12/6, 147, 77, 46, 9, 3, 5
2019/12/7, 154, 74, 45, 9, 3, 5
2019/12/8, 153, 73, 46, 12, 3, 6
2019/12/9, 147, 98, 41, 10, 4, 9
2019/12/10, 164, 73, 35, 9, 2, 7
2019/12/11, 129, 59, 27, 11, 4, 5
2019/12/12, 120, 88, 24, 11, 4, 5
2019/12/13, 172, 58, 28, 8, 3, 4
2019/12/14, 122, 57, 31, 11, 2, 3
2019/12/15, 116, 63, 31, 9, 3, 5
2019/12/16, 129, 54, 34, 10, 3, 3
2019/12/17, 105, 69, 26, 10, 3, 6
2019/12/18, 127, 68, 37, 9, 4, 6
2019/12/19, 111, 83, 38, 11, 3, 9
2019/12/20, 134, 68, 38, 10, 2, 5
2019/12/21, 165, 66, 48, 10, 3, 3
2019/12/22, 133, 58, 39, 9, 3, 4
2019/12/23, 113, 80, 43, 11, 3, 4
2019/12/24, 147, 85, 38, 11, 2, 5
2019/12/25, 144, 83, 28, 12, 2, 4
2019/12/26, 112, 70, 31, 13, 2, 4
2019/12/27, 92, 73, 36, 11, 3, 4
2019/12/28, 107, 75, 32, 11, 3, 3
2019/12/29, 142, , , , , 
2019/7/1, 137, 82, 29, 9, 5, 3
2019/7/2, 116, 93, 26, 10, 3, 3
2019/7/3, 113, 67, 22, 10, 3, 4
2019/7/4, 110, 69, 14, 10, 3, 4
2019/7/5, 114, 82, 17, 10, 3, 4
2019/7/6, 122, 75, 23, 10, 3, 4
2019/7/7, 127, 89, 18, 11, 3, 4
2019/7/8, 143, 103, 21, 10, 2, 4
2019/7/9, 158, 94, 24, 10, 2, 4
2019/7/10, 155, 81, 18, 9, 2, 4
2019/7/11, 138, 81, 22, 9, 2, 3
2019/7/12, 148, 86, 23, 9, 2, 4
2019/7/13, 154, 90, 21, 8, 2, 4
2019/7/14, 146, 98, 18, 9, 2, 3
2019/7/15, 153, 76, 19, 12, 2, 4
2019/7/16, 133, 71, 16, 10, 3, 4
2019/7/17, 108, 73, 19, 12, 3, 4
2019/7/18, 117, 80, 16, 14, 2, 4
2019/7/19, 136, 71, 22, 14, 2, 4
2019/7/20, 125, 50, 26, 12, 2, 4
2019/7/21, 90, 51, 26, 11, 2, 4
2019/7/22, 91, 51, 28, 12, 1, 4
2019/7/23, 90, 54, 19, 12, 2, 4
2019/7/24, 108, 65, 17, 10, 2, 4
2019/7/25, 98, 86, 14, 10, 2, 3
2019/7/26, 120, 108, 10, 11, 3, 4
2019/7/27, 125, 49, 20, 13, 4, 3
2019/7/28, 83, 37, 18, 11, 3, 5
2019/7/29, 134, 53, 21, 12, 2, 6
2019/7/30, 117, 61, 10, 11, 2, 6
2019/7/31, 109, 50, 13, 9, 2, 5
2019/8/1, 81, 58, 18, 9, 2, 5
2019/8/2, 104, 65, 16, 10, 3, 5
2019/8/3, 101, 64, 16, 9, 2, 6
2019/8/4, 105, 76, 14, 17, 2, 5
2019/8/5, 129, 68, 13, 15, 2, 4
2019/8/6, 108, 78, 13, 13, 3, 4
2019/8/7, 137, 55, 19, 11, 1, 4
2019/8/8, 78, 48, 12, 10, 2, 3
2019/8/9, 81, 48, 19, 10, 3, 2
2019/8/10, 83, 46, 23, 10, 2, 4
2019/8/11, 85, 69, 20, 12, 3, 4
2019/8/12, 116, 76, 16, 12, 2, 4
2019/8/13, 143, 73, 17, 15, 2, 5
2019/8/14, 133, 48, 15, 14, 2, 4
2019/8/15, 95, 50, 11, 12, 2, 3
2019/8/16, 85, 50, 14, 18, 2, 3
2019/8/17, 98, 58, 16, 24, 2, 4
2019/8/18, 95, 58, 12, 24, 2, 4
2019/8/19, 99, 52, 18, 24, 2, 5
2019/8/20, 92, 49, 13, 32, 3, 4
2019/8/21, 83, 56, 12, 26, 2, 4
2019/8/22, 101, , , , , 
