date, pm25, pm10, o3, no2, so2, co
2020/3/1, 97, 135, 31, 42, 12, 8
2020/3/2, 194, 158, 3, 38, 38, 7
2020/3/3, 205, 107, 30, 26, 21, 6
2020/3/4, 159, 47, 13, 22, 13, 5
2020/3/5, 95, 44, 5, 19, 10, 4
2020/3/6, 83, 54, 11, 22, 16, 4
2020/3/7, 100, 94, 15, 26, 22, 6
2020/3/8, 148, 102, 19, 27, 15, 5
2020/3/9, 157, 102, 11, 11, 23, 6
2020/3/10, 160, 71, 33, 9, 11, 6
2020/3/11, 118, 108, 21, 23, 16, 4
2020/3/12, 151, 140, 16, 41, 18, 5
2020/3/13, 174, 143, 21, 39, 26, 6
2020/3/14, 189, 123, 9, 38, 17, 6
2020/3/15, 179, 115, 19, 37, 24, 6
2020/3/16, 182, 168, 25, 49, 28, 7
2020/3/17, 220, 137, 27, 42, 27, 7
2020/3/18, 204, 136, 38, 41, 15, 8
2020/3/19, 192, 122, 31, 25, 20, 8
2020/3/20, 177, 97, 20, 35, 21, 5
2020/3/21, 151, 98, 29, 21, 15, 6
2020/3/22, 159, 72, 28, 15, 14, 4
2020/3/23, 129, 70, 17, 13, 12, 4
2020/3/24, 122, 47, 23, 13, 12, 3
2020/3/25, 90, 29, 6, 10, 11, 2
2020/3/26, 73, 21, 9, 9, 11, 2
2020/3/27, 46, 17, 10, 8, 10, 1
2020/3/28, 38, , , , , 
2020/2/1, 175, 116, 28, 23, 17, 6
2020/2/2, 185, 134, 30, 25, 21, 6
2020/2/3, 189, 175, 32, 21, 13, 9
2020/2/4, 215, 197, 31, 30, 23, 11
2020/2/5, 236, 116, 26, 29, 12, 5
2020/2/6, 174, 175, 26, 41, 25, 9
2020/2/7, 215, 123, 25, 41, 22, 7
2020/2/8, 186, 124, 24, 26, 20, 7
2020/2/9, 187, 151, 27, 17, 20, 8
2020/2/10, 207, 229, 26, 17, 30, 11
2020/2/11, 250, 151, 28, 23, 19, 8
2020/2/12, 213, 115, 34, 29, 24, 8
2020/2/13, 169, 136, 28, 13, 20, 5
2020/2/14, 179, 111, 28, 15, 24, 5
2020/2/15, 155, 118, 28, 14, 18, 7
2020/2/16, 173, 131, 30, 15, 23, 8
2020/2/17, 182, 183, 30, 16, 27, 8
2020/2/18, 189, 161, 48, 29, 16, 7
2020/2/19, 202, 120, 42, 14, 20, 7
2020/2/20, 168, 89, 11, 12, 15, 6
2020/2/21, 154, 129, 9, 4, 25, 8
2020/2/22, 211, 143, 5, 37, 35, 11
2020/2/23, 239, 119, 31, 29, 22, 7
2020/2/24, 190, 127, 36, 23, 20, 8
2020/2/25, 189, 143, 33, 33, 20, 7
2020/2/26, 191, 110, 31, 32, 12, 7
2020/2/27, 166, 97, 15, 17, 13, 7
2020/2/28, 159, 164, 15, 20, 22, 6
2020/2/29, 160, 56, 21, 42, 11, 7
2020/1/1, 321, 391, 15, 17, 19, 21
2020/1/2, 309, 214, 27, 14, 11, 14
2020/1/3, 231, 207, 22, 16, 14, 13
2020/1/4, 230, 148, 24, 17, 15, 9
2020/1/5, 193, 139, 20, 12, 15, 9
2020/1/6, 187, 96, 13, 9, 14, 8
2020/1/7, 166, 111, 7, 11, 14, 9
2020/1/8, 171, 102, 18, 17, 15, 6
2020/1/9, 167, 116, 26, 23, 18, 7
2020/1/10, 173, 167, 30, 22, 27, 9
2020/1/11, 193, 211, 30, 19, 17, 10
2020/1/12, 211, 144, 17, 13, 23, 8
2020/1/13, 188, 111, 23, 14, 38, 7
2020/1/14, 172, 136, 24, 18, 42, 7
2020/1/15, 181, 116, 20, 16, 28, 7
2020/1/16, 176, 109, 12, 21, 26, 8
2020/1/17, 173, 146, 9, 22, 22, 10
2020/1/18, 190, 115, 22, 19, 18, 6
