date, pm25, pm10, o3, no2, so2, co
2020/3/1, 159, 51, 44, 12, 18, 5
2020/3/2, 100, 97, 8, 26, 31, 5
2020/3/3, 149, 105, 28, 28, 37, 5
2020/3/4, 167, 93, 32, 19, 20, 5
2020/3/5, 142, 63, 36, 15, 18, 4
2020/3/6, 115, 68, 38, 12, 16, 5
2020/3/7, 124, 86, 40, 14, 12, 5
2020/3/8, 123, 67, 48, 11, 10, 5
2020/3/9, 99, 114, 18, 27, 33, 4
2020/3/10, 150, 54, 29, 8, 17, 4
2020/3/11, 99, 77, 32, 11, 24, 4
2020/3/12, 127, 40, 18, 7, 16, 4
2020/3/13, 70, 26, 23, 8, 17, 3
2020/3/14, 68, 87, 13, 34, 49, 5
2020/3/15, 123, 87, 35, 20, 29, 5
2020/3/16, 137, 95, 52, 22, 19, 4
2020/3/17, 130, 117, 53, 24, 20, 4
2020/3/18, 141, 104, 33, 20, 16, 4
2020/3/19, 134, 173, 36, 21, 16, 4
2020/3/20, 148, 192, 25, 29, 30, 4
2020/3/21, 180, 136, 18, 35, 40, 4
2020/3/22, 170, 112, 45, 17, 27, 4
2020/3/23, 138, 110, 35, 20, 35, 4
2020/3/24, 147, 142, 44, 14, 22, 4
2020/3/25, 132, 92, 39, 12, 19, 4
2020/3/26, 124, 250, 52, 16, 25, 4
2020/3/27, 149, 82, 17, 7, 24, 5
2020/3/28, 151, , , , , 
2020/2/1, 164, 111, 41, 18, 19, 11
2020/2/2, 143, 236, 23, 38, 39, 9
2020/2/3, 215, 139, 25, 25, 28, 8
2020/2/4, 189, 92, 34, 19, 37, 7
2020/2/5, 161, 141, 39, 26, 24, 10
2020/2/6, 175, 161, 39, 32, 24, 7
2020/2/7, 184, 120, 45, 22, 22, 5
2020/2/8, 167, 146, 35, 24, 30, 8
2020/2/9, 183, 242, 19, 34, 36, 6
2020/2/10, 209, 189, 35, 30, 27, 5
2020/2/11, 191, 186, 45, 26, 20, 11
2020/2/12, 168, 114, 55, 21, 15, 4
2020/2/13, 153, 93, 53, 13, 14, 11
2020/2/14, 138, 101, 45, 18, 14, 7
2020/2/15, 132, 148, 50, 22, 17, 5
2020/2/16, 140, 120, 56, 16, 14, 7
2020/2/17, 153, 172, 48, 28, 18, 4
2020/2/18, 158, 161, 44, 31, 25, 7
2020/2/19, 163, 201, 53, 25, 27, 15
2020/2/20, 164, 116, 47, 17, 24, 9
2020/2/21, 177, 109, 36, 15, 26, 7
2020/2/22, 182, 96, 43, 17, 24, 6
2020/2/23, 159, 56, 33, 17, 20, 5
2020/2/24, 134, 78, 41, 16, 10, 4
2020/2/25, 159, 93, 40, 17, 12, 4
2020/2/26, 149, 90, 36, 18, 19, 2
2020/2/27, 146, 104, 32, 23, 31, 2
2020/2/28, 162, 165, 40, 28, 29, 3
2020/2/29, 180, 107, 34, 24, 33, 5
2020/1/1, 177, 76, 22, 17, 15, 8
2020/1/2, 154, 49, 27, 10, 16, 10
2020/1/3, 119, 109, 23, 18, 25, 5
2020/1/4, 190, 73, 33, 15, 24, 9
2020/1/5, 140, 213, 32, 30, 30, 9
2020/1/6, 232, 286, 2, 47, 27, 5
2020/1/7, 225, 148, 17, 34, 33, 9
2020/1/8, 186, 84, 27, 14, 18, 10
2020/1/9, 158, 108, 33, 16, 21, 7
2020/1/10, 174, 139, 35, 27, 26, 4
2020/1/11, 191, 132, 3, 23, 14, 
2020/1/12, 191, 604, 18, 69, 45, 11
2020/1/13, 334, 321, 11, 50, 44, 17
2020/1/14, 278, 192, 13, 43, 46, 6
2020/1/15, 205, 130, 44, 13, 28, 6
2020/1/16, 183, 137, 28, 20, 18, 5
2020/1/17, 208, 122, 20, 17, 18, 3
2020/1/18, 190, 104, 22, 12, 16, 8
2020/1/19, 178, 141, 21, 28, 33, 6
2020/1/20, 179, 199, 17, 40, 37, 6
2020/1/21, 206, 141, 24, 26, 23, 6
2020/1/22, 202, 108, 42, 16, 24, 6
2020/1/23, 158, 84, 44, 15, 15, 9
2020/1/24, 131, 141, 40, 23, 17, 6
2020/1/25, 159, 176, 40, 24, 16, 14
2020/1/26, 165, 242, 32, 38, 32, 10
2020/1/27, 221, 183, 26, 27, 29, 8
2020/1/28, 173, 149, 28, 32, 29, 7
2020/1/29, 184, 97, 37, 11, 18, 6
2020/1/30, 136, 124, 44, 17, 16, 7
2020/1/31, 144, 119, 33, 23, 25, 7
2019/10/1, 68, 38, 19, 7, 23, 5
2019/10/2, 57, 31, 15, 9, 16, 5
2019/10/3, 53, 45, 18, 22, 20, 7
2019/10/4, 84, 76, 20, 42, 22, 10
2019/10/5, 124, 104, 25, 59, 24, 12
2019/10/6, 156, 93, 30, 44, 25, 9
2019/10/7, 149, 111, 36, 56, 23, 11
